,hero,kills,deaths,assists,kda,avgKal,gpm,xpm,lastHits,denies,level,heroDamage,towerDamage,heroHealing,goldSpent
0,86,2.7532133676092543,5.703084832904884,12.380462724935732,2.65359477124183,3.096925073997696,291.2840616966581,324.26863753213365,58.2840616966581,2.0745501285347046,16.339331619537276,8203.595115681233,229.55012853470436,265.5784061696658,9819.640102827763
1,16,2.930163447251114,5.829123328380386,12.277860326894503,2.608972724955392,3.081532134236225,326.9420505200594,392.3358098068351,117.98068350668647,2.2184249628528976,18.25260029717682,10510.298662704308,152.4710252600297,13.585438335809807,11241.8573551263
2,107,2.7996941896024463,5.990825688073395,14.567278287461773,2.898928024502297,3.349683220405662,269.1452599388379,330.2599388379205,36.718654434250766,1.1758409785932722,16.59021406727829,10284.448012232417,103.26299694189602,364.480122324159,9248.74617737003
3,88,2.5956375838926173,5.855704697986577,12.565436241610739,2.589111747851003,3.0022175816244117,286.2936241610738,369.1543624161074,52.83892617449664,3.13255033557047,17.43288590604027,10410.203020134228,135.90771812080536,16.42953020134228,9442.902684563758
4,65,4.286440677966102,5.216949152542373,13.567796610169491,3.4223521767381415,4.099501233230047,347.4627118644068,415.5813559322034,138.35254237288135,3.3847457627118644,18.577966101694916,12683.240677966101,169.84745762711864,0.8305084745762712,11638.14406779661
5,7,3.1622574955908287,5.813051146384479,11.961199294532628,2.6016383495145634,3.0715840768089446,295.8201058201058,374.66137566137564,94.30335097001763,2.888888888888889,17.603174603174605,12016.384479717814,317.83068783068785,9.08641975308642,9974.241622574957
6,13,6.338155515370705,4.291139240506329,10.358047016274865,3.8908554572271385,4.734900798417978,476.8372513562387,525.2314647377939,239.37974683544303,12.540687160940326,20.786618444846294,19302.481012658227,1132.2188065099458,7.875226039783001,17171.726943942132
7,8,6.711397058823529,3.5900735294117645,8.3125,4.1848438300051205,4.913691636692556,540.7518382352941,516.9871323529412,270.57536764705884,15.455882352941176,20.347426470588236,16686.41911764706,4366.713235294118,0.0,18801.295955882353
8,87,2.4681647940074907,5.911985018726591,13.94569288389513,2.7763699714919223,3.217588413887158,261.0262172284644,302.5730337078652,35.91573033707865,2.49438202247191,15.486891385767791,7108.816479400749,176.22097378277152,182.14794007490636,8784.794007490636
9,28,1.8752362948960302,5.544423440453686,12.55765595463138,2.6031367200818276,3.119379007391906,293.0642722117202,360.32703213610586,63.117202268431,2.7939508506616257,17.0,5566.285444234404,201.703213610586,23.862003780718336,9297.74102079395
10,5,2.4785992217898833,5.912451361867705,12.601167315175097,2.550510036196117,3.0692979171206454,283.4941634241245,334.5466926070039,69.06031128404669,0.8015564202334631,16.768482490272373,8963.951361867705,206.7898832684825,354.1945525291829,9890.885214007782
11,51,4.429411764705883,5.93921568627451,13.166666666666666,2.9626939584021126,3.7109382074736748,308.3411764705882,350.80392156862746,86.66666666666667,20.725490196078432,17.264705882352942,18157.074509803922,194.75686274509803,65.74313725490197,10774.970588235294
12,106,7.924180327868853,4.026639344262295,11.276639344262295,4.768447837150126,5.670002350791285,510.61475409836066,570.4200819672132,262.6782786885246,7.469262295081967,21.559426229508198,23308.17008196721,880.4344262295082,0.16598360655737704,18099.272540983606
13,63,7.48744769874477,3.426778242677824,10.366108786610878,5.210012210012209,6.122256184076268,497.62133891213387,527.7824267782427,243.17364016736403,10.472803347280335,20.960251046025103,19596.02719665272,3794.6234309623433,25.46652719665272,18169.97907949791
14,54,6.587606837606837,3.1004273504273505,8.414529914529915,4.838731909028256,5.798413700497034,508.70512820512823,521.707264957265,223.9594017094017,15.739316239316238,20.604700854700855,17561.123931623933,4120.076923076923,1416.2884615384614,17355.13888888889
15,37,2.4838012958963285,4.501079913606912,12.064794816414686,3.2322456813819573,3.7777457393818086,268.1231101511879,324.64362850971924,54.898488120950326,3.2354211663066956,16.304535637149026,9211.948164146868,496.48812095032395,5773.928725701944,9285.107991360692
16,55,3.3991323210412148,3.8655097613882865,13.696312364425163,4.422558922558922,5.241486881400114,408.24511930585686,419.9696312364425,195.6008676789588,1.0845986984815619,18.305856832971802,12794.383947939263,469.60086767895876,2744.546637744035,13403.51409978308
17,104,4.861607142857143,5.506696428571429,9.573660714285714,2.6214025131738956,3.0056537599013966,382.80357142857144,461.4732142857143,158.89285714285714,6.832589285714286,19.642857142857142,15295.089285714286,1473.5982142857142,0.0,12849.107142857143
18,39,9.286746987951807,3.472289156626506,9.296385542168675,5.351839000693962,6.342050279038231,537.8457831325301,590.1590361445783,290.8481927710843,18.185542168674697,21.843373493975903,23558.792771084336,2453.742168674699,0.0,19629.14457831325
19,50,1.6231884057971013,4.838164251207729,12.147342995169081,2.8462306540189717,3.4549163464018537,247.60386473429952,294.6111111111111,48.15458937198068,2.6183574879227054,15.384057971014492,4206.277777777777,249.42753623188406,7196.256038647343,8299.601449275362
20,60,3.688725490196078,5.012254901960785,13.950980392156863,3.5193154034229828,4.12330550792921,292.05882352941177,366.89460784313724,68.10539215686275,2.9926470588235294,17.24264705882353,9263.843137254902,566.6985294117648,140.3700980392157,10024.105392156862
21,68,3.5823095823095823,5.525798525798526,15.420147420147421,3.438861716318364,3.9032705852224567,268.8894348894349,313.35626535626534,40.50859950859951,3.13022113022113,16.37837837837838,9509.700245700245,234.31695331695332,25.56019656019656,9871.056511056511
22,25,8.088452088452089,5.577395577395578,8.063882063882064,2.8960352422907487,3.575277863076906,550.2653562653562,587.5700245700245,311.5995085995086,8.938574938574938,21.76167076167076,20441.555282555284,3509.5454545454545,1729.990171990172,19353.7714987715
23,75,3.549872122762148,5.1048593350383635,13.337595907928389,3.30811623246493,3.6149033972563385,294.4194373401535,338.35038363171356,79.80306905370844,5.335038363171355,16.61381074168798,11294.13810741688,549.920716112532,144.9079283887468,10519.411764705883
24,40,4.609254498714653,5.552699228791774,11.694087403598973,2.9361111111111113,3.4942586730854654,469.12596401028276,551.8046272493573,255.74293059125964,9.704370179948587,21.14910025706941,27660.390745501285,2517.570694087404,167.10025706940874,16659.190231362467
25,74,7.718421052631579,4.2026315789473685,9.292105263157895,4.047589229805886,4.958709674828095,596.4842105263158,574.7078947368421,307.41315789473686,16.144736842105264,22.00526315789474,22980.102631578946,3480.2368421052633,6.676315789473684,21623.644736842107
26,114,5.739495798319328,5.969187675070028,11.364145658263306,2.8653214453308307,3.530098265367667,376.0700280112045,440.2829131652661,150.39775910364145,7.380952380952381,18.901960784313726,15221.871148459384,1316.7310924369747,37.943977591036415,13215.140056022408
27,96,3.2997032640949553,4.661721068249258,13.094955489614243,3.5168682367918525,4.220383297052437,402.20771513353117,450.69436201780417,175.21364985163206,4.798219584569733,19.323442136498517,10895.011869436203,1207.3857566765578,20.694362017804153,13619.59940652819
28,11,7.607784431137724,4.1706586826347305,7.607784431137724,3.648241206030151,4.585484201427315,617.1676646706587,582.5718562874251,331.30838323353294,21.00299401197605,21.58682634730539,21739.676646706586,5588.880239520958,10.08682634730539,21169.28143712575
29,41,5.268072289156627,4.207831325301205,11.30421686746988,3.938439513242663,4.795335797067724,441.9759036144578,495.25,214.20180722891567,12.599397590361447,20.460843373493976,12312.614457831325,1874.8463855421687,357.8975903614458,16179.382530120482
30,70,8.786833855799372,4.163009404388715,8.119122257053291,4.060993975903614,5.107127587988832,492.66457680250784,513.5579937304075,206.2257053291536,12.780564263322884,20.50156739811912,18340.793103448275,2182.780564263323,283.7742946708464,16905.047021943574
31,36,7.518867924528302,4.783018867924528,9.59748427672956,3.5785667324128863,4.535249865438544,473.3553459119497,517.9905660377359,246.24213836477986,13.28930817610063,20.39937106918239,20352.720125786163,1903.2987421383648,3344.8427672955977,15657.138364779874
32,46,8.222222222222221,3.6470588235294117,7.598039215686274,4.337813620071684,5.43821501664639,631.1209150326797,645.3692810457517,317.859477124183,15.258169934640524,22.098039215686274,19459.339869281044,4720.794117647059,0.0,20548.57843137255
33,20,2.9306930693069306,5.590759075907591,11.135313531353136,2.515938606847698,3.008038633533683,327.4917491749175,361.5742574257426,100.32673267326733,7.745874587458746,16.95049504950495,8315.468646864687,1368.3795379537953,162.6072607260726,10792.739273927393
34,9,7.654485049833887,4.009966777408638,11.159468438538205,4.691797845898923,5.2154189203192525,492.3255813953488,521.0730897009967,254.3687707641196,10.777408637873755,20.84717607973422,19618.634551495015,3003.4285714285716,77.85049833887044,17816.212624584718
35,97,2.83,4.25,10.093333333333334,3.0407843137254904,3.6233354515854517,404.9633333333333,463.07666666666665,160.54666666666665,3.3966666666666665,19.48,8588.266666666666,427.32666666666665,65.16333333333333,13704.683333333332
