,team_Name,current_elo32,sevenDayAgo_elo32,sevenDayAvg_elo32,thirtyDayAgo_elo32,thirtyDayAvg_elo32,current_elo64,sevenDayAgo_elo64,sevenDayAvg_elo64,thirtyDayAgo_elo64,thirtyDayAvg_elo64,mu_glicko,phi_glicko,rating_glicko,ratingSevenDaysAgo_glicko,sigma_glicko,mu_glicko2,phi_glicko2,rating_glicko2,ratingSevenDaysAgo_glicko2,sigma_glicko2
0,OG,1206.0879862864458,1216.257217967991,1211.137617480637,1211.1672634681684,1225.852369871374,1281.3675913116124,1295.2514293522688,1288.2617465300866,1321.4352443330995,1323.288918260541,2092.202019969141,,1722.6007172498166,1781.3883732741774,147.84052108772977,1989.975600661461,44.447477982634226,1878.8569057048753,1881.9655265901242,
1,Team Braveheart,960.2162827477906,946.5939590165441,957.7840860087049,996.2777744334904,975.0967495732284,961.2910094520154,915.1674384171863,954.8158611527581,978.9183035425863,957.4219303468903,1628.4307733178007,,1299.6804416648454,1367.5154986366733,131.5001326611821,1644.4630860104273,44.612302799895375,1532.9323290106888,1536.032804365343,
2,Alliance,969.0912907164864,967.5661274532348,968.3339560198715,971.8094146011342,970.4838524921112,946.842197942647,944.2191726293152,945.539709135219,946.7405168249331,948.7532756855104,1774.7385476429433,,1323.6020503481373,1370.3573670825385,180.45459891792248,1802.970216865023,48.424761401162264,1681.9083133621175,1684.7935382662704,
3,Newbee.Young,986.8446460247576,960.2164294270337,980.0498079914381,1051.2173447920416,1015.916692309015,998.0457490109447,929.3239316816664,980.9003404820461,1086.9751793583891,1022.59721421795,1630.7540383317125,,1323.688068900144,1397.7529448086368,122.82638777262748,1693.5302774171414,43.66613591965529,1584.3649376180033,1587.5442909948592,
4,Danish Bears,1040.2732661485427,1042.2605152910903,1041.2600540962544,1049.5068335017781,1044.7366184460848,1025.836362506243,1027.1112352480686,1026.4694130028138,1031.7599395134835,1028.6997207331872,1857.0226224664632,,1318.5259869518325,1357.043996462734,215.3986542058523,1802.3138989415404,55.76912101457916,1662.8910964050924,1665.3515449096176,
5,compLexity Gaming,1023.6647512759611,1024.8324677583612,1024.2445922865852,1023.8932032542843,1028.8740772362412,1056.2631764567182,1059.0394337574846,1057.6417541023127,1061.4010343430978,1068.1306771157485,1851.0521568921313,,1391.6725823571887,1437.4949135751936,183.75182981397703,1775.9218990707084,48.70534458395858,1654.158537610812,1657.0050439446136,
6,LGD-GAMING,1168.0344143033624,1127.1304634947344,1149.8059809164467,1217.5863332992014,1160.8847383986817,1245.3377142481531,1129.310917351523,1197.6592378979597,1327.6309308749992,1210.671004842298,1920.582673083064,,1759.4502905532313,1765.0372433476193,64.45295301193309,1889.0836971271897,37.54410320695249,1795.2234391098084,1802.8689793672058,
7,Elements Pro Gaming,1075.5432199859772,1079.270834195083,1077.3942031850688,1024.165803706106,1058.078208202403,1166.0427772355044,1174.2360130527934,1170.1112084070971,1045.7613613899405,1124.0570619969858,1952.9565344154976,,1511.908160244896,1559.8615479827893,176.4193496682407,1786.1491149698768,63.627877385884716,1627.079421505165,1629.2300409996803,
8,Fantastic Five,1010.1520013776014,1010.6529430185989,1010.4007488362163,1012.4795798795406,1011.2771139648507,1041.4989228651268,1043.546650967839,1042.5157422304917,1051.013500052598,1046.0981106248782,1806.6636730212908,,1175.8229384005149,1208.3660610781376,252.33629384831033,1748.7782043126476,56.926416345266844,1606.4621634494806,1608.8671890942567,
9,Vici Gaming Potential,1012.9739520651223,1043.8623328131807,1031.9394656315542,987.241010841967,1013.1539847987467,1022.4577274955133,1083.1803491166472,1059.7595448070138,974.4142148146286,1026.5065904744279,1784.8509470654867,,1435.358220481703,1498.2411671643686,139.79709063351345,1693.4619875800527,66.35631694289306,1527.57119522282,1529.6299785960957,
10,EHOME.X,928.7425828747059,925.2264478644465,926.9966117348197,963.6438131901282,949.1711906934952,900.327271793991,895.4090080770088,897.8850599667591,981.237288981424,943.181576291868,1520.6816716997582,,1134.639601896605,1190.4870629341053,154.4168279212613,1622.1007034196887,65.32299794775284,1458.7932085503066,1460.8894999683366,
11,Digital Chaos,1132.988082477803,1139.550263252967,1136.2465973569874,1156.1042699158213,1148.3448491738068,1205.6622333039272,1215.810456576412,1210.7014325676585,1274.294854205222,1235.1430641711365,2060.879330262038,,1819.6373323447212,1579.252171076559,96.49679916692668,1946.7565255947352,45.88623247560154,1832.0409444057314,1805.280560208203,
12,Vici Gaming,1130.6183408784887,1174.7917805078214,1159.8478245117647,1053.8423091146979,1108.3979381157528,1176.0503315843382,1291.0468189641322,1242.4140598900774,1090.1412440833249,1176.1612854368254,1926.5436366818544,,1666.9949524272179,1761.1183680609056,103.81947370185466,1823.5317643261437,38.93961623473396,1726.1827237393088,1729.7633048688726,
13,Escape Gaming,984.998199595499,984.2579488574398,984.6306208702342,981.558693747033,983.3355998933611,1005.6255785126256,1005.9031677708277,1005.7634181667199,1006.9153710490856,1006.2490426907412,1828.1322647048692,,1302.5888087120916,1342.1323427534016,210.21738239711107,1778.0070678968195,48.82850407779924,1655.9358077023214,1658.7673313603254,
14,Kaipi,1005.2697790692642,1005.5298117146966,1005.3989008160198,1006.4779964458547,1005.8538111770546,1004.7962729352788,1005.0329408341004,1004.9137926891774,1005.8959282011085,1005.3278279312495,1823.1548261984778,,1187.709158614525,1220.003770117818,254.17826703358114,1797.7210641546642,63.366804883575234,1639.304051945726,1641.47819599731,
15,LGD.Forever Young,1099.6602515318043,1138.0243572536135,1114.5587706789443,1055.0692024867744,1111.5539742841268,1131.131843172584,1218.592098504458,1164.5082186765494,1038.5042897278663,1163.737580796749,1859.1588622385987,,1572.7641584527578,1654.1663590669473,114.55788151433634,1846.6185835740512,42.28503974827173,1740.9059842033719,1744.1901883360515,
16,Natus Vincere,989.9425650175707,989.4462896727466,989.6961346538412,987.6366680245502,988.8279329097443,985.3962998889805,984.6756930621937,985.0384755394878,982.0480676377351,983.7778203198609,1786.9546708161852,,1121.7966316006368,1152.5768518998293,266.06321568621934,1848.753848978997,55.71952176235457,1709.4550445731106,1711.9731021033601,
17,FTD club a,1012.8984264508556,1013.534888038305,1013.2144676609031,1015.8556857142448,1014.3279162052191,1032.7200015917008,1034.3345414918774,1033.5217171292663,1040.2218102947886,1036.346250670711,1825.874952079908,,993.9832454450973,1018.3826539322552,332.7566826539243,1741.4390916119557,69.32202937426516,1568.1340181762928,1570.1265580299428,
18,iG.Vitality,1180.3136853993678,1214.3794508691828,1187.8207216685125,1160.0498474460578,1162.217070072362,1233.8761581511087,1310.6431681050465,1253.696270536651,1239.851476546266,1233.820815581089,1937.9911218916507,,1856.9547656977486,1845.5141469558037,32.41454247756086,1884.8624330460052,37.086740083109994,1792.1455828382302,1778.9182051576815,
19,KEEN GAMING,1079.6694267326918,1100.4779463843763,1106.564484846713,1040.2442970068505,1085.9648855874823,1112.9955263956267,1153.0739968576147,1172.5616660968356,1093.2831443627322,1153.9098061811808,1823.1067853769432,,1618.767611352335,1635.441126850631,81.7356696098433,1704.7432190556626,41.230005621113634,1601.6682050028785,1609.2317511960678,
20,Team Secret,1121.8058271360194,1127.8162292881696,1124.7903509572448,1149.7325988244288,1135.3051623127662,1207.7427726465762,1217.993658315735,1212.8329499248666,1255.3725545546254,1230.7662140076472,1970.03229567994,,1365.2412229489944,1399.2676842550131,241.91642909237825,1879.0673197238605,51.64322900547111,1749.9592472101826,1752.6477036115218,
21,WarriorsGaming.Unity,1155.2449475466929,1162.9053738890477,1159.0488069758528,1099.528254774345,1132.8041831734854,1264.8373759721662,1277.9055449747502,1271.3265027727844,1150.9432108659685,1219.3092105916721,1847.916971113539,,1618.317378814589,1653.2690549910049,91.83983691958001,1785.893627038157,46.2697265271572,1670.219310720264,1681.3699816553294,
22,Faceless,1049.7368523551495,1052.1910738933584,1050.9555200013283,1087.5730128755858,1058.6247914543949,1035.9562347529636,1037.730463751886,1036.8372454703078,1076.4529651621503,1044.0602042405496,1837.6127106349563,,1369.5198308291372,1414.397701301751,187.23715192232766,1907.5699359668238,68.43780812668743,1736.4754156501053,1738.475410255609,
