,match_id,start_time,radiant_team_id,radiant_score,dire_team_id,dire_score,radiant_win,radiant_name,dire_name,radiant_current_elo32,radiant_sevenDayAgo_elo32,radiant_sevenDayAvg_elo32,radiant_thirtyDayAgo_elo32,radiant_thirtyDayAvg_elo32,radiant_current_elo64,radiant_sevenDayAgo_elo64,radiant_sevenDayAvg_elo64,radiant_thirtyDayAgo_elo64,radiant_thirtyDayAvg_elo64,radiant_mu_glicko,radiant_rating_glicko,radiant_ratingSevenDaysAgo_glicko,radiant_sigma_glicko,radiant_mu_glicko2,radiant_phi_glicko2,radiant_rating_glicko2,radiant_ratingSevenDaysAgo_glicko2,dire_current_elo32,dire_sevenDayAgo_elo32,dire_sevenDayAvg_elo32,dire_thirtyDayAgo_elo32,dire_thirtyDayAvg_elo32,dire_current_elo64,dire_sevenDayAgo_elo64,dire_sevenDayAvg_elo64,dire_thirtyDayAgo_elo64,dire_thirtyDayAvg_elo64,dire_mu_glicko,dire_rating_glicko,dire_ratingSevenDaysAgo_glicko,dire_sigma_glicko,dire_mu_glicko2,dire_phi_glicko2,dire_rating_glicko2,dire_ratingSevenDaysAgo_glicko2
0,2897064589,1483677730,1883502.0,23,350190.0,12,True,Virtus.pro,Fnatic,1239.2236379942187,1251.0279194678806,1245.0851691128955,1325.3349795349093,1269.773656327639,1328.1755554395031,1344.3690915869495,1336.216613784432,1492.2514499502258,1374.3188220533466,2115.7305524225208,1834.9311560961773,1795.528506160808,112.31975853053736,2002.1133280284535,42.886072976593965,1894.898145586969,1890.8628034267706,1035.5746027687062,1037.3300004706912,1036.4462626218533,1043.7308940791218,1039.5172178130433,1033.872729826254,1035.5441500943464,1034.7026898653864,1041.6388278411266,1037.6267319460817,1614.8029283846024,1174.2366355440477,1143.6038636611834,176.22651713622193,1818.4412126844773,52.249989349905675,1687.8162393097132,1706.0802656019407
0,2897074199,1483678249,3214108.0,8,1375614.0,37,False,Team NP,Newbee,1045.0370353065186,1047.259348477386,1046.1405465905857,1058.1110441286512,1051.2591867446056,1085.9164846609294,1090.1559585551843,1088.0216367799671,1081.030216080653,1095.462347691178,1873.4178178752152,1580.2320707497324,1521.3873105616544,117.27429885019319,1841.1185141989592,44.82190031055747,1729.063763422566,1726.5393187911834,1219.97344673144,1181.5140934421408,1213.077134953204,1287.970458126768,1210.362173846526,1301.081885433411,1204.8626535224555,1280.7853305782064,1373.2251561285934,1245.9195116135954,2029.726318953237,1951.4148949899368,1943.6499874324804,31.324569585320077,1976.8046924492735,36.928722949202864,1884.4828850762665,1877.8332046375533
0,2897155244,1483682366,2581813.0,16,2512249.0,26,False,Execration.,Digital Chaos,1087.3163890766439,1091.6249400315846,1089.4558420840244,1141.0993363651487,1111.5801471403804,1121.3515436460668,1127.3395295761866,1124.3249364735686,1209.9282077202688,1161.0478425992212,1791.7716355043365,1521.437502195563,1418.1991682339935,108.13365332350936,1750.2297412439225,44.521569066943655,1638.9258185765632,1637.7560202746945,1131.1704990720261,1137.6429927815493,1134.3844789638526,1153.9707514434633,1146.7999637776054,1202.8513929979129,1212.8609178105467,1207.8217201883765,1270.5459936606946,1230.6396622865425,2060.879330262038,1819.6373323447208,1579.252171076559,96.49679916692669,1946.7565255947352,45.88623247560154,1832.0409444057316,1805.280560208203
0,2897190211,1483683976,1836806.0,24,2659468.0,26,True,the wings gaming,WarriorsGaming.Unity,1156.1871180745031,1163.8940349986408,1160.0140628555714,1212.3927404233534,1163.0224182056274,1203.4372688109922,1213.475703153906,1208.4219513107334,1315.7335780245464,1211.3776015875815,1992.56232382425,1765.6536490779104,1678.943891796962,90.76346989853585,1939.161671609439,42.52400789417109,1832.8516518740116,1829.762267119459,1153.1231736611373,1160.6789029243132,1156.8750447342916,1098.1679757108886,1136.3180397650106,1261.2177732917771,1274.1073361615374,1267.6182114748062,1148.8802299569056,1226.51526668752,1847.9169711135391,1618.317378814589,1653.2690549910046,91.83983691958001,1785.893627038157,46.269726527157204,1670.219310720264,1681.3699816553296
0,2897294037,1483688368,1883502.0,16,1375614.0,35,False,Virtus.pro,Newbee,1239.2236379942187,1251.0279194678806,1245.0851691128955,1325.3349795349093,1269.773656327639,1328.1755554395031,1344.3690915869495,1336.216613784432,1492.2514499502258,1374.3188220533466,2115.7305524225208,1834.9311560961773,1795.528506160808,112.31975853053736,2002.1133280284535,42.886072976593965,1894.898145586969,1890.8628034267706,1219.97344673144,1181.5140934421408,1213.077134953204,1287.970458126768,1210.362173846526,1301.081885433411,1204.8626535224555,1280.7853305782064,1373.2251561285934,1245.9195116135954,2029.726318953237,1951.4148949899368,1943.6499874324804,31.324569585320077,1976.8046924492735,36.928722949202864,1884.4828850762665,1877.8332046375533
0,2897415426,1483692961,1883502.0,20,1375614.0,9,True,Virtus.pro,Newbee,1239.2236379942187,1251.0279194678806,1245.0851691128955,1325.3349795349093,1269.773656327639,1328.1755554395031,1344.3690915869495,1336.216613784432,1492.2514499502258,1374.3188220533466,2115.7305524225208,1834.9311560961773,1795.528506160808,112.31975853053736,2002.1133280284535,42.886072976593965,1894.898145586969,1890.8628034267706,1219.97344673144,1181.5140934421408,1213.077134953204,1287.970458126768,1210.362173846526,1301.081885433411,1204.8626535224555,1280.7853305782064,1373.2251561285934,1245.9195116135954,2029.726318953237,1951.4148949899368,1943.6499874324804,31.324569585320077,1976.8046924492735,36.928722949202864,1884.4828850762665,1877.8332046375533
0,2897508853,1483696241,1883502.0,2,1375614.0,34,False,Virtus.pro,Newbee,1239.2236379942187,1251.0279194678806,1245.0851691128955,1325.3349795349093,1269.773656327639,1328.1755554395031,1344.3690915869495,1336.216613784432,1492.2514499502258,1374.3188220533466,2115.7305524225208,1834.9311560961773,1795.528506160808,112.31975853053736,2002.1133280284535,42.886072976593965,1894.898145586969,1890.8628034267706,1219.97344673144,1181.5140934421408,1213.077134953204,1287.970458126768,1210.362173846526,1301.081885433411,1204.8626535224555,1280.7853305782064,1373.2251561285934,1245.9195116135954,2029.726318953237,1951.4148949899368,1943.6499874324804,31.324569585320077,1976.8046924492735,36.928722949202864,1884.4828850762665,1877.8332046375533
0,2897669822,1483701484,2512249.0,18,1836806.0,45,False,Digital Chaos,the wings gaming,1131.1704990720261,1137.6429927815493,1134.3844789638526,1153.9707514434633,1146.7999637776054,1202.8513929979129,1212.8609178105467,1207.8217201883765,1270.5459936606946,1230.6396622865425,2060.879330262038,1819.6373323447208,1579.252171076559,96.49679916692669,1946.7565255947352,45.88623247560154,1832.0409444057316,1805.280560208203,1156.1871180745031,1163.8940349986408,1160.0140628555714,1212.3927404233534,1163.0224182056274,1203.4372688109922,1213.475703153906,1208.4219513107334,1315.7335780245464,1211.3776015875815,1992.56232382425,1765.6536490779104,1678.943891796962,90.76346989853585,1939.161671609439,42.52400789417109,1832.8516518740116,1829.762267119459
0,2897839994,1483706228,2512249.0,47,1836806.0,46,True,Digital Chaos,the wings gaming,1131.1704990720261,1137.6429927815493,1134.3844789638526,1153.9707514434633,1146.7999637776054,1202.8513929979129,1212.8609178105467,1207.8217201883765,1270.5459936606946,1230.6396622865425,2060.879330262038,1819.6373323447208,1579.252171076559,96.49679916692669,1946.7565255947352,45.88623247560154,1832.0409444057316,1805.280560208203,1156.1871180745031,1163.8940349986408,1160.0140628555714,1212.3927404233534,1163.0224182056274,1203.4372688109922,1213.475703153906,1208.4219513107334,1315.7335780245464,1211.3776015875815,1992.56232382425,1765.6536490779104,1678.943891796962,90.76346989853585,1939.161671609439,42.52400789417109,1832.8516518740116,1829.762267119459
0,2898057696,1483711679,2512249.0,42,1836806.0,14,True,Digital Chaos,the wings gaming,1131.1704990720261,1137.6429927815493,1134.3844789638526,1153.9707514434633,1146.7999637776054,1202.8513929979129,1212.8609178105467,1207.8217201883765,1270.5459936606946,1230.6396622865425,2060.879330262038,1819.6373323447208,1579.252171076559,96.49679916692669,1946.7565255947352,45.88623247560154,1832.0409444057316,1805.280560208203,1156.1871180745031,1163.8940349986408,1160.0140628555714,1212.3927404233534,1163.0224182056274,1203.4372688109922,1213.475703153906,1208.4219513107334,1315.7335780245464,1211.3776015875815,1992.56232382425,1765.6536490779104,1678.943891796962,90.76346989853585,1939.161671609439,42.52400789417109,1832.8516518740116,1829.762267119459
