,radiant_H1_hero,radiant_H1_kills,radiant_H1_deaths,radiant_H1_assists,radiant_H1_kda,radiant_H1_avgKal,radiant_H1_gpm,radiant_H1_xpm,radiant_H1_lastHits,radiant_H1_denies,radiant_H1_level,radiant_H1_heroDamage,radiant_H1_towerDamage,radiant_H1_heroHealing,radiant_H1_goldSpent,radiant_H2_hero,radiant_H2_kills,radiant_H2_deaths,radiant_H2_assists,radiant_H2_kda,radiant_H2_avgKal,radiant_H2_gpm,radiant_H2_xpm,radiant_H2_lastHits,radiant_H2_denies,radiant_H2_level,radiant_H2_heroDamage,radiant_H2_towerDamage,radiant_H2_heroHealing,radiant_H2_goldSpent,radiant_H3_hero,radiant_H3_kills,radiant_H3_deaths,radiant_H3_assists,radiant_H3_kda,radiant_H3_avgKal,radiant_H3_gpm,radiant_H3_xpm,radiant_H3_lastHits,radiant_H3_denies,radiant_H3_level,radiant_H3_heroDamage,radiant_H3_towerDamage,radiant_H3_heroHealing,radiant_H3_goldSpent,radiant_H4_hero,radiant_H4_kills,radiant_H4_deaths,radiant_H4_assists,radiant_H4_kda,radiant_H4_avgKal,radiant_H4_gpm,radiant_H4_xpm,radiant_H4_lastHits,radiant_H4_denies,radiant_H4_level,radiant_H4_heroDamage,radiant_H4_towerDamage,radiant_H4_heroHealing,radiant_H4_goldSpent,radiant_H5_hero,radiant_H5_kills,radiant_H5_deaths,radiant_H5_assists,radiant_H5_kda,radiant_H5_avgKal,radiant_H5_gpm,radiant_H5_xpm,radiant_H5_lastHits,radiant_H5_denies,radiant_H5_level,radiant_H5_heroDamage,radiant_H5_towerDamage,radiant_H5_heroHealing,radiant_H5_goldSpent,dire_H1_hero,dire_H1_kills,dire_H1_deaths,dire_H1_assists,dire_H1_kda,dire_H1_avgKal,dire_H1_gpm,dire_H1_xpm,dire_H1_lastHits,dire_H1_denies,dire_H1_level,dire_H1_heroDamage,dire_H1_towerDamage,dire_H1_heroHealing,dire_H1_goldSpent,dire_H2_hero,dire_H2_kills,dire_H2_deaths,dire_H2_assists,dire_H2_kda,dire_H2_avgKal,dire_H2_gpm,dire_H2_xpm,dire_H2_lastHits,dire_H2_denies,dire_H2_level,dire_H2_heroDamage,dire_H2_towerDamage,dire_H2_heroHealing,dire_H2_goldSpent,dire_H3_hero,dire_H3_kills,dire_H3_deaths,dire_H3_assists,dire_H3_kda,dire_H3_avgKal,dire_H3_gpm,dire_H3_xpm,dire_H3_lastHits,dire_H3_denies,dire_H3_level,dire_H3_heroDamage,dire_H3_towerDamage,dire_H3_heroHealing,dire_H3_goldSpent,dire_H4_hero,dire_H4_kills,dire_H4_deaths,dire_H4_assists,dire_H4_kda,dire_H4_avgKal,dire_H4_gpm,dire_H4_xpm,dire_H4_lastHits,dire_H4_denies,dire_H4_level,dire_H4_heroDamage,dire_H4_towerDamage,dire_H4_heroHealing,dire_H4_goldSpent,dire_H5_hero,dire_H5_kills,dire_H5_deaths,dire_H5_assists,dire_H5_kda,dire_H5_avgKal,dire_H5_gpm,dire_H5_xpm,dire_H5_lastHits,dire_H5_denies,dire_H5_level,dire_H5_heroDamage,dire_H5_towerDamage,dire_H5_heroHealing,dire_H5_goldSpent,match_id
0,86.0,2.4193548387096775,3.774193548387097,15.516129032258064,4.752136752136751,5.914687105009686,304.7096774193548,375.5806451612903,72.29032258064517,3.2903225806451615,16.419354838709676,9487.193548387097,349.16129032258067,132.38709677419354,9442.258064516129,46.0,9.882352941176471,4.470588235294118,10.235294117647058,4.5,6.219257703081232,610.5882352941177,618.4117647058823,257.70588235294116,13.470588235294118,20.941176470588236,20436.58823529412,5651.823529411765,0.0,18530.58823529412,103.0,2.9705882352941178,4.764705882352941,16.735294117647058,4.135802469135802,4.206178625296272,307.88235294117646,362.52941176470586,81.55882352941177,1.2941176470588236,17.294117647058822,12019.235294117647,288.38235294117646,170.41176470588235,10686.911764705883,13.0,5.033333333333333,4.866666666666667,11.033333333333333,3.301369863013698,4.37555722055722,442.6666666666667,511.8666666666667,176.13333333333333,8.333333333333334,19.566666666666666,18226.6,920.2333333333333,32.2,14018.666666666668,63.0,10.25,3.375,15.25,7.555555555555555,7.108333333333333,538.75,575.875,269.125,9.625,22.625,25053.125,5384.625,0.0,22030.0,26.0,2.0,4.0,4.0,1.5,1.2,171.0,223.0,9.0,2.0,9.0,3832.0,0.0,0.0,3860.0,54.0,2.0,4.0,3.0,1.25,1.0,378.0,415.0,94.0,6.0,13.0,3817.0,0.0,393.0,6550.0,11.0,6.0,6.0,3.0,1.5,1.2857142857142858,516.0,543.0,150.0,10.0,15.0,9690.0,1879.0,0.0,9800.0,100.0,3.0,6.0,11.5,2.4166666666666665,2.5,272.0,273.0,12.0,0.5,10.5,5453.0,48.0,347.5,6315.0,60.0,1.0,3.0,4.0,1.6666666666666667,1.25,313.0,373.0,61.0,8.0,13.0,2657.0,0.0,486.0,6095.0,3731013884.0
1,78.0,4.333333333333333,4.666666666666667,14.666666666666666,4.071428571428571,3.444444444444444,426.3333333333333,532.0,148.66666666666666,13.0,22.333333333333332,10232.666666666666,2991.6666666666665,838.0,15945.0,63.0,12.0,1.0,9.0,21.0,10.5,554.0,671.0,189.0,16.0,23.0,23230.0,3427.0,0.0,16785.0,43.0,5.5,3.5,7.5,3.7142857142857144,2.825,511.0,477.0,206.5,9.0,18.0,12171.0,5600.0,0.0,13350.0,16.0,2.0,2.25,11.75,6.111111111111111,6.25,325.5,376.25,65.75,3.0,14.5,6272.25,227.75,0.0,8602.5,3.0,3.5,5.0,11.5,3.0,2.8125,307.5,333.5,35.5,6.0,14.5,8790.5,1141.5,0.0,9262.5,30.0,2.8181818181818183,6.0,10.454545454545455,2.2121212121212124,2.0964646464646464,253.9090909090909,300.27272727272725,46.45454545454545,2.7272727272727275,14.272727272727273,7141.272727272727,309.8181818181818,3116.909090909091,8351.363636363636,9.0,6.1,3.933333333333333,8.866666666666667,3.805084745762712,4.579140211640212,504.3666666666667,519.6666666666666,264.8666666666667,9.433333333333334,19.633333333333333,16405.766666666666,1586.1,48.333333333333336,17946.333333333332,58.0,2.8,6.6,7.8,1.6060606060606062,1.489141414141414,308.8,332.2,97.6,8.0,16.2,8871.4,2047.4,1799.2,10503.0,69.0,4.333333333333333,4.857142857142857,12.380952380952381,3.441176470588236,4.301209372637944,376.57142857142856,406.7142857142857,86.76190476190476,3.2857142857142856,17.80952380952381,12491.095238095239,441.76190476190476,555.7142857142857,12043.333333333332,6.0,4.555555555555555,2.444444444444444,6.111111111111111,4.363636363636364,5.101851851851852,510.44444444444446,463.3333333333333,184.33333333333334,9.444444444444445,15.222222222222221,7393.666666666667,3646.6666666666665,0.0,12575.0,3731020690.0
2,30.0,3.0,8.666666666666666,10.0,1.5,1.449074074074074,273.6666666666667,302.0,40.666666666666664,0.0,14.666666666666666,8078.333333333333,236.66666666666666,582.6666666666666,7611.666666666667,39.0,10.0,1.0,12.0,22.0,11.0,629.0,722.0,274.0,28.0,25.0,33003.0,3880.0,0.0,21755.0,10.0,10.0,3.0,14.0,8.0,6.0,542.0,587.0,232.0,31.0,23.0,25232.0,6105.0,448.0,19070.0,62.0,6.0,6.0,20.0,4.333333333333333,3.7142857142857144,412.0,495.0,17.0,0.0,21.0,9449.0,199.0,2174.0,11690.0,65.0,2.0,7.0,16.0,2.5714285714285716,2.25,423.0,503.0,171.0,3.0,21.0,12554.0,203.0,0.0,12605.0,16.0,3.0,8.5,13.0,1.8823529411764706,1.6888888888888889,369.0,495.0,167.0,6.5,21.5,12613.5,19.0,0.0,13180.0,89.0,6.0,3.6666666666666665,12.333333333333334,5.000000000000001,4.766666666666667,304.3333333333333,364.3333333333333,60.666666666666664,1.0,15.666666666666666,9159.0,411.3333333333333,0.0,9846.666666666666,15.0,7.666666666666667,7.666666666666667,13.333333333333334,2.7391304347826084,2.6126984126984127,435.3333333333333,495.3333333333333,217.66666666666666,17.666666666666668,20.666666666666668,23200.666666666668,884.6666666666666,0.0,14551.666666666668,3.0,1.0,7.0,15.0,2.2857142857142856,2.0,184.0,288.0,21.0,2.0,15.0,5723.0,140.0,0.0,7050.0,54.0,3.0,4.0,14.0,4.25,3.4,469.0,571.0,245.0,21.0,22.0,33080.0,1382.0,1196.0,14565.0,3731036301.0
3,107.0,5.333333333333333,7.666666666666667,19.77777777777778,3.2753623188405796,3.45495337995338,322.0,445.8888888888889,47.666666666666664,0.4444444444444444,20.0,13777.333333333332,77.22222222222223,362.22222222222223,11018.888888888889,72.0,8.75,4.666666666666667,12.166666666666666,4.482142857142857,5.442261904761905,575.8333333333334,621.75,272.3333333333333,16.583333333333332,21.833333333333332,22405.916666666668,3228.5,0.0,18887.916666666668,33.0,4.0,3.6666666666666665,11.0,4.090909090909091,3.308333333333333,518.6666666666666,537.1666666666666,182.16666666666666,16.833333333333332,19.5,11959.666666666668,2153.0,327.3333333333333,13886.666666666668,87.0,3.3846153846153846,6.0,17.076923076923077,3.41025641025641,3.5897907647907648,259.53846153846155,358.0,29.53846153846154,2.1538461538461537,16.46153846153846,7548.7692307692305,298.0769230769231,51.53846153846154,8309.23076923077,49.0,5.6,4.6,8.0,2.956521739130435,2.9366666666666665,549.6,551.4,285.8,6.2,21.2,16969.6,6181.0,96.0,20238.0,8.0,7.333333333333333,2.3333333333333335,8.333333333333334,6.714285714285714,8.833333333333334,673.0,718.0,306.6666666666667,8.666666666666666,23.0,20180.666666666668,6321.0,0.0,19938.333333333332,16.0,3.3333333333333335,6.333333333333333,16.333333333333332,3.1052631578947367,2.9564814814814815,364.3333333333333,501.3333333333333,148.33333333333334,1.0,23.0,12416.0,229.0,0.0,12816.666666666666,30.0,5.833333333333333,5.5,10.5,2.9696969696969693,2.976785714285714,320.5,372.6666666666667,43.0,0.8333333333333334,17.333333333333332,9242.5,188.5,1488.6666666666667,11127.5,13.0,4.833333333333333,6.333333333333333,11.333333333333334,2.5526315789473686,3.1582010582010582,440.3333333333333,516.6666666666666,174.0,5.5,19.833333333333332,16639.166666666668,568.6666666666666,42.666666666666664,12450.0,108.0,3.3333333333333335,7.333333333333333,7.0,1.4090909090909092,1.5,398.6666666666667,455.6666666666667,189.33333333333334,4.0,19.666666666666668,10143.0,842.6666666666666,299.6666666666667,13215.0,3731051117.0
4,91.0,2.7272727272727275,6.181818181818182,13.409090909090908,2.610294117647059,3.687518415927507,283.3636363636364,337.8636363636364,55.63636363636363,2.5,15.227272727272727,6119.863636363636,438.6363636363636,8857.818181818182,8615.227272727272,41.0,5.03030303030303,3.9696969696969697,10.787878787878787,3.9847328244274807,4.741919191919192,462.90909090909093,510.6666666666667,223.21212121212122,10.969696969696969,19.939393939393938,12195.666666666668,2519.6666666666665,140.57575757575756,16239.69696969697,19.0,9.428571428571429,3.7142857142857144,9.642857142857142,5.134615384615384,6.154220779220779,557.1428571428571,590.3571428571429,250.35714285714286,13.428571428571429,21.214285714285715,23967.214285714286,6627.571428571428,0.0,16331.07142857143,68.0,3.642857142857143,4.857142857142857,15.428571428571429,3.926470588235295,4.059410430839002,294.7857142857143,355.2857142857143,72.85714285714286,10.428571428571429,16.642857142857142,10855.642857142857,403.07142857142856,231.0,11140.714285714286,15.0,5.625,4.375,8.875,3.3142857142857145,3.696527777777778,485.0,509.875,216.5,21.25,18.25,14011.875,1675.5,60.0,14127.5,87.0,3.090909090909091,6.7272727272727275,18.136363636363637,3.1554054054054053,3.1489762762490034,273.1818181818182,355.0,34.40909090909091,1.6818181818181819,17.681818181818183,10226.681818181818,195.4090909090909,417.8636363636364,9985.454545454546,54.0,7.363636363636363,4.454545454545454,9.545454545454545,3.7959183673469385,4.96469893742621,525.1818181818181,548.1818181818181,227.0909090909091,16.0,21.363636363636363,20109.090909090908,4176.454545454545,1665.3636363636363,16564.090909090908,43.0,9.333333333333334,3.5,10.166666666666666,5.571428571428571,5.283333333333333,473.3333333333333,560.8333333333334,183.16666666666666,16.333333333333332,21.0,19512.333333333332,3478.0,0.0,15157.5,107.0,2.6315789473684212,6.631578947368421,15.842105263157896,2.7857142857142856,2.882685881370092,261.63157894736844,334.89473684210526,29.105263157894736,1.1052631578947367,16.31578947368421,10618.578947368422,89.84210526315789,550.6842105263158,8343.684210526315,53.0,4.166666666666667,5.5,11.666666666666666,2.8787878787878785,3.7976190476190474,489.3333333333333,431.8333333333333,225.83333333333334,7.833333333333333,18.0,13874.0,2975.3333333333335,0.0,14975.833333333332,3731057144.0
5,30.0,5.615384615384615,5.3076923076923075,11.615384615384615,3.2463768115942027,3.308424908424908,306.2307692307692,353.53846153846155,43.0,3.230769230769231,16.384615384615383,10292.23076923077,599.3076923076923,3359.6923076923076,10072.307692307691,19.0,7.666666666666667,3.7777777777777777,12.555555555555555,5.352941176470588,7.438095238095238,477.0,538.6666666666666,228.22222222222223,8.88888888888889,21.555555555555557,22871.333333333332,2967.777777777778,111.77777777777777,17384.444444444445,77.0,2.5,1.3333333333333333,11.333333333333334,10.375000000000002,8.208333333333334,522.0,463.1666666666667,183.0,12.166666666666666,17.166666666666668,8417.166666666666,9258.666666666666,0.0,12816.666666666668,76.0,8.666666666666666,3.1666666666666665,6.166666666666667,4.684210526315789,5.319444444444445,513.3333333333334,571.0,264.1666666666667,19.833333333333332,21.666666666666668,19996.0,1945.6666666666667,66.66666666666667,17529.166666666668,107.0,1.5,5.25,12.0,2.5714285714285716,2.4555555555555557,243.0,319.0,28.5,1.25,15.0,8530.25,95.5,750.25,7780.0,68.0,3.0,5.0,12.714285714285714,3.142857142857143,4.074319727891156,260.14285714285717,303.85714285714283,27.857142857142858,2.5714285714285716,15.0,8291.142857142857,195.85714285714286,228.0,8352.857142857143,54.0,7.444444444444445,4.388888888888889,10.055555555555555,3.9873417721518982,5.489153439153439,517.2777777777778,567.5555555555555,233.05555555555554,17.555555555555557,21.333333333333332,23324.5,4015.8333333333335,1689.0,17371.11111111111,29.0,1.9,5.3,10.5,2.339622641509434,2.563214285714286,374.4,421.7,127.2,2.1,16.8,10805.2,2065.5,237.8,10400.5,17.0,4.666666666666667,5.333333333333333,5.666666666666667,1.9375000000000002,2.2275132275132274,568.0,620.6666666666666,313.6666666666667,4.0,22.0,15947.666666666668,1053.0,102.66666666666667,18536.666666666668,100.0,2.5,6.666666666666667,15.333333333333334,2.6750000000000003,2.6701643264143264,322.8333333333333,389.8333333333333,45.583333333333336,1.3333333333333333,16.333333333333332,8671.416666666666,134.91666666666666,816.3333333333334,8830.833333333334,3731110624.0
6,30.0,3.0,8.666666666666666,10.0,1.5,1.449074074074074,273.6666666666667,302.0,40.666666666666664,0.0,14.666666666666666,8078.333333333333,236.66666666666666,582.6666666666666,7611.666666666667,45.0,5.0,6.0,15.0,3.3333333333333335,2.857142857142857,435.0,549.0,307.0,24.0,25.0,38783.0,5135.0,240.0,17510.0,19.0,5.0,7.0,7.0,1.7142857142857142,1.5,411.0,489.0,220.0,5.0,23.0,19164.0,1316.0,0.0,19555.0,18.0,8.0,8.0,8.0,2.0,1.777777777777778,432.0,535.0,293.0,4.0,24.0,26045.0,764.0,0.0,20535.0,16.0,3.0,13.0,11.0,1.0769230769230769,1.0,309.0,375.0,167.0,0.0,21.0,13773.0,0.0,0.0,11900.0,65.0,10.0,6.5,25.5,5.461538461538462,4.758928571428571,407.0,584.0,201.5,6.5,25.0,22392.5,336.0,0.0,17427.5,103.0,4.0,4.0,20.0,6.0,5.458333333333333,329.0,440.5,76.0,0.0,19.5,17971.0,149.0,0.0,12197.5,15.0,7.666666666666667,7.666666666666667,13.333333333333334,2.7391304347826084,2.6126984126984127,435.3333333333333,495.3333333333333,217.66666666666666,17.666666666666668,20.666666666666668,23200.666666666668,884.6666666666666,0.0,14551.666666666668,86.0,5.25,3.75,23.25,7.6,6.603571428571429,325.5,464.25,63.75,3.0,19.25,10342.25,475.25,1188.5,11190.0,104.0,8.0,6.166666666666667,10.333333333333334,2.9729729729729732,3.2319444444444443,426.6666666666667,529.5,168.33333333333334,8.0,20.0,22143.5,3131.5,826.8333333333334,13880.833333333332,3731117923.0
7,87.0,3.090909090909091,6.7272727272727275,18.136363636363637,3.1554054054054053,3.1489762762490034,273.1818181818182,355.0,34.40909090909091,1.6818181818181819,17.681818181818183,10226.681818181818,195.4090909090909,417.8636363636364,9985.454545454546,54.0,7.363636363636363,4.454545454545454,9.545454545454545,3.7959183673469385,4.96469893742621,525.1818181818181,548.1818181818181,227.0909090909091,16.0,21.363636363636363,20109.090909090908,4176.454545454545,1665.3636363636363,16564.090909090908,104.0,5.090909090909091,5.454545454545454,11.818181818181818,3.1000000000000005,3.708465776647595,374.27272727272725,486.45454545454544,160.1818181818182,7.909090909090909,21.0,16792.090909090908,943.0909090909091,870.9090909090909,13608.181818181818,49.0,4.125,4.5,7.5,2.5833333333333335,2.1984126984126986,459.25,481.375,206.375,10.5,18.5,14584.625,3757.25,0.0,14742.5,100.0,3.25,8.25,23.5,3.242424242424242,3.0904761904761906,300.5,366.5,59.0,2.5,17.75,13253.0,250.75,1102.0,10842.5,3.0,2.6666666666666665,6.75,9.666666666666666,1.8271604938271604,2.585597273097273,237.75,303.8333333333333,21.583333333333332,4.083333333333333,14.75,6306.333333333333,293.0,253.33333333333334,7304.583333333333,12.0,6.0,2.769230769230769,7.6923076923076925,4.944444444444445,5.565018315018315,589.2307692307693,582.3076923076923,413.38461538461536,9.923076923076923,21.76923076923077,23514.23076923077,4256.0,0.0,23020.384615384613,13.0,5.285714285714286,4.285714285714286,7.071428571428571,2.8833333333333337,3.7318027210884352,433.0,473.42857142857144,214.57142857142858,16.0,18.857142857142858,13642.857142857143,796.0,0.0,14602.5,84.0,1.1764705882352942,6.470588235294118,10.0,1.727272727272727,1.8576546003016592,232.11764705882354,275.2352941176471,29.470588235294116,2.5294117647058822,14.470588235294118,6059.941176470588,200.05882352941177,440.47058823529414,7497.64705882353,19.0,9.428571428571429,3.7142857142857144,9.642857142857142,5.134615384615384,6.154220779220779,557.1428571428571,590.3571428571429,250.35714285714286,13.428571428571429,21.214285714285715,23967.214285714286,6627.571428571428,0.0,16331.07142857143,3731146890.0
8,15.0,10.125,4.25,12.0,5.205882352941177,7.303571428571429,586.125,633.5,296.125,18.125,23.625,23374.75,5032.0,0.0,22516.25,62.0,2.0,10.0,29.0,3.1,2.8181818181818183,376.0,542.0,13.0,1.0,22.0,7107.0,14.0,1124.0,10935.0,43.0,6.363636363636363,5.545454545454546,6.545454545454546,2.3278688524590163,2.881204906204906,490.0,533.0,248.0,10.454545454545455,21.181818181818183,18268.818181818184,2420.6363636363635,0.0,16769.090909090908,3.0,2.6875,4.875,10.1875,2.641025641025641,2.47776424963925,261.0,349.375,33.8125,4.0,14.875,6520.5,209.125,72.5,7415.9375,18.0,8.5,3.75,7.75,4.333333333333333,4.958333333333333,666.5,699.0,283.5,10.5,21.5,19690.0,5324.0,0.0,19640.0,76.0,8.0,5.333333333333333,10.333333333333334,3.4375000000000004,3.857142857142857,549.0,589.3333333333334,243.66666666666666,15.333333333333334,21.666666666666668,17974.666666666668,1894.0,0.0,15705.0,16.0,3.857142857142857,5.0476190476190474,13.714285714285714,3.481132075471698,4.612887377173092,359.3809523809524,453.0952380952381,90.76190476190476,0.9523809523809523,17.904761904761905,11020.57142857143,182.28571428571428,19.761904761904763,10391.904761904761,53.0,6.636363636363637,3.2727272727272725,14.454545454545455,6.4444444444444455,6.318181818181818,581.3636363636364,573.8181818181819,268.09090909090907,12.0,20.636363636363637,19299.0,5210.909090909091,0.0,18094.545454545456,27.0,3.1818181818181817,6.818181818181818,11.454545454545455,2.1466666666666665,2.26170597079688,292.90909090909093,359.6363636363636,46.18181818181818,3.1818181818181817,15.818181818181818,8684.09090909091,3234.818181818182,0.0,7727.727272727273,72.0,8.75,4.666666666666667,12.166666666666666,4.482142857142857,5.442261904761905,575.8333333333334,621.75,272.3333333333333,16.583333333333332,21.833333333333332,22405.916666666668,3228.5,0.0,18887.916666666668,3731166555.0
9,34.0,6.444444444444445,3.444444444444444,10.666666666666666,4.967741935483871,5.655291005291005,606.3333333333334,540.3333333333334,359.55555555555554,15.222222222222221,20.444444444444443,40400.444444444445,95.55555555555556,208.55555555555554,20672.777777777777,38.0,3.2758620689655173,2.7586206896551726,9.206896551724137,4.5249999999999995,4.249302134646962,425.51724137931035,477.3103448275862,172.72413793103448,3.896551724137931,17.724137931034484,9121.655172413793,2345.0,276.3448275862069,13061.206896551725,43.0,8.2,4.066666666666666,6.733333333333333,3.6721311475409837,3.5867724867724866,509.73333333333335,546.5333333333333,258.46666666666664,16.133333333333333,21.4,21870.266666666666,3574.4,0.0,18653.0,103.0,3.4375,3.75,14.75,4.85,5.462624007936508,286.3125,320.5,65.8125,1.3125,15.375,10525.75,260.8125,16.125,9495.625,64.0,2.533333333333333,5.2,11.466666666666667,2.692307692307692,3.4477167277167275,320.6666666666667,394.8,107.4,5.533333333333333,17.333333333333332,9862.333333333334,2087.9333333333334,8.0,10237.0,87.0,2.0,4.0,11.5,3.375,2.7916666666666665,214.66666666666666,304.3333333333333,13.666666666666666,1.8333333333333333,15.333333333333334,5382.833333333333,63.0,61.666666666666664,7632.5,9.0,5.0,4.0,7.5,3.125,2.4583333333333335,476.0,530.5,254.0,9.5,21.5,17399.5,1739.0,80.0,16765.0,29.0,2.0,4.0,8.333333333333334,2.5833333333333335,2.7777777777777777,367.6666666666667,422.6666666666667,132.66666666666666,5.0,15.666666666666666,9630.0,448.0,588.6666666666666,9315.0,89.0,1.75,5.0,7.75,1.9,1.6833333333333333,293.0,314.5,83.75,0.75,15.25,4976.25,111.75,486.5,9276.25,11.0,9.5,2.75,6.25,5.7272727272727275,4.395833333333333,668.25,640.0,425.75,24.0,22.5,22994.0,4983.25,0.0,27841.25,3731167554.0
