,radiant_id,dire_id,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
0,57.0,8.0,55,70,71,64,43,83,8,87,38,39,0
0,31.0,65.0,64,54,107,97,74,37,72,71,57,46,0
0,8.0,33.0,55,87,71,11,41,88,5,95,16,76,0
0,54.0,31.0,55,106,110,41,71,5,16,57,76,36,1
0,54.0,31.0,64,100,27,56,49,86,88,29,63,25,0
0,7.0,2.0,51,11,107,102,4,86,60,39,63,29,1
0,7.0,2.0,83,74,88,54,16,106,107,14,38,89,0
0,2.0,7.0,55,107,30,12,95,88,83,80,13,74,0
0,77.0,59.0,88,60,87,63,74,27,65,25,15,58,0
0,59.0,77.0,51,11,65,50,81,16,107,92,39,63,1
0,81.0,51.0,5,8,25,65,58,90,99,27,70,39,1
0,51.0,81.0,97,8,111,88,106,86,65,71,18,15,1
0,33.0,21.0,64,88,48,10,46,95,37,60,96,82,0
0,33.0,57.0,51,11,65,37,4,83,64,16,46,42,0
0,9.0,33.0,5,63,92,13,102,91,65,3,39,48,1
0,21.0,8.0,55,83,27,18,9,8,88,87,15,29,0
0,9.0,8.0,88,15,30,65,9,3,16,66,70,46,0
0,12.0,7.0,86,88,2,95,106,5,60,8,104,70,0
0,12.0,7.0,5,88,8,25,29,51,11,86,102,44,1
0,34.0,56.0,97,86,7,25,93,88,5,95,55,13,0
0,34.0,56.0,88,70,13,37,107,57,83,86,25,15,0
0,8.0,57.0,86,39,53,15,62,51,5,3,18,25,0
0,40.0,18.0,51,11,87,96,8,88,86,69,46,98,0
0,0.0,4.0,27,109,40,98,28,60,5,99,49,22,0
0,4.0,0.0,60,65,50,109,25,89,87,8,107,13,1
0,18.0,40.0,104,23,79,39,72,95,83,16,66,49,1
0,14.0,23.0,60,106,104,50,95,13,5,16,54,7,1
0,16.0,4.0,23,39,109,50,28,100,55,87,41,4,1
0,23.0,14.0,55,83,107,40,17,5,51,11,29,20,0
0,16.0,4.0,103,87,99,22,49,55,100,50,109,98,0
0,17.0,0.0,60,65,50,49,72,91,95,86,51,39,0
0,16.0,4.0,103,87,43,107,63,100,74,58,96,1,0
0,0.0,17.0,97,100,5,33,95,2,107,50,80,74,1
0,18.0,65.0,88,80,90,99,34,97,95,3,91,43,1
0,18.0,65.0,27,15,65,84,18,97,95,37,23,39,1
0,16.0,1.0,83,76,86,63,57,100,106,110,80,65,0
0,23.0,40.0,5,60,51,11,70,90,104,27,8,76,1
0,1.0,16.0,55,14,80,86,44,50,88,97,95,59,1
0,40.0,23.0,5,23,7,11,8,60,95,64,16,13,0
0,17.0,4.0,103,5,25,109,57,55,87,28,54,34,0
0,65.0,14.0,13,5,60,6,25,27,7,32,15,46,0
0,4.0,17.0,5,65,43,107,18,16,37,104,25,15,1
0,14.0,65.0,37,88,107,1,39,5,13,51,40,46,0
0,14.0,65.0,13,5,23,99,33,55,107,87,77,74,1
0,0.0,16.0,100,74,55,87,8,50,72,83,17,13,0
0,23.0,18.0,5,23,7,11,42,83,95,110,13,54,1
0,0.0,16.0,107,74,50,78,6,100,87,80,33,39,1
0,23.0,18.0,7,11,23,110,70,83,91,16,18,25,0
0,0.0,16.0,74,41,14,26,88,65,23,87,89,8,0
0,23.0,18.0,83,91,96,99,18,5,7,60,42,39,0
0,40.0,65.0,88,5,95,2,17,83,86,97,8,49,0
0,1.0,17.0,51,5,54,99,7,37,60,16,93,49,1
0,65.0,40.0,83,2,110,76,18,86,97,28,106,63,1
0,1.0,17.0,37,65,84,8,13,51,68,88,74,41,1
0,14.0,40.0,5,7,9,61,11,107,68,40,41,16,1
0,14.0,40.0,91,97,65,19,98,83,68,7,113,22,1
0,16.0,17.0,37,65,84,70,18,74,28,111,41,103,1
0,23.0,65.0,7,86,63,38,76,51,37,65,48,34,1
0,17.0,16.0,100,80,87,103,8,55,107,64,95,49,0
0,65.0,23.0,51,11,87,1,16,110,41,107,52,18,1
0,14.0,18.0,91,7,8,50,70,5,16,40,41,15,1
0,65.0,23.0,60,43,41,63,30,37,51,95,96,25,0
0,14.0,18.0,16,40,91,99,33,97,95,87,60,35,1
0,0.0,1.0,23,92,78,6,13,50,88,95,17,29,0
0,1.0,0.0,50,100,49,7,48,88,68,17,97,18,1
0,1.0,4.0,103,5,41,49,13,50,88,74,86,59,0
0,1.0,4.0,60,111,99,107,63,68,106,23,57,10,0
0,1.0,23.0,88,43,68,41,15,5,99,86,54,4,1
0,23.0,1.0,51,5,55,18,49,86,16,54,28,76,0
0,16.0,18.0,41,74,111,88,14,55,16,87,95,70,0
0,16.0,18.0,83,90,7,80,49,16,64,95,66,106,1
0,16.0,18.0,90,80,88,7,8,55,16,83,54,11,1
0,47.0,44.0,77,23,75,39,16,30,41,51,11,70,0
0,44.0,47.0,60,5,7,25,18,55,83,87,54,46,0
0,47.0,44.0,51,23,70,27,25,16,5,57,18,39,1
0,14.0,1.0,83,86,15,44,29,13,16,37,6,25,1
0,16.0,4.0,99,87,107,65,25,55,5,28,18,80,1
0,4.0,16.0,5,99,28,4,7,43,87,41,55,23,0
0,61.0,64.0,87,15,88,95,102,51,55,110,70,39,0
0,14.0,16.0,91,18,100,55,36,5,99,51,17,23,0
0,16.0,14.0,83,111,65,70,39,55,28,58,8,80,0
0,14.0,16.0,5,99,7,77,74,83,55,37,6,9,0
0,14.0,16.0,91,13,83,15,2,99,7,50,55,70,0
0,9.0,63.0,60,55,50,18,25,64,23,99,65,76,0
0,63.0,9.0,91,39,87,95,97,7,90,106,99,80,0
0,9.0,63.0,91,13,37,77,104,39,16,86,6,49,1
0,42.0,3.0,16,99,50,39,8,71,37,40,65,109,0
0,3.0,42.0,91,60,16,8,80,7,68,23,40,41,1
0,18.0,21.0,66,15,87,65,95,30,49,40,53,28,1
0,56.0,38.0,64,80,60,16,21,51,87,39,77,28,0
0,21.0,18.0,51,5,63,6,25,66,16,80,86,44,0
0,38.0,56.0,16,8,5,25,65,23,55,37,15,93,1
0,18.0,5.0,83,13,40,6,51,55,18,37,23,43,1
0,5.0,18.0,83,110,13,80,19,60,65,50,109,39,1
0,5.0,18.0,16,68,18,17,65,97,95,103,90,41,1
0,41.0,32.0,60,68,107,40,49,99,83,64,7,74,0
0,12.0,11.0,5,2,18,23,74,50,107,13,65,109,0
0,65.0,32.0,83,87,65,18,25,110,41,107,104,106,1
0,11.0,57.0,50,107,55,46,109,16,86,15,88,75,1
0,29.0,12.0,60,5,102,49,70,28,25,18,104,76,0
0,11.0,29.0,107,51,25,18,87,7,68,77,100,44,1
0,12.0,29.0,91,18,75,28,21,13,83,110,63,49,0
0,11.0,12.0,60,5,25,58,44,13,6,16,92,104,0
0,32.0,12.0,16,27,15,108,9,87,107,104,39,70,0
0,65.0,11.0,107,50,8,7,39,90,104,16,80,82,1
0,11.0,65.0,53,86,107,18,74,87,16,13,99,46,0
0,12.0,32.0,16,13,92,70,89,107,68,43,41,40,1
0,9.0,63.0,90,40,28,80,87,64,16,63,104,17,0
0,9.0,63.0,88,95,37,70,57,87,8,28,29,15,1
0,2.0,1.0,51,99,111,33,39,16,68,40,41,13,0
0,63.0,9.0,88,13,37,69,6,40,83,3,7,46,0
0,1.0,2.0,5,18,103,41,39,88,99,79,74,106,0
0,1.0,2.0,5,103,40,46,108,88,68,41,55,75,1
0,1.0,17.0,64,54,107,46,103,16,5,41,25,15,1
0,17.0,1.0,16,5,60,36,11,99,90,84,53,46,0
0,32.0,29.0,16,66,40,39,14,64,28,18,62,13,1
0,57.0,11.0,16,68,15,7,13,87,8,32,55,17,0
0,29.0,32.0,60,65,111,34,95,18,68,39,107,7,1
0,11.0,57.0,7,55,87,17,54,68,60,53,25,42,0
0,29.0,32.0,83,43,96,37,20,16,25,8,64,65,1
0,57.0,11.0,91,53,3,99,46,107,13,8,97,112,1
0,1.0,5.0,60,39,50,109,104,5,16,49,7,95,1
0,5.0,1.0,68,99,86,95,40,13,60,33,87,63,0
0,12.0,65.0,16,99,37,72,101,88,5,70,98,39,0
0,65.0,12.0,88,65,110,54,39,51,37,20,8,82,0
0,65.0,12.0,16,20,13,6,94,41,110,107,18,101,0
0,29.0,65.0,16,65,75,12,106,13,6,30,63,7,1
0,29.0,65.0,16,18,68,25,71,60,53,112,72,13,0
0,29.0,65.0,88,39,112,8,51,53,16,45,49,57,0
0,2.0,18.0,86,103,7,82,40,16,72,27,58,74,0
0,2.0,18.0,16,33,107,39,54,96,100,79,48,57,1
0,2.0,18.0,16,39,107,63,53,84,35,60,70,88,0
0,65.0,12.0,60,5,13,56,74,16,87,8,108,49,0
0,12.0,65.0,16,53,112,15,17,107,5,18,108,25,1
0,65.0,12.0,88,53,111,39,59,8,5,51,96,109,0
0,3.0,38.0,110,7,4,103,49,28,87,13,6,74,1
0,3.0,38.0,16,25,30,70,29,103,87,40,99,33,0
0,18.0,5.0,16,68,99,88,15,3,9,7,76,20,1
0,5.0,18.0,14,38,87,15,75,68,18,51,29,13,0
0,1.0,18.0,16,75,71,22,67,89,33,31,44,114,1
0,18.0,1.0,16,49,21,45,58,39,62,10,101,69,1
0,1.0,18.0,5,41,86,6,25,65,107,50,47,59,0
0,1.0,18.0,26,8,2,78,109,5,16,99,46,36,1
0,1.0,18.0,16,5,88,94,15,55,18,37,43,1,0
0,41.0,80.0,99,20,107,6,47,65,88,50,15,18,0
0,39.0,7.0,30,36,51,108,44,100,40,88,68,39,0
0,6.0,29.0,16,65,75,106,15,18,25,13,61,72,0
0,39.0,6.0,18,27,25,33,23,13,16,41,111,53,1
0,29.0,80.0,16,111,39,57,8,65,107,5,25,15,1
0,34.0,56.0,88,55,64,54,43,7,87,80,14,11,1
0,7.0,40.0,30,40,60,70,25,114,37,104,8,39,1
0,34.0,17.0,51,30,63,95,25,60,77,39,37,28,1
0,8.0,9.0,60,65,87,15,49,77,83,3,104,11,0
0,39.0,80.0,30,88,53,6,49,13,16,75,18,25,1
0,41.0,40.0,51,11,86,28,15,68,99,16,13,73,0
0,42.0,21.0,16,87,54,46,2,13,30,23,8,94,0
0,3.0,34.0,88,55,37,15,39,16,8,87,108,11,0
0,21.0,8.0,83,86,7,46,40,16,13,68,18,61,0
0,6.0,7.0,60,98,64,65,39,108,91,30,70,44,1
0,56.0,9.0,60,65,7,15,39,77,83,3,104,47,1
0,20.0,3.0,88,77,87,13,39,60,68,51,81,49,1
0,7.0,80.0,30,36,62,4,39,99,107,76,86,20,1
0,42.0,20.0,51,5,86,18,25,13,16,64,11,15,0
0,38.0,57.0,39,30,71,55,95,53,86,32,76,104,0
0,21.0,56.0,51,87,40,11,32,13,7,68,63,53,1
0,34.0,20.0,51,5,11,99,28,88,39,37,16,109,1
0,8.0,42.0,88,75,7,43,63,16,50,70,62,4,1
0,17.0,9.0,51,27,4,77,7,16,13,3,6,46,1
0,56.0,8.0,83,8,27,11,104,88,55,86,106,82,0
0,17.0,21.0,51,13,6,71,21,16,30,39,53,12,0
0,3.0,9.0,51,4,21,99,29,88,39,3,38,109,0
0,1.0,57.0,53,86,60,76,77,55,71,7,99,74,0
0,2.0,31.0,27,40,39,7,32,13,6,16,111,49,0
0,42.0,34.0,16,64,13,1,108,87,55,100,45,70,0
0,65.0,2.0,60,33,75,18,13,23,5,99,8,17,0
0,65.0,31.0,16,5,74,72,65,86,7,25,14,63,1
0,5.0,11.0,51,11,86,57,70,107,110,38,95,40,1
0,6.0,40.0,60,25,36,30,41,51,11,99,87,57,1
0,26.0,44.0,16,27,8,64,98,88,68,49,99,63,0
0,29.0,41.0,88,25,55,1,64,16,75,41,15,46,1
0,32.0,55.0,88,75,38,74,70,37,16,77,108,46,1
0,80.0,6.0,51,30,88,94,8,65,16,25,92,93,0
0,39.0,41.0,88,27,104,25,95,13,54,99,90,7,0
0,26.0,73.0,88,75,29,74,80,16,111,18,69,21,0
0,55.0,4.0,51,68,107,25,81,99,30,63,14,106,1
0,29.0,40.0,91,18,104,71,55,28,25,65,75,4,0
0,5.0,44.0,16,57,75,25,63,5,23,38,95,39,1
0,80.0,40.0,99,13,23,8,86,28,25,27,55,15,0
0,39.0,29.0,88,25,65,8,80,75,16,49,100,63,0
0,63.0,38.0,13,83,87,28,44,88,6,39,30,33,1
0,42.0,56.0,88,13,87,59,41,16,64,38,49,70,1
0,5.0,26.0,103,92,13,54,46,51,68,17,7,81,1
0,20.0,9.0,60,68,18,29,25,77,3,7,71,47,1
0,3.0,21.0,16,40,87,17,53,7,68,103,22,1,0
0,32.0,73.0,23,70,27,7,76,29,5,28,63,35,0
0,1.0,63.0,88,80,28,46,101,16,41,68,95,61,1
0,11.0,55.0,107,40,30,49,96,88,27,77,43,108,1
0,39.0,40.0,13,16,75,82,29,28,25,54,87,108,0
0,34.0,9.0,60,25,31,99,69,51,11,37,58,63,1
0,4.0,32.0,16,65,25,18,27,7,5,39,23,95,0
0,44.0,55.0,16,64,87,41,49,88,86,39,104,106,0
0,8.0,3.0,16,86,50,98,39,7,40,99,91,75,1
0,21.0,20.0,16,99,111,81,46,68,13,71,6,94,1
0,17.0,56.0,51,87,49,83,77,7,39,86,54,98,1
0,5.0,73.0,23,70,27,102,13,16,110,107,80,25,0
0,6.0,41.0,30,16,80,66,36,55,18,39,64,72,1
0,34.0,21.0,51,49,88,113,27,16,39,68,41,22,0
0,17.0,42.0,51,64,13,18,7,87,100,53,39,40,1
0,56.0,3.0,60,7,27,109,72,77,16,4,40,31,0
0,73.0,4.0,107,49,99,5,56,23,27,57,76,41,0
0,26.0,55.0,60,63,5,102,13,30,51,39,41,20,1
0,29.0,7.0,60,39,86,6,13,91,76,30,99,109,1
0,56.0,20.0,91,19,96,27,78,7,40,77,64,22,0
0,17.0,3.0,51,87,95,17,55,39,16,53,15,36,1
0,67.0,54.0,60,86,55,70,25,16,75,85,80,17,0
0,8.0,20.0,83,77,110,7,49,60,64,81,25,18,0
0,42.0,9.0,16,87,49,55,99,51,39,37,95,65,0
0,17.0,20.0,51,5,104,46,41,89,68,13,4,49,0
0,34.0,8.0,88,37,13,6,25,83,64,70,28,4,0
0,88.0,2.0,16,13,5,15,33,23,110,88,8,9,1
0,1.0,38.0,16,49,68,20,102,88,39,62,22,63,1
0,21.0,9.0,88,39,50,59,108,16,27,95,2,61,0
0,63.0,57.0,60,77,86,65,75,83,39,97,95,64,1
0,42.0,3.0,13,8,30,49,62,88,40,7,39,15,0
0,17.0,8.0,88,86,25,70,29,7,3,39,91,80,0
0,88.0,65.0,60,5,104,70,11,23,27,8,102,43,0
0,5.0,55.0,23,99,15,13,26,5,57,95,16,36,0
0,7.0,39.0,13,108,100,14,4,25,51,30,16,18,1
0,32.0,11.0,23,65,25,75,48,68,16,76,41,54,0
0,39.0,7.0,40,88,37,106,53,60,13,86,39,1,0
0,32.0,44.0,27,7,104,72,98,86,96,8,66,76,1
0,4.0,11.0,16,49,111,77,13,23,68,43,69,81,1
0,6.0,40.0,25,107,49,36,33,16,13,86,99,74,0
0,2.0,31.0,27,7,69,25,72,13,16,86,6,94,0
0,6.0,40.0,25,18,99,111,65,28,39,55,30,93,0
0,73.0,11.0,107,99,86,63,39,27,16,54,65,17,0
0,32.0,26.0,88,50,71,95,39,27,8,107,55,49,1
0,4.0,44.0,27,98,13,51,77,50,49,103,22,4,1
0,40.0,7.0,88,13,86,57,48,51,4,30,36,70,0
0,26.0,4.0,16,49,41,31,53,7,68,51,40,89,0
0,8.0,34.0,88,39,50,77,29,16,86,104,68,93,1
0,7.0,40.0,30,4,108,44,91,88,25,104,90,70,1
0,34.0,8.0,16,86,62,70,9,88,5,99,71,40,1
0,5.0,32.0,16,27,63,29,17,5,23,38,74,1,0
0,44.0,11.0,55,32,18,13,37,107,87,39,51,4,0
0,34.0,8.0,51,40,87,46,108,88,37,29,13,1,0
0,4.0,5.0,23,68,41,27,99,107,49,65,75,56,0
0,21.0,20.0,51,5,99,11,104,16,13,87,15,17,1
0,26.0,11.0,16,101,8,97,4,88,86,57,18,46,1
0,20.0,21.0,88,13,30,15,42,68,23,49,41,9,0
0,55.0,73.0,60,13,110,83,80,23,27,77,104,75,0
0,73.0,44.0,27,57,83,106,48,23,13,15,52,29,0
0,21.0,8.0,68,55,71,49,44,16,40,26,100,11,1
0,21.0,8.0,60,39,86,104,63,51,40,71,53,82,1
0,65.0,2.0,16,39,50,18,88,90,104,86,106,15,0
0,65.0,2.0,13,6,37,28,21,27,88,104,72,106,1
0,65.0,2.0,51,25,75,41,40,65,39,86,56,104,0
0,5.0,55.0,88,37,96,109,39,27,62,69,4,93,0
0,6.0,39.0,60,30,41,1,11,55,111,8,23,34,1
0,55.0,5.0,99,27,107,75,106,51,30,63,7,47,1
0,39.0,6.0,16,55,86,4,18,39,88,8,111,97,1
0,4.0,11.0,107,43,86,104,48,16,99,63,5,22,1
0,39.0,6.0,16,25,64,41,8,39,100,37,18,57,1
0,11.0,4.0,16,99,41,31,75,23,92,63,25,96,1
0,39.0,40.0,60,25,65,75,77,13,16,30,104,95,0
0,4.0,11.0,16,43,111,109,65,107,99,87,17,8,1
0,40.0,39.0,25,16,87,6,39,60,13,30,96,44,0
0,34.0,20.0,51,65,30,18,39,53,71,77,111,43,0
0,39.0,40.0,25,86,13,100,18,16,57,37,106,15,1
0,4.0,55.0,99,88,13,27,54,63,68,43,107,57,1
0,20.0,34.0,51,40,64,4,70,88,68,99,63,17,1
0,55.0,4.0,107,43,18,65,37,99,30,51,11,40,0
0,8.0,20.0,40,88,27,25,23,16,64,41,15,86,0
0,20.0,8.0,51,64,41,46,61,83,13,30,6,17,1
0,21.0,20.0,51,5,99,7,11,68,16,15,39,33,1
0,21.0,20.0,68,13,15,71,18,16,64,99,26,9,1
0,21.0,20.0,68,13,18,40,17,16,5,7,95,25,1
0,31.0,65.0,27,7,25,62,36,6,13,16,37,21,1
0,31.0,65.0,7,27,62,72,64,6,13,37,28,74,1
0,31.0,2.0,30,40,69,46,96,16,25,50,104,47,1
0,2.0,31.0,16,25,87,65,99,7,30,72,62,74,1
0,31.0,2.0,7,69,30,11,15,16,25,50,18,65,0
0,11.0,5.0,7,68,62,81,39,86,16,32,54,49,0
0,5.0,11.0,23,51,92,63,106,7,68,86,17,41,1
0,55.0,5.0,23,65,50,109,13,7,37,28,76,106,0
0,5.0,55.0,23,63,13,30,49,65,107,37,95,43,1
0,0.0,14.0,91,6,7,17,23,27,41,112,113,74,0
0,12.0,40.0,51,99,90,11,40,27,41,110,65,74,1
0,4.0,5.0,7,90,100,12,18,13,6,86,17,83,0
0,11.0,23.0,16,43,75,95,97,86,7,110,49,109,1
0,14.0,40.0,13,7,77,61,25,6,87,28,65,39,1
0,23.0,12.0,88,43,111,7,56,16,87,8,75,65,1
0,0.0,5.0,23,41,68,29,9,65,60,92,106,82,0
0,11.0,4.0,31,41,7,74,69,65,107,101,63,25,0
0,40.0,23.0,23,27,41,46,56,16,13,86,57,106,0
0,5.0,14.0,13,23,54,45,104,107,65,75,81,25,1
0,4.0,12.0,16,87,81,29,47,88,37,41,65,34,1
0,0.0,11.0,107,110,29,81,13,16,37,65,95,46,1
0,5.0,40.0,7,87,99,4,17,30,41,32,74,16,1
0,23.0,4.0,103,5,99,4,106,23,27,65,18,11,0
0,42.0,38.0,97,27,7,46,95,13,16,87,6,15,1
0,38.0,42.0,16,68,114,1,39,27,10,88,40,82,0
0,14.0,11.0,60,27,104,44,81,7,40,107,45,33,1
0,12.0,0.0,16,99,50,74,92,87,7,70,43,107,0
0,11.0,5.0,7,107,75,70,106,86,13,110,57,81,1
0,4.0,40.0,50,107,25,38,59,41,110,16,39,61,0
0,14.0,12.0,60,86,63,51,80,7,40,107,68,81,0
0,23.0,0.0,107,29,20,109,74,60,37,69,15,35,0
0,11.0,40.0,88,13,18,30,62,86,16,32,4,47,1
0,4.0,0.0,110,74,92,96,81,16,43,88,37,63,0
0,5.0,12.0,107,110,38,49,40,27,41,13,9,94,0
0,14.0,23.0,51,101,29,49,93,91,39,41,71,36,1
0,80.0,6.0,30,13,7,70,9,107,8,26,108,47,1
0,40.0,0.0,107,74,111,81,38,88,110,65,8,76,0
0,11.0,12.0,13,107,90,7,80,16,75,104,8,46,0
0,80.0,6.0,100,86,39,108,6,51,8,27,13,98,0
0,14.0,4.0,60,68,43,18,7,50,16,106,81,55,0
0,5.0,23.0,107,43,37,22,93,16,65,50,109,25,0
0,6.0,80.0,100,50,40,20,102,28,54,108,75,35,1
0,5.0,0.0,23,41,27,9,72,110,100,29,74,4,1
0,5.0,0.0,41,110,100,43,33,23,27,38,39,94,1
0,4.0,12.0,107,65,111,49,77,41,68,39,23,110,1
0,4.0,12.0,16,92,63,28,39,7,68,99,4,22,1
0,14.0,40.0,91,40,7,71,75,16,41,30,39,108,1
0,14.0,40.0,16,86,51,63,43,40,111,41,60,73,1
0,23.0,11.0,23,37,65,46,95,7,86,13,54,33,1
0,23.0,11.0,88,110,18,49,58,23,27,7,95,63,1
0,34.0,42.0,16,87,58,8,49,68,10,88,63,43,0
0,42.0,34.0,97,7,27,54,39,16,86,65,72,25,1
0,20.0,54.0,51,68,20,46,61,86,6,41,16,65,0
0,14.0,0.0,23,92,88,17,111,3,9,74,16,78,0
0,0.0,14.0,23,29,50,81,34,41,31,103,56,22,0
0,14.0,0.0,88,90,14,17,70,92,41,114,111,7,0
