,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
0,3358153024,21,1,The International 2017,5401,TNC Pro Team,29,LGD-GAMING,5,34,33,0,91,97,88,23,60,65,77,111,33,39,13,75,86,7,16,18,98,34,52,9,0
0,3358157593,21,1,The International 2017,5401,HellRaisers,10,,,16,26,1,91,60,31,65,16,88,13,92,46,12,49,112,50,21,6,77,61,94,104,17,0
0,3358183864,21,1,The International 2017,5401,OG,0,LGD.Forever Young,4,4,29,0,73,60,112,31,88,7,92,53,109,12,68,65,43,50,18,10,94,13,40,2,0
0,3358205135,21,1,The International 2017,5401,Newbee,12,Digital Chaos,2,28,28,0,31,75,88,82,13,16,27,6,53,61,9,44,55,111,77,65,94,106,51,46,1
0,3358228417,21,1,The International 2017,5401,,,HellRaisers,10,30,16,1,60,91,92,31,88,86,51,112,109,72,65,11,80,78,8,43,15,53,63,40,1
0,3358232771,21,1,The International 2017,5401,Invictus Gaming,23,Virtus.pro,18,29,14,0,31,91,43,84,60,77,65,5,63,107,88,39,114,104,13,95,49,87,106,112,1
0,3358237109,21,1,The International 2017,5401,LGD.Forever Young,4,OG,0,11,28,0,53,73,31,112,60,71,13,50,109,43,65,77,92,97,40,106,41,18,12,114,0
0,3358299746,21,1,The International 2017,5401,Virtus.pro,18,Invictus Gaming,23,29,24,0,91,31,84,60,114,55,18,65,13,87,43,106,75,95,71,51,25,39,36,88,1
0,3361857611,20,5,ESL India Premiership - 2017 Edition,5407,xRG Gaming,,JMD Gaming ,,38,40,0,107,40,88,108,31,51,86,16,46,4,17,34,8,27,23,70,13,15,47,35,0
0,3362113115,21,1,The International 2017,5401,Invictus Gaming,23,Team Liquid,16,31,12,0,114,91,13,7,100,60,77,92,61,43,80,104,65,99,68,63,106,46,74,73,1
0,3362175204,21,1,The International 2017,5401,Team Liquid,16,Invictus Gaming,23,27,33,0,91,13,7,60,77,90,99,73,65,36,88,98,68,32,70,31,55,61,16,114,1
0,3362207468,20,3,CZ-SK Dota 2 League Season 10,5481,The Forsaken,,iNvolute,,32,24,1,7,12,96,99,87,5,16,37,73,47,95,110,41,29,109,18,39,74,25,35,1
0,3362247584,21,1,The International 2017,5401,Team Liquid,16,Invictus Gaming,23,14,42,0,91,13,90,60,7,68,41,87,55,61,77,36,28,107,80,18,34,74,25,106,0
0,3362331228,21,1,The International 2017,5401,Newbee,12,Evil Geniuses,14,19,12,0,88,13,31,7,9,16,87,89,45,63,77,73,40,23,102,53,6,4,98,76,1
0,3362390555,21,1,The International 2017,5401,Evil Geniuses,14,Newbee,12,28,25,1,88,13,31,7,16,107,27,77,53,65,58,18,39,87,99,33,25,75,36,4,0
0,3362458643,21,1,The International 2017,5401,Execration,39,Team Secret,1,8,31,0,13,88,31,41,30,16,77,65,74,39,18,57,51,86,11,46,6,27,12,75,0
0,3362526195,21,1,The International 2017,5401,Team Empire,21,,,38,17,0,68,88,23,13,65,60,87,50,43,63,18,12,104,69,39,49,77,95,113,41,1
0,3362609879,21,1,The International 2017,5401,Infamous?,,OG,0,15,26,0,75,73,12,53,50,47,60,100,43,104,109,65,31,78,7,81,17,18,74,95,0
0,3362675038,21,1,The International 2017,5401,iG.Vitality,32,Digital Chaos,2,8,24,0,88,6,31,82,89,16,27,9,45,65,33,63,18,71,55,43,36,13,54,17,0
0,3363016781,20,7,AEF Season 2,5491,Team Potential,,Mavericks,,6,22,0,88,60,74,7,64,111,51,16,8,11,54,59,65,38,25,39,6,18,12,72,0
0,3363115206,20,7,AEF Season 2,5491,Mavericks,,Team Potential,,20,3,1,88,27,74,16,64,60,31,55,18,41,7,13,87,86,54,8,39,17,43,46,1
0,3363936134,20,3,CZ-SK Dota 2 League Season 10,5481,PODKON? A KR?VA,,HIPPOMANIACS,,22,34,0,87,27,71,31,92,88,50,60,16,109,1,77,40,13,106,6,74,99,84,96,0
0,3363973439,21,1,The International 2017,5401,LGD.Forever Young,4,TNC Pro Team,29,35,21,1,65,31,88,7,60,89,64,53,43,12,63,39,16,50,15,109,94,34,13,73,1
0,3364015315,20,3,CZ-SK Dota 2 League Season 10,5481,HIPPOMANIACS,,PODKON? A KR?VA,,36,46,1,87,60,71,92,27,88,7,28,98,109,36,106,40,51,37,11,1,74,54,46,0
0,3364084016,21,1,The International 2017,5401,LGD.Forever Young,4,TNC Pro Team,29,28,15,0,31,88,60,75,65,41,68,89,12,7,39,43,23,111,53,16,59,73,61,99,1
0,3364103347,20,3,CZ-SK Dota 2 League Season 10,5481,PODKON? A KR?VA,,HIPPOMANIACS,,25,39,1,60,87,92,71,88,51,11,37,40,6,82,8,27,65,57,109,34,93,113,67,0
0,3364162010,21,1,The International 2017,5401,Virtus.pro,18,LGD-GAMING,5,26,5,0,55,97,77,65,23,60,5,31,41,39,69,43,18,38,57,95,94,75,36,25,1
0,3364210383,21,1,The International 2017,5401,Virtus.pro,18,LGD-GAMING,5,24,8,0,55,97,60,65,88,41,84,90,45,58,99,47,16,7,66,52,18,35,95,40,1
0,3364267872,21,1,The International 2017,5401,Team Secret,1,Team Liquid,16,30,7,0,88,91,60,7,90,86,71,99,80,18,77,65,36,100,39,70,12,61,13,6,1
0,3364308762,21,1,The International 2017,5401,Team Liquid,16,Team Secret,1,19,16,0,91,88,90,7,30,60,77,65,18,61,109,53,111,28,40,81,74,98,12,73,1
0,3364351128,21,1,The International 2017,5401,Team Secret,1,Team Liquid,16,19,28,0,88,91,60,7,90,86,71,36,99,68,59,6,53,30,39,104,18,77,95,48,0
0,3364409216,21,1,The International 2017,5401,Team Empire,21,Evil Geniuses,14,41,18,1,13,23,89,31,7,16,9,68,63,58,41,53,112,65,12,18,76,33,106,74,1
0,3364482110,21,1,The International 2017,5401,Team Empire,21,Evil Geniuses,14,33,30,0,23,7,31,89,13,88,68,60,6,77,33,41,40,53,18,112,95,65,109,9,1
0,3365540698,20,5,ESL India Premiership - 2017 Edition,5407,xRG Gaming,,Akatsuki,,16,39,1,7,104,47,40,88,77,60,99,34,46,4,74,68,18,65,31,13,11,39,43,0
0,3365577076,20,5,ESL India Premiership - 2017 Edition,5407,JMD Gaming ,,Signify,87,5,27,1,40,88,53,4,16,100,65,111,59,87,93,66,86,54,70,51,39,46,47,15,0
0,3365858882,21,1,The International 2017,5401,OG,0,TNC Pro Team,29,26,16,1,65,73,88,60,31,5,16,107,78,18,10,89,55,36,48,96,17,12,74,39,1
0,3365946637,21,1,The International 2017,5401,TNC Pro Team,29,OG,0,19,37,1,73,65,60,88,107,89,87,79,109,33,1,78,7,51,104,48,45,74,76,46,0
0,3366042233,21,1,The International 2017,5401,LGD-GAMING,5,Digital Chaos,2,20,15,1,89,88,13,65,60,71,39,27,38,18,61,6,77,9,50,81,7,33,97,82,1
0,3366096005,21,1,The International 2017,5401,LGD-GAMING,5,Digital Chaos,2,21,14,0,88,13,65,89,16,97,23,18,75,41,39,95,43,68,111,25,33,44,53,1,1
0,3366166505,21,1,The International 2017,5401,Invictus Gaming,23,Newbee,12,21,31,1,88,43,16,77,31,60,13,104,73,63,107,50,5,114,70,40,1,106,12,35,0
0,3366236403,21,1,The International 2017,5401,Invictus Gaming,23,Newbee,12,28,11,1,88,43,60,73,31,13,16,107,104,40,25,54,6,4,92,55,77,94,106,76,1
0,3366289447,21,1,The International 2017,5401,Invictus Gaming,23,Newbee,12,13,29,1,88,43,13,31,77,107,4,60,65,109,73,99,29,114,50,112,25,106,34,17,0
0,3366363258,21,1,The International 2017,5401,Virtus.pro,18,LGD.Forever Young,4,8,17,0,91,60,84,31,107,16,41,43,53,35,50,66,37,86,55,10,65,106,29,70,0
0,3366419778,21,1,The International 2017,5401,Virtus.pro,18,LGD.Forever Young,4,30,39,0,91,31,84,60,107,16,87,53,50,65,43,55,36,68,77,41,94,61,45,47,0
0,3366863189,20,7,AEF Season 2,5491,Washed Up,,Mum I Need Tangoes!,,49,22,1,7,51,16,60,13,27,90,92,6,106,28,104,99,88,77,39,68,45,31,49,1
0,3366979746,20,7,AEF Season 2,5491,Mum I Need Tangoes!,,Washed Up,,12,26,0,7,39,16,88,92,31,99,13,68,106,51,18,87,40,25,46,27,15,37,67,0
0,3367609043,20,5,ESL India Premiership - 2017 Edition,5407,JMD Gaming ,,,,39,40,0,77,60,100,31,33,27,88,114,25,16,39,82,4,13,90,64,104,30,71,17,1
0,3367820228,21,1,The International 2017,5401,Team Empire,21,Team Liquid,16,25,24,0,68,7,60,91,90,62,13,38,77,18,12,53,30,71,63,61,95,98,36,65,0
0,3367897602,20,1,The International 2017,5401,Team Liquid,16,Team Empire,21,22,12,0,91,68,90,7,60,55,28,65,18,41,39,77,111,87,54,1,15,46,13,59,1
0,3367983348,21,1,The International 2017,5401,LGD-GAMING,5,OG,0,33,37,0,68,73,23,107,97,60,65,12,88,18,111,109,7,31,52,106,62,1,86,99,1
0,3368083254,21,1,The International 2017,5401,LGD-GAMING,5,OG,0,51,29,0,60,107,68,73,97,23,65,88,12,43,74,109,18,112,27,8,106,49,39,17,1
0,3368158118,21,1,The International 2017,5401,Virtus.pro,18,Team Liquid,16,43,46,0,18,91,60,7,90,88,5,38,61,55,80,39,40,77,36,86,106,82,43,4,0
0,3368249009,21,1,The International 2017,5401,Team Liquid,16,Virtus.pro,18,13,19,0,90,60,91,7,84,55,28,36,35,68,18,59,112,50,74,47,6,1,16,41,0
0,3368300783,21,1,The International 2017,5401,Virtus.pro,18,Team Liquid,16,32,29,0,60,90,18,91,7,68,41,53,61,55,77,43,28,40,39,1,111,95,31,97,0
0,3368387319,21,1,The International 2017,5401,Team Radiant,,Team Dire,,53,23,1,60,107,73,88,7,91,84,66,70,19,77,18,78,34,36,65,8,10,94,102,1
0,3369095873,20,5,CONQUERORS INSIGNIA MINI (Season 1) Online qualifiers,5358,White Walkers,,Real Man Doto!!,,34,17,1,16,23,40,108,27,88,74,104,47,70,54,79,75,107,98,114,25,8,46,41,1
0,3369222705,20,5,CONQUERORS INSIGNIA MINI (Season 1) Online qualifiers,5358,Real Man Doto!!,,White Walkers,,39,43,1,23,88,55,107,16,7,36,27,34,108,70,99,74,97,111,43,8,59,113,41,0
0,3369537345,20,5,ESL India Premiership - 2017 Edition,5407,Akatsuki,,JMD Gaming ,,36,22,0,60,104,88,7,31,90,99,108,70,4,40,47,23,36,72,74,114,46,87,34,1
0,3369858045,21,1,The International 2017,5401,LGD-GAMING,5,Invictus Gaming,23,15,3,0,23,31,60,88,107,97,100,43,111,68,65,18,27,87,39,7,4,54,41,95,1
0,3369930606,21,1,The International 2017,5401,LGD-GAMING,5,Invictus Gaming,23,17,8,0,23,31,97,60,88,7,68,13,87,81,15,99,62,111,1,73,4,98,54,70,1
0,3370054178,,1,The International 2017,5401,LGD.Forever Young,4,Newbee,12,24,28,1,88,43,40,65,60,107,4,31,13,99,69,29,50,63,2,94,41,1,7,35,0
0,3370154221,21,1,The International 2017,5401,LGD.Forever Young,4,Newbee,12,37,15,1,88,43,40,65,60,107,4,50,109,31,81,13,37,38,99,56,94,39,17,45,1
0,3370213472,21,1,The International 2017,5401,LGD.Forever Young,4,Newbee,12,14,41,1,88,43,40,65,60,107,4,50,109,31,81,13,87,99,2,10,38,76,57,11,0
0,3370307979,21,1,The International 2017,5401,LGD-GAMING,5,Team Liquid,16,13,27,0,68,91,60,90,7,97,23,36,80,39,61,95,27,31,9,10,53,1,55,44,0
0,3370363807,21,1,The International 2017,5401,LGD-GAMING,5,Team Liquid,16,8,20,0,68,91,60,90,7,65,23,40,31,1,74,18,111,59,43,50,57,99,61,98,0
0,3372269708,21,1,The International 2017,5401,LGD.Forever Young,4,Team Liquid,16,48,17,0,68,91,60,36,7,31,13,90,61,88,59,43,107,86,54,4,53,65,80,35,1
0,3372386596,21,1,The International 2017,5401,Team Liquid,16,LGD.Forever Young,4,31,17,1,68,91,60,36,7,31,13,53,61,43,59,107,4,5,100,40,10,94,73,109,1
0,3372455628,21,1,The International 2017,5401,Team Liquid,16,LGD.Forever Young,4,34,41,0,91,68,90,60,7,53,86,65,18,61,95,59,71,30,40,10,99,1,43,109,1
0,3372622939,21,1,The International 2017,5401,Newbee,12,Team Liquid,16,13,29,0,60,91,107,7,53,88,4,28,59,29,40,2,5,31,65,54,10,39,95,25,0
0,3372676225,21,1,The International 2017,5401,Team Liquid,16,Newbee,12,21,22,0,53,107,91,60,31,7,40,104,88,50,10,90,68,16,36,39,63,77,1,73,1
0,3372726385,21,1,The International 2017,5401,Newbee,12,Team Liquid,16,17,27,0,60,53,107,91,7,40,27,31,10,2,73,29,16,55,96,36,1,74,8,43,0
0,3375712824,20,5,ProDotA Cup by Azubu,5227,Team HighGround,,The Mongolz,,43,48,1,60,91,88,4,16,107,64,27,7,97,99,65,53,95,77,13,51,36,17,106,0
0,3375990151,,5,ProDotA Cup by Azubu,5227,Lorem Ipsum,,Magic Flying Bears,,9,36,1,88,60,65,7,107,31,36,53,59,4,6,41,18,50,58,9,70,76,94,13,0
0,3376128197,,5,ProDotA Cup by Azubu,5227,Lorem Ipsum,,Magic Flying Bears,,42,25,1,58,60,65,59,31,7,111,51,40,43,4,88,86,114,72,41,13,76,39,49,1
0,3376275237,20,5,ProDotA Cup by Azubu,5227,ThePrime.NND,,Team HighGround,,13,41,0,60,40,88,16,84,7,13,75,41,77,107,1,31,18,4,114,65,47,39,36,0
0,3376395528,20,5,ProDotA Cup by Azubu,5227,ThePrime.NND,,Team HighGround,,31,56,0,60,31,88,84,7,89,40,86,53,9,114,87,111,104,59,68,1,99,63,16,0
0,3376459633,20,3,ProDotA Cup by Azubu,5227,TEAMMORIARTY,,LANA,,39,50,0,91,68,88,13,60,7,31,86,16,73,40,15,77,4,114,65,36,25,39,106,0
0,3376475846,20,5,CONQUERORS INSIGNIA MINI (Season 1) Online qualifiers,5358,,,HaTeD,,14,8,0,55,108,57,40,16,86,71,68,39,74,34,13,10,7,76,46,18,2,12,98,1
0,3376477017,20,5,CONQUERORS INSIGNIA MINI (Season 1) Online qualifiers,5358,White Walkers,,Nefarious,,21,39,1,40,60,28,88,16,31,97,86,36,18,13,70,110,107,74,39,95,8,54,41,0
0,3376603660,20,5,ESL India Premiership - 2017 Edition,5407,Genesis,,Signify,87,24,37,1,60,88,68,36,31,7,30,41,87,107,110,65,40,95,39,13,64,63,23,5,0
0,3376634941,20,3,ProDotA Cup by Azubu,5227,LANA,,TEAMMORIARTY,,33,20,0,88,91,13,60,7,41,68,31,114,23,39,22,40,75,16,76,63,36,1,47,1
0,3376700606,20,5,CONQUERORS INSIGNIA MINI (Season 1) Online qualifiers,5358,Nefarious,,HaTeD,,43,21,0,55,40,57,16,41,90,7,74,36,34,48,46,60,51,39,27,56,54,6,18,1
0,3376854265,20,3,ProDotA Cup by Azubu,5227,SFTe-sports,,Team Singularity,63,41,33,0,88,60,13,31,7,53,28,65,77,54,1,45,75,64,41,18,43,101,25,114,1
0,3377924996,20,5,ProDotA Cup by Azubu,5227,No Throne,,Lorem Ipsum,,11,28,0,88,36,65,60,31,7,90,51,40,99,55,104,23,57,63,59,44,68,4,34,0
0,3378012383,20,5,ProDotA Cup by Azubu,5227,No Throne,,Lorem Ipsum,,29,42,0,88,31,65,57,7,60,36,40,68,86,4,59,27,107,51,114,53,39,111,35,0
0,3378169395,20,5,ProDotA Cup by Azubu,5227,RED,,The Mongolz,,22,32,1,7,60,90,91,53,107,64,28,40,81,106,2,39,36,88,50,59,18,73,1,0
0,3378272238,20,5,ProDotA Cup by Azubu,5227,RED,,The Mongolz,,7,21,0,60,53,40,31,107,7,90,64,88,73,41,36,104,13,18,25,95,47,70,74,0
0,3378503814,20,5,ProDotA Cup by Azubu,5227,Ten Twenty,50,Team EVOS,,27,29,0,31,99,88,60,16,40,7,68,81,65,41,6,13,57,86,36,76,70,73,46,0
0,3378644141,20,3,ProDotA Cup by Azubu,5227,PENTA Sports,38,The Brestomans,,34,28,1,91,88,40,60,68,41,23,78,36,39,7,15,87,92,95,28,54,61,89,98,1
0,3378677473,20,5,ProDotA Cup by Azubu,5227,Team EVOS,,Ten Twenty,50,38,59,1,31,99,90,60,88,37,16,40,68,49,36,59,54,87,104,77,76,13,74,47,0
0,3378790331,20,3,ProDotA Cup by Azubu,5227,PENTA Sports,38,The Brestomans,,20,18,1,40,88,91,60,7,51,13,3,92,36,18,68,37,22,8,47,4,15,1,59,1
0,3379057768,20,3,ProDotA Cup Series by Azubu.tv,4665,Cascade,,Ñomanche,42,43,27,0,88,53,60,90,39,7,13,27,55,18,47,36,54,95,87,46,57,61,16,71,1
0,3379164175,20,3,ProDotA Cup Series by Azubu.tv,4665,Cascade,,Ñomanche,42,14,26,0,88,53,60,90,7,55,13,27,82,18,36,71,54,97,86,46,8,16,4,23,0
0,3380145088,20,5,ProDotA Cup by Azubu,5227,Team HighGround,,RED,,23,42,1,60,114,88,23,7,41,13,75,1,40,18,53,107,16,64,25,8,47,54,55,0
0,3380345364,20,5,ProDotA Cup by Azubu,5227,No Throne,,Magic Flying Bears,,9,43,0,60,88,23,7,31,57,75,41,16,71,55,70,36,69,107,58,13,34,39,54,0
0,3380435705,20,5,ProDotA Cup by Azubu,5227,No Throne,,Magic Flying Bears,,37,16,0,60,31,23,88,27,7,40,58,35,4,16,59,30,8,97,38,34,44,43,56,1
0,3380629851,20,5,ProDotA Cup by Azubu,5227,ThePrime.NND,,Rex Regum QEON,,51,38,1,31,88,62,59,7,40,86,68,36,53,13,60,71,65,93,41,82,55,39,106,0
0,3380775799,20,3,ProDotA Cup by Azubu,5227,BLBLBLBLBLBLBLBLBLBLBLBLBL,,Ukraine International Media Culture,,31,8,0,88,91,60,31,90,55,71,36,17,40,6,106,87,111,70,7,59,46,43,35,1
0,3380825542,20,5,ProDotA Cup by Azubu,5227,ThePrime.NND,,Rex Regum QEON,,15,35,0,88,31,59,40,68,7,111,60,53,82,15,47,18,36,65,41,39,43,13,49,0
0,3380853913,20,5,ESL India Premiership - 2017 Edition,5407,Genesis,,Aggressive 5,,33,12,0,60,31,88,7,16,27,114,53,36,40,64,65,9,68,70,47,6,71,41,34,1
0,3380878948,20,5,ESL India Premiership - 2017 Edition,5407,xRG Gaming,,Signify,87,5,31,1,60,90,65,53,88,31,7,13,36,99,40,43,28,51,46,114,87,95,47,15,0
0,3380899796,20,3,ProDotA Cup by Azubu,5227,Ukraine International Media Culture,,BLBLBLBLBLBLBLBLBLBLBLBLBL,,12,37,1,55,60,7,91,13,88,31,87,6,41,68,73,36,16,69,57,54,47,1,114,0
0,3382219419,20,5,ProDotA Cup by Azubu,5227,Team HighGround,,Rex Regum QEON,,14,37,1,88,68,36,63,7,40,31,5,65,59,13,47,60,100,39,95,35,41,21,12,0
0,3382334145,20,5,ProDotA Cup by Azubu,5227,Team HighGround,,Rex Regum QEON,,43,44,0,68,40,7,88,27,60,86,36,53,65,77,18,99,13,75,95,23,8,104,72,0
