"match_id","avg","count","winrate","wr_lower_bound","sum","min","max","stddev"
3534655441,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3536185318,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537088114,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537286556,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537287524,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537391239,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537432129,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537486272,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537521939,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537526907,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537554390,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537621468,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537632480,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537662528,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537749586,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537800215,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3537933067,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3538073823,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3538173372,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3538209536,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3538251880,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3538261837,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3538372616,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3538465716,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3539031093,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3539106428,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3539175822,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3539240191,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3539373174,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3539468088,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3539606241,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
3539645043,"10.00",1,0.5,0.236589593615487,10,1,1,"0.00"
