,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
29,3537554390,21.0,7,AEF Season 2,5491,Tempest,,Trash Tier Gaming,,39,22,0,87,40,108,71,81,31,27,28,20,47,8,32,44,12,21,9,39,79,41,114,6,67,1
30,3537621468,20.0,12,Dota 2 Professional League 2016,4920,Rock Gaming,59.0,ForTheDream,30.0,40,41,1,9,60,88,3,107,31,13,40,26,51,11,4,54,65,114,20,16,30,49,46,39,28,0
31,3537632480,20.0,12,Dota 2 Professional League 2016,4920,LGD.Forever Young,4.0,TEAM MAX,44.0,26,14,0,107,3,60,51,88,7,31,58,38,16,13,40,69,36,84,9,20,35,65,17,85,39,1
32,3537662528,21.0,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,SG e-sports team,54.0,28,15,0,107,62,3,60,38,91,16,53,71,85,50,43,1,106,70,86,112,15,17,12,74,46,1
33,3537749586,21.0,12,Dota 2 Professional League 2016,4920,TEAM MAX,44.0,LGD.Forever Young,4.0,9,24,0,51,20,88,3,40,31,84,16,68,38,49,81,6,28,43,92,78,42,45,1,35,67,0
34,3537800215,21.0,3,AMD SAPPHIRE Dota PIT,5690,SG e-sports team,54.0,Newbee,12.0,22,36,1,107,62,3,60,88,38,91,112,71,85,17,43,106,53,13,64,54,41,76,47,9,39,0
35,3537812706,21.0,12,Dota 2 Professional League 2016,4920,Rock Gaming,59.0,ForTheDream,30.0,30,10,0,51,3,38,9,31,28,40,88,13,60,26,54,27,43,30,84,20,57,109,49,95,35,1
36,3537933067,20.0,12,Dota 2 Professional League 2016,4920,Rock Gaming,59.0,ForTheDream,30.0,24,9,0,13,9,88,3,20,28,60,16,64,30,114,45,57,40,51,65,54,8,76,15,49,43,1
37,3538073823,21.0,3,AMD SAPPHIRE Dota PIT,5690,Immortals,35.0,Team Liquid,16.0,36,32,0,60,91,112,40,71,36,3,9,88,86,61,4,1,45,87,47,96,8,53,95,78,12,0
38,3538173372,20.0,3,ProDotA Cup Series,5562,Gambit Esports,9.0,M19,34.0,22,6,0,69,3,58,45,65,88,38,63,112,60,109,53,4,78,16,37,13,1,43,95,9,6,1
39,3538209536,21.0,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Immortals,35.0,35,19,0,53,60,55,112,90,3,40,47,86,31,71,78,4,1,107,62,13,109,43,67,20,93,1
40,3538251880,21.0,3,NFCups Season 5,5039,After Returning ,,Vita Fures: Arestanti,,11,21,1,89,60,90,38,72,3,21,87,9,45,64,55,114,74,96,104,71,82,26,63,4,44,0
41,3538261837,20.0,3,ProDotA Cup Series,5562,Gambit Esports,9.0,M19,34.0,21,5,1,88,3,45,84,91,69,63,107,37,71,6,41,78,109,43,66,108,65,36,12,35,93,1
42,3538372616,21.0,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Newbee,12.0,40,32,1,39,60,13,38,107,53,3,112,71,14,47,81,9,43,55,36,72,1,78,4,88,11,1
43,3538465716,21.0,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,Team Liquid,16.0,43,43,0,39,3,107,60,13,38,20,71,53,112,18,43,1,4,86,47,78,44,97,54,2,52,0
