,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name,radiant_name,dire_name,radiant_current_elo32,radiant_sevenDayAgo_elo32,radiant_sevenDayAvg_elo32,radiant_thirtyDayAgo_elo32,radiant_thirtyDayAvg_elo32,radiant_current_elo64,radiant_sevenDayAgo_elo64,radiant_sevenDayAvg_elo64,radiant_thirtyDayAgo_elo64,radiant_thirtyDayAvg_elo64,radiant_mu_glicko,radiant_rating_glicko,radiant_ratingSevenDaysAgo_glicko,radiant_sigma_glicko,radiant_mu_glicko2,radiant_phi_glicko2,radiant_rating_glicko2,radiant_ratingSevenDaysAgo_glicko2,dire_current_elo32,dire_sevenDayAgo_elo32,dire_sevenDayAvg_elo32,dire_thirtyDayAgo_elo32,dire_thirtyDayAvg_elo32,dire_current_elo64,dire_sevenDayAgo_elo64,dire_sevenDayAvg_elo64,dire_thirtyDayAgo_elo64,dire_thirtyDayAvg_elo64,dire_mu_glicko,dire_rating_glicko,dire_ratingSevenDaysAgo_glicko,dire_sigma_glicko,dire_mu_glicko2,dire_phi_glicko2,dire_rating_glicko2,dire_ratingSevenDaysAgo_glicko2
0,12,350190.0,2897064589,23,1883502.0,True,1483677730,57.0,107.0,86.0,8.0,76.0,54.0,25.0,62.0,46.0,28.0,92423451.0,106809101.0,134556694.0,132851371.0,106573901.0,89871557.0,121052479.0,112377459.0,181716137.0,93616251.0,ESL One Genting 2017,Virtus.pro,Fnatic,1239.1493241990927,1250.9499387234407,1245.0090344583161,1325.2523997645878,1269.6920877192185,1328.036193335446,1344.2228527815896,1336.0738369872595,1492.0869136864399,1374.1648599486782,2116.191981855794,1835.406973307018,1795.9662380959842,112.31400341951037,2002.139863387843,42.88559613155801,1894.925873058948,1890.894264303649,1035.5622152352507,1037.3170016852166,1036.4335715652448,1043.7156664203064,1039.503457410407,1033.8317270768682,1035.5011241001052,1034.6606824540304,1041.5884242736715,1037.5811849981947,1615.3144165179067,1174.6507623713492,1143.9461624198316,176.26546165862302,1818.1030247768656,52.24927246240202,1687.4798436208605,1705.7151584180447
0,37,1375614.0,2897074199,8,3214108.0,False,1483678249,84.0,55.0,48.0,71.0,21.0,9.0,39.0,79.0,96.0,54.0,47434686.0,86726887.0,40547474.0,87196890.0,43276219.0,139876032.0,149486894.0,82327674.0,87012746.0,117281554.0,ESL One Genting 2017,Team NP,Newbee,1044.8865041939134,1047.1013895385065,1045.9863271183838,1057.9125517310524,1051.0909040215222,1085.7661766818317,1089.9982337601402,1087.8676459085586,1080.8496053692095,1095.2956590933325,1874.1518038124364,1581.0067841793075,1522.328545412204,117.25800785325154,1841.2337966041412,44.81611812535399,1729.193501290756,1726.6919104452454,1219.9325679505823,1181.4710474707615,1213.0352171608201,1287.9301530018165,1210.3187307281528,1300.994235894165,1204.767687828117,1280.694788195578,1373.131221639072,1245.8216211507633,2030.0773980241947,1951.7626771344358,1943.9766291649878,31.325888355903547,1976.8124332196355,36.9287191458343,1884.4906353550498,1877.84019626719
0,26,2659468.0,2897190211,24,1836806.0,True,1483683976,111.0,20.0,11.0,14.0,28.0,13.0,101.0,19.0,84.0,10.0,111114687.0,129585121.0,101586543.0,102644565.0,118134220.0,101525357.0,94296097.0,113457795.0,119576842.0,126417273.0,ESL One Genting 2017,the wings gaming,WarriorsGaming.Unity,1156.0893819280082,1163.7914761473621,1159.9139319479698,1212.2760429733348,1162.9097105385283,1203.3106521312654,1213.3428386847077,1208.2922322301965,1315.5830723993713,1211.2299805103537,1993.038549555877,1766.1174339034055,1679.3946563424652,90.76844626098858,1939.148278362451,42.52525514877385,1832.8351404905163,1829.762598207887,1153.0814711407936,1160.6351426295278,1156.832320405975,1098.1215591359585,1136.262412043766,1261.172069747449,1274.0593774157326,1267.5713880881847,1148.755355701618,1226.4274583957565,1848.3701730151777,1618.7623133872269,1653.7343945125092,91.84314385118033,1785.5527142261258,46.27358382926748,1669.868754652957,1681.0226008558927
0,35,1375614.0,2897294037,16,1883502.0,False,1483688368,8.0,14.0,48.0,65.0,87.0,6.0,88.0,30.0,63.0,39.0,106573901.0,106809101.0,132851371.0,92423451.0,134556694.0,117281554.0,87012746.0,82327674.0,139876032.0,149486894.0,ESL One Genting 2017,Virtus.pro,Newbee,1239.1493241990927,1250.9499387234407,1245.0090344583161,1325.2523997645878,1269.6920877192185,1328.036193335446,1344.2228527815896,1336.0738369872595,1492.0869136864399,1374.1648599486782,2116.191981855794,1835.406973307018,1795.9662380959842,112.31400341951037,2002.139863387843,42.88559613155801,1894.925873058948,1890.894264303649,1219.9325679505823,1181.4710474707615,1213.0352171608201,1287.9301530018165,1210.3187307281528,1300.994235894165,1204.767687828117,1280.694788195578,1373.131221639072,1245.8216211507633,2030.0773980241947,1951.7626771344358,1943.9766291649878,31.325888355903547,1976.8124332196355,36.9287191458343,1884.4906353550498,1877.84019626719
0,9,1375614.0,2897415426,20,1883502.0,True,1483692961,87.0,8.0,91.0,11.0,108.0,30.0,14.0,76.0,70.0,16.0,134556694.0,132851371.0,106809101.0,106573901.0,92423451.0,82327674.0,139876032.0,149486894.0,117281554.0,87012746.0,ESL One Genting 2017,Virtus.pro,Newbee,1239.1493241990927,1250.9499387234407,1245.0090344583161,1325.2523997645878,1269.6920877192185,1328.036193335446,1344.2228527815896,1336.0738369872595,1492.0869136864399,1374.1648599486782,2116.191981855794,1835.406973307018,1795.9662380959842,112.31400341951037,2002.139863387843,42.88559613155801,1894.925873058948,1890.894264303649,1219.9325679505823,1181.4710474707615,1213.0352171608201,1287.9301530018165,1210.3187307281528,1300.994235894165,1204.767687828117,1280.694788195578,1373.131221639072,1245.8216211507633,2030.0773980241947,1951.7626771344358,1943.9766291649878,31.325888355903547,1976.8124332196355,36.9287191458343,1884.4906353550498,1877.84019626719
0,34,1375614.0,2897508853,2,1883502.0,False,1483696241,102.0,8.0,11.0,28.0,63.0,39.0,79.0,96.0,9.0,54.0,134556694.0,132851371.0,106573901.0,92423451.0,106809101.0,149486894.0,82327674.0,87012746.0,139876032.0,117281554.0,ESL One Genting 2017,Virtus.pro,Newbee,1239.1493241990927,1250.9499387234407,1245.0090344583161,1325.2523997645878,1269.6920877192185,1328.036193335446,1344.2228527815896,1336.0738369872595,1492.0869136864399,1374.1648599486782,2116.191981855794,1835.406973307018,1795.9662380959842,112.31400341951037,2002.139863387843,42.88559613155801,1894.925873058948,1890.894264303649,1219.9325679505823,1181.4710474707615,1213.0352171608201,1287.9301530018165,1210.3187307281528,1300.994235894165,1204.767687828117,1280.694788195578,1373.131221639072,1245.8216211507633,2030.0773980241947,1951.7626771344358,1943.9766291649878,31.325888355903547,1976.8124332196355,36.9287191458343,1884.4906353550498,1877.84019626719
0,12,350190.0,2899199807,43,3214108.0,True,1483756296,55.0,106.0,5.0,93.0,71.0,39.0,94.0,87.0,28.0,90.0,86726887.0,43276219.0,47434686.0,40547474.0,87196890.0,181716137.0,89871557.0,121052479.0,93616251.0,112377459.0,ESL One Genting 2017,Team NP,Fnatic,1036.079290939657,1046.778408581671,1044.6085647935276,1057.515437090611,1050.3866052863161,1070.9010632014517,1089.3811030143563,1085.4804995887225,1080.295208075249,1094.9747383782435,1874.1518038124364,1581.0067841793075,1522.328545412204,117.25800785325154,1841.2337966041412,44.81611812535399,1729.193501290756,1726.6919104452454,1027.8021211292057,1037.0611136736609,1035.2442114957435,1043.4159018505673,1038.9901172397265,1023.7283110590358,1035.2576878205616,1033.1890808238968,1041.3032465072235,1037.0050523138516,1615.3144165179067,1174.6507623713492,1143.9461624198316,176.26546165862302,1818.1030247768656,52.24927246240202,1687.4798436208605,1705.7151584180447
0,34,3214108.0,2899277641,23,350190.0,False,1483760678,54.0,32.0,34.0,87.0,55.0,38.0,9.0,85.0,37.0,70.0,89871557.0,112377459.0,181716137.0,121052479.0,93616251.0,86726887.0,43276219.0,87196890.0,47434686.0,40547474.0,ESL One Genting 2017,Fnatic,Team NP,1027.8021211292057,1037.0611136736609,1035.2442114957435,1043.4159018505673,1038.9901172397265,1023.7283110590358,1035.2576878205616,1033.1890808238968,1041.3032465072235,1037.0050523138516,1615.3144165179067,1174.6507623713492,1143.9461624198316,176.26546165862302,1818.1030247768656,52.24927246240202,1687.4798436208605,1705.7151584180447,1036.079290939657,1046.778408581671,1044.6085647935276,1057.515437090611,1050.3866052863161,1070.9010632014517,1089.3811030143563,1085.4804995887225,1080.295208075249,1094.9747383782435,1874.1518038124364,1581.0067841793075,1522.328545412204,117.25800785325154,1841.2337966041412,44.81611812535399,1729.193501290756,1726.6919104452454
0,24,2659468.0,2899438605,29,2581813.0,True,1483767865,49.0,16.0,50.0,29.0,48.0,28.0,9.0,79.0,88.0,6.0,152545459.0,116782914.0,91654584.0,102099826.0,180012313.0,119576842.0,113457795.0,94296097.0,101525357.0,126417273.0,ESL One Genting 2017,Execration.,WarriorsGaming.Unity,1072.809861917413,1090.9882912151165,1087.096788080029,1140.1266353271412,1109.3705300868803,1096.0267672329717,1126.4433282737962,1120.3911118033755,1208.4699180526989,1157.3532385038177,1792.2013641611159,1521.8466791659819,1418.5655750572873,108.14187399805361,1749.7897030233983,44.522603774092524,1638.483193588167,1637.29365376459,1136.2790500365998,1159.5336445086396,1153.7878088318591,1097.4487255875977,1137.4932988470125,1222.356308193987,1272.1801131134532,1261.1085044354666,1147.735318976807,1228.8016826697037,1848.3701730151777,1618.7623133872269,1653.7343945125092,91.84314385118033,1785.5527142261258,46.27358382926748,1669.868754652957,1681.0226008558927
0,27,2659468.0,2899561092,4,2581813.0,False,1483772356,89.0,112.0,71.0,13.0,2.0,10.0,87.0,8.0,107.0,98.0,152545459.0,91654584.0,116782914.0,180012313.0,102099826.0,126417273.0,94296097.0,113457795.0,119576842.0,101525357.0,ESL One Genting 2017,Execration.,WarriorsGaming.Unity,1072.809861917413,1090.9882912151165,1087.096788080029,1140.1266353271412,1109.3705300868803,1096.0267672329717,1126.4433282737962,1120.3911118033755,1208.4699180526989,1157.3532385038177,1792.2013641611159,1521.8466791659819,1418.5655750572873,108.14187399805361,1749.7897030233983,44.522603774092524,1638.483193588167,1637.29365376459,1136.2790500365998,1159.5336445086396,1153.7878088318591,1097.4487255875977,1137.4932988470125,1222.356308193987,1272.1801131134532,1261.1085044354666,1147.735318976807,1228.8016826697037,1848.3701730151777,1618.7623133872269,1653.7343945125092,91.84314385118033,1785.5527142261258,46.27358382926748,1669.868754652957,1681.0226008558927
