"match_id","win","hero_id","account_id","leaguename"
3176542698,false,84,117421467,"EPICENTER: Moscow Season 2"
3176542698,false,110,109512357,"EPICENTER: Moscow Season 2"
3176542698,false,65,89550641,"EPICENTER: Moscow Season 2"
3176542698,true,2,86785083,"EPICENTER: Moscow Season 2"
3176542698,true,83,91460772,"EPICENTER: Moscow Season 2"
3176542698,true,17,87586992,"EPICENTER: Moscow Season 2"
3176542698,true,63,123051238,"EPICENTER: Moscow Season 2"
3176542698,true,87,89269794,"EPICENTER: Moscow Season 2"
3176414167,true,8,87285329,"EPICENTER: Moscow Season 2"
3176414167,true,73,70388657,"EPICENTER: Moscow Season 2"
3176414167,true,83,117421467,"EPICENTER: Moscow Season 2"
3176414167,true,5,109512357,"EPICENTER: Moscow Season 2"
3176414167,true,33,89550641,"EPICENTER: Moscow Season 2"
3176414167,false,55,86785083,"EPICENTER: Moscow Season 2"
3176414167,false,71,91460772,"EPICENTER: Moscow Season 2"
3176414167,false,75,87586992,"EPICENTER: Moscow Season 2"
3176414167,false,1,123051238,"EPICENTER: Moscow Season 2"
3176414167,false,27,89269794,"EPICENTER: Moscow Season 2"
3175770526,true,104,86785083,"EPICENTER: Moscow Season 2"
3175770526,true,7,91460772,"EPICENTER: Moscow Season 2"
3175770526,true,106,87586992,"EPICENTER: Moscow Season 2"
3175770526,true,8,123051238,"EPICENTER: Moscow Season 2"
3175770526,true,5,89269794,"EPICENTER: Moscow Season 2"
3175770526,false,107,113331514,"EPICENTER: Moscow Season 2"
3175770526,false,55,92847434,"EPICENTER: Moscow Season 2"
3175770526,false,46,5150808,"EPICENTER: Moscow Season 2"
3175770526,false,87,182993582,"EPICENTER: Moscow Season 2"
3175770526,false,67,132739889,"EPICENTER: Moscow Season 2"
3175600767,false,65,86785083,"EPICENTER: Moscow Season 2"
3175600767,false,84,91460772,"EPICENTER: Moscow Season 2"
3175600767,false,11,87586992,"EPICENTER: Moscow Season 2"
3175600767,false,95,123051238,"EPICENTER: Moscow Season 2"
3175600767,false,86,89269794,"EPICENTER: Moscow Season 2"
3175600767,true,32,113331514,"EPICENTER: Moscow Season 2"
3175600767,true,51,92847434,"EPICENTER: Moscow Season 2"
3175600767,true,17,5150808,"EPICENTER: Moscow Season 2"
3175600767,true,37,182993582,"EPICENTER: Moscow Season 2"
3175600767,true,67,132739889,"EPICENTER: Moscow Season 2"
3175497089,true,57,86785083,"EPICENTER: Moscow Season 2"
3175497089,true,14,91460772,"EPICENTER: Moscow Season 2"
3175497089,true,70,87586992,"EPICENTER: Moscow Season 2"
3175497089,true,81,123051238,"EPICENTER: Moscow Season 2"
3175497089,true,5,89269794,"EPICENTER: Moscow Season 2"
