,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
0,399379235,20,3,SLTV Star Series Season 8 - No Contribution,124,xGame.kz,,TheRerereTRY,,0,0,0,92,45,31,43,40,103,5,51,9,47,98,17,63,86,21,54,46,13,65,76,1
0,399442837,20,3,SLTV Star Series Season 8 - No Contribution,124,PO5EiDON,,xGame.kz,,0,0,0,45,51,102,62,92,31,99,98,103,28,9,69,40,17,13,54,5,15,36,68,0
0,399520020,20,3,SLTV Star Series Season 8 - No Contribution,124,SuperStrongDinosaurs,,Team Empire,21,0,0,0,31,103,92,40,51,98,5,72,54,56,97,15,76,3,86,47,26,1,63,21,1
0,399577295,20,3,SLTV Star Series Season 8 - No Contribution,124,Team Aspera.,,TheRerereTRY,,0,0,0,92,76,40,51,31,103,5,47,63,102,54,45,98,3,9,21,62,69,17,13,1
0,399629404,20,3,SLTV Star Series Season 8 - No Contribution,124,Team Aspera.,,mousesports,57,0,0,0,92,51,40,76,98,31,103,45,21,5,69,86,9,58,65,20,8,3,47,63,0
0,400510598,20,3,SLTV Star Series Season 8 - No Contribution,124,FlipSideTactics,,Team Empire,21,0,0,0,103,31,76,51,40,98,5,54,63,62,3,17,89,92,15,13,80,46,11,53,0
0,400630720,20,3,SLTV Star Series Season 8 - No Contribution,124,_PowerRangers,,PO5EiDON,,0,0,0,103,31,98,45,40,5,51,99,28,13,36,92,56,47,89,73,17,48,34,20,0
0,400704127,20,3,SLTV Star Series Season 8 - No Contribution,124,Osliki Gaming,,4 Friends + Chrillee,,0,0,0,92,45,54,98,51,76,63,31,40,15,99,47,5,72,103,23,86,102,3,66,1
0,400755380,20,3,SLTV Star Series Season 8 - No Contribution,124,PO5EiDON,,FlipSideTactics,,0,0,1,51,103,40,31,47,98,92,45,88,102,60,99,63,89,86,21,5,13,62,69,1
0,401653555,20,3,SLTV Star Series Season 8 - No Contribution,124,xGame.kz,,4 Friends + Chrillee,,0,0,0,76,45,103,31,9,51,92,40,17,47,54,80,5,98,63,3,46,13,49,69,1
0,401731044,20,3,SLTV Star Series Season 8 - No Contribution,124,_PowerRangers,,xGame.kz,,0,0,0,45,31,92,51,103,40,63,5,98,13,47,17,21,9,20,76,3,23,15,73,0
0,401803299,20,3,SLTV Star Series Season 8 - No Contribution,124,_PowerRangers,,SuperStrongDinosaurs,,0,0,1,98,40,92,103,31,5,51,9,13,99,47,56,76,23,86,79,69,72,54,39,1
0,401854013,20,3,SLTV Star Series Season 8 - No Contribution,124,PO5EiDON,,Radical Online X-tremists,,0,0,1,62,72,102,99,40,103,31,69,39,47,56,45,54,5,92,98,15,17,76,11,0
0,407519912,20,3,SLTV Star Series Season 8 - No Contribution,124,xGame.kz,,FlipSideTactics,,0,0,0,103,31,45,98,51,92,5,40,76,102,63,47,17,54,9,13,86,69,80,3,1
0,407694194,20,3,SLTV Star Series Season 8 - No Contribution,124,_PowerRangers,,4 Friends + Chrillee,,0,0,0,5,45,63,31,51,40,9,92,39,66,3,54,73,21,76,23,48,98,46,72,1
0,407748243,20,3,SLTV Star Series Season 8 - No Contribution,124,Fnatic,7,Team Aspera.,,0,0,0,45,103,65,76,92,53,40,63,91,62,3,98,13,55,88,102,47,9,72,17,1
0,408694756,20,3,SLTV Star Series Season 8 - No Contribution,124,FlipSideTactics,,_PowerRangers,,0,0,0,98,103,45,31,51,92,54,40,13,99,17,63,66,5,43,56,72,65,27,73,0
0,408765938,20,3,SLTV Star Series Season 8 - No Contribution,124,SIGMA.int,,My Horse is Amazing!!!,,0,0,0,98,103,31,53,40,9,3,51,76,48,62,56,13,69,102,92,11,15,63,21,1
0,408792116,20,3,SLTV Star Series Season 8 - No Contribution,124,mousesports,57,SuperStrongDinosaurs,,0,0,0,5,40,31,76,92,99,98,9,86,51,50,72,3,65,13,46,89,20,21,79,0
0,409646633,20,3,SLTV Star Series Season 8 - No Contribution,124,Alliance,,Virtus.pro,18,0,0,0,31,40,92,47,69,103,5,86,89,54,66,3,9,63,53,13,52,76,88,20,1
0,409701819,20,3,SLTV Star Series Season 8 - No Contribution,124,Osliki Gaming,,Virtus.pro,18,0,0,0,98,47,31,99,40,5,9,69,73,45,103,63,51,92,21,13,54,76,11,1,1
0,409761107,20,3,SLTV Star Series Season 8 - No Contribution,124,Osliki Gaming,,TheRerereTRY,,0,0,1,47,51,98,103,9,5,45,53,99,3,63,92,88,86,17,76,31,69,66,73,0
0,410677311,20,3,SLTV Star Series Season 8 - No Contribution,124,Virtus.pro,18,Team Empire,21,0,0,0,40,103,47,54,31,69,5,98,76,43,92,99,9,102,7,63,13,17,39,65,1
0,410760421,20,3,SLTV Star Series Season 8 - No Contribution,124,Radical Online X-tremists,,Team Empire,21,0,0,1,69,103,98,31,45,92,72,53,51,83,76,99,40,7,88,49,66,56,21,58,0
0,410808055,20,3,SLTV Star Series Season 8 - No Contribution,124,Virtus.pro,18,mousesports,57,0,0,0,40,103,76,45,92,5,99,98,65,50,51,9,63,26,102,11,23,46,17,73,1
0,410842539,20,3,SLTV Star Series Season 8 - No Contribution,124,Osliki Gaming,,SIGMA.int,,0,0,0,91,47,76,102,103,51,9,3,53,45,5,98,21,92,40,13,54,11,46,72,0
0,411825764,20,3,SLTV Star Series Season 8 - No Contribution,124,Virtus.pro,18,FlipSideTactics,,0,0,0,9,103,40,45,51,5,99,27,13,53,69,66,102,56,63,73,20,76,88,43,1
0,411901111,20,3,SLTV Star Series Season 8 - No Contribution,124,Team Aspera.,,xGame.kz,,0,0,0,98,51,69,76,31,40,9,103,17,45,102,92,21,73,53,63,47,79,34,13,1
