,match_id,start_time,radiant_team_id,radiant_score,dire_team_id,dire_score,radiant_win
95,2968747068,1486094474,3326875.0,37,24.0,11,True
96,2968860662,1486097783,24.0,15,3326875.0,42,False
97,2969163445,1486105304,2644737.0,10,2659468.0,30,False
98,2969276964,1486107880,2659468.0,34,2644737.0,16,True
99,2969820681,1486119666,2790766.0,14,1883502.0,7,False
100,2970412970,1486130537,3728003.0,10,2621843.0,26,False
101,2970416410,1486130597,3722485.0,27,2642171.0,18,True
102,2970577447,1486133511,2621843.0,31,3728003.0,30,True
103,2970643286,1486134749,3722485.0,46,2642171.0,28,True
104,2970960865,1486141294,2533075.0,23,111474.0,4,True
105,2971099287,1486144519,2533075.0,27,111474.0,9,True
106,2971447386,1486155660,3720366.0,27,2512249.0,29,False
107,2971578484,1486159295,2512249.0,43,3720366.0,37,False
108,2971715011,1486164289,2512249.0,6,3720366.0,25,False
109,2971807068,1486167898,3.0,21,2701329.0,18,True
110,2971868734,1486170824,3.0,15,2701329.0,5,True
111,2972204245,1486180958,1105664.0,22,2108395.0,22,False
112,2972367043,1486185172,1105664.0,3,2108395.0,24,False
113,2972634851,1486191313,543897.0,20,2581813.0,24,False
114,2972824737,1486195305,543897.0,23,2581813.0,4,True
115,2972978607,1486198453,543897.0,24,2581813.0,14,True
116,2973348752,1486205974,1964407.0,35,2006913.0,41,False
117,2973632094,1486211210,1964407.0,19,2006913.0,6,True
118,2973783723,1486213880,1964407.0,10,2006913.0,34,False
119,2973954222,1486216842,2163.0,18,3729377.0,18,True
120,2974011492,1486217857,3332295.0,4,46.0,16,False
121,2974151846,1486220375,46.0,7,3332295.0,32,False
122,2974171489,1486220740,2163.0,21,3729377.0,37,False
123,2974303865,1486223232,46.0,27,3332295.0,21,True
124,2974403760,1486225217,3729377.0,16,2163.0,21,False
125,2974542152,1486228128,1838315.0,16,36.0,30,False
126,2974745922,1486232838,1838315.0,39,36.0,22,True
127,2974919250,1486237327,1838315.0,24,36.0,36,False
128,2975141703,1486242115,3214108.0,30,3580606.0,22,True
129,2975288006,1486246347,3214108.0,25,3580606.0,11,True
130,2975454784,1486252646,2672298.0,14,3722973.0,23,False
131,2975540941,1486255921,3722973.0,31,2672298.0,4,True
132,2975926730,1486267284,3326875.0,26,2659468.0,11,True
133,2976083678,1486271229,3326875.0,26,2659468.0,19,True
134,2976385447,1486277740,543897.0,10,2108395.0,20,False
135,2976515921,1486280338,543897.0,19,2108395.0,32,False
136,2977118488,1486292144,2790766.0,28,2621843.0,16,True
137,2977280066,1486295267,2621843.0,21,2790766.0,34,False
138,2977712951,1486303157,46.0,34,2006913.0,18,True
139,2977741688,1486303695,3722485.0,25,36.0,16,True
140,2977907901,1486306962,2006913.0,24,46.0,18,True
141,2977942296,1486307676,3722485.0,38,36.0,24,True
142,2978066219,1486310359,46.0,17,2006913.0,10,True
143,2978221218,1486314027,2163.0,22,2533075.0,6,True
144,2978346983,1486317284,2533075.0,39,2163.0,33,False
145,2978764318,1486328406,3.0,33,3720366.0,17,True
146,2978869552,1486331993,3.0,44,3720366.0,19,True
147,2979022392,1486339058,3722973.0,6,3214108.0,20,False
148,2979097192,1486342571,3722973.0,5,3214108.0,24,False
149,2979381128,1486353558,24.0,7,2644737.0,21,False
150,2979474191,1486356575,24.0,4,2644737.0,17,False
151,2979737413,1486364349,1105664.0,11,2581813.0,23,False
152,2979825842,1486366766,1105664.0,24,2581813.0,15,True
153,2979953656,1486370049,1105664.0,41,2581813.0,18,True
154,2980356827,1486379402,3728003.0,10,1883502.0,11,True
155,2980876773,1486389543,1964407.0,25,3332295.0,21,True
156,2980900253,1486390003,2642171.0,16,1838315.0,33,False
157,2981092405,1486393915,1838315.0,31,2642171.0,7,True
158,2981100686,1486394094,1964407.0,18,3332295.0,8,True
159,2981368042,1486400446,3729377.0,18,111474.0,1,True
160,2981471982,1486403261,111474.0,27,3729377.0,9,True
161,2981603045,1486407169,3729377.0,10,111474.0,23,False
162,2981775771,1486415141,2701329.0,20,2512249.0,32,False
163,2981833288,1486418666,2701329.0,11,2512249.0,28,False
164,2982142868,1486440361,2644737.0,5,2659468.0,29,False
165,2982194455,1486443101,2659468.0,20,2644737.0,12,True
166,2982353761,1486450603,543897.0,23,1105664.0,9,True
167,2982462454,1486455055,543897.0,37,1105664.0,37,True
168,2982735894,1486464990,3728003.0,45,2621843.0,14,True
169,2982876027,1486469375,3728003.0,13,2621843.0,27,False
170,2983006157,1486473038,2621843.0,18,3728003.0,5,True
171,2983105664,1486475735,1964407.0,20,2006913.0,10,True
172,2983122292,1486476192,36.0,19,1838315.0,26,False
173,2983222528,1486479043,2006913.0,22,1964407.0,18,True
174,2983258686,1486480130,36.0,25,1838315.0,33,False
175,2983344621,1486482826,2006913.0,23,1964407.0,30,True
176,2983467479,1486487097,2533075.0,23,111474.0,11,True
177,2983571441,1486491049,2533075.0,27,111474.0,20,False
178,2983671569,1486495335,111474.0,22,2533075.0,29,False
179,2983786347,1486501272,3720366.0,20,2512249.0,42,False
180,2983844150,1486504998,3720366.0,10,2512249.0,27,False
181,2983931333,1486512047,3580606.0,6,3722973.0,32,False
182,2983965240,1486515515,3580606.0,11,3722973.0,24,False
183,2984356176,1486537328,3326875.0,23,543897.0,4,True
184,2984415242,1486539735,543897.0,10,3326875.0,23,False
185,2984639741,1486548090,2659468.0,14,2108395.0,25,False
186,2984744617,1486551731,2659468.0,34,2108395.0,25,True
187,2984862241,1486555402,2659468.0,25,2108395.0,8,True
188,2985126328,1486562678,2533075.0,18,3722485.0,31,False
189,2985292104,1486567457,3722485.0,30,2533075.0,13,True
190,2985468097,1486573270,2163.0,16,1838315.0,3,True
191,2985537145,1486575829,2163.0,24,1838315.0,12,True
192,2986341487,1486623768,2108395.0,14,543897.0,32,False
193,2986432328,1486627547,2108395.0,33,543897.0,34,True
194,2986537078,1486631588,2108395.0,30,543897.0,11,True
195,2986617948,1486634596,3326875.0,9,2659468.0,20,False
196,2986720363,1486638265,3326875.0,24,2659468.0,18,True
197,2986834561,1486641917,3326875.0,29,2659468.0,31,False
198,2987084211,1486648845,2533075.0,26,1838315.0,17,True
199,2987211184,1486652930,1838315.0,21,2533075.0,4,True
200,2987313759,1486656379,2533075.0,23,1838315.0,12,True
201,2987413414,1486659781,3722485.0,31,2163.0,20,True
202,2987524070,1486664036,2163.0,36,3722485.0,40,True
203,2987642896,1486669284,3722485.0,12,2163.0,23,False
204,2988308823,1486710027,3326875.0,23,2108395.0,16,True
205,2988397066,1486713460,2108395.0,13,3326875.0,40,False
206,2988609800,1486721210,3326875.0,26,2659468.0,12,True
207,2988704822,1486724542,3326875.0,17,2659468.0,1,True
208,2989101259,1486735410,3722485.0,36,2533075.0,41,True
209,2989360031,1486742319,2533075.0,11,3722485.0,29,False
210,2989528495,1486747439,2163.0,24,3722485.0,11,True
211,2989649323,1486751655,3722485.0,9,2163.0,22,False
212,2989854774,1486760369,3722973.0,31,3.0,21,True
213,2989923124,1486764062,3722973.0,22,3.0,36,False
214,2989983776,1486768610,3722973.0,27,3.0,29,False
215,2990045419,1486773388,3214108.0,11,2512249.0,27,False
216,2990098074,1486776967,3214108.0,23,2512249.0,30,False
217,2991426553,1486821663,2006913.0,4,2790766.0,26,False
218,2991536857,1486824385,2006913.0,12,2790766.0,21,False
219,2991607520,1486826178,2586976.0,24,111474.0,4,True
220,2991714067,1486828978,111474.0,36,2586976.0,38,False
221,2991827866,1486832160,46.0,35,2621843.0,9,True
222,2991926227,1486835105,2621843.0,32,46.0,22,True
223,2992074431,1486839993,2621843.0,14,46.0,38,False
224,2992096687,1486840800,2642171.0,34,3729377.0,31,True
225,2992217489,1486845476,2642171.0,29,3729377.0,13,True
226,2992254380,1486847085,3722973.0,5,3214108.0,29,False
