,againstHero,games,hero,losses,shift,wins
0,64,10,65,1,31.455780164415454,9
1,107,10,73,1,28.662979189254322,9
2,91,10,43,0,27.344584558244538,10
3,103,15,86,2,23.967936503754768,13
4,57,12,41,2,23.379405756490286,10
5,26,10,10,2,22.772023260468664,8
6,84,10,94,1,22.762013140609874,9
7,20,11,85,2,22.58682017719025,9
8,17,11,44,2,22.07291294624117,9
9,111,24,70,5,21.76194128198864,19
10,106,10,87,1,21.56454285087387,9
11,87,29,109,6,21.22636324198765,23
12,74,14,110,3,20.87504771154673,11
13,64,10,9,2,20.434576500484805,8
14,110,12,109,2,20.16933250309852,10
15,41,13,10,2,19.73715787827288,11
16,5,10,9,2,19.535484203654345,8
17,55,12,75,2,19.50260854320923,10
18,62,11,71,1,19.25694711756818,10
19,110,12,29,2,19.248543702222978,10
20,62,13,50,3,19.202113459727393,10
21,57,18,28,3,19.08730071874414,15
22,87,10,85,2,19.06738234368307,8
23,26,11,88,3,18.785991491960523,8
24,70,15,86,4,18.5852223692848,11
25,18,10,37,2,18.374799448579125,8
26,106,12,20,4,18.3115400770612,8
27,58,11,87,2,18.229025747195355,9
28,51,11,98,3,18.11615896281521,8
29,79,12,7,3,18.096381711285993,9
30,90,11,76,4,18.031869037099202,7
31,93,12,48,2,17.975039121937545,10
32,63,13,70,3,17.959510637912526,10
33,34,12,91,3,17.68170151948013,9
34,41,10,110,1,17.607251464829996,9
35,63,13,76,2,17.535738224915978,11
36,88,12,13,4,17.46642955261517,8
37,26,11,49,4,17.344464565076983,7
38,30,22,65,5,17.16851241113137,17
39,17,12,37,4,17.032407993640543,8
40,26,13,54,5,16.939787162296547,8
41,43,14,38,5,16.915982285417527,9
42,38,12,15,3,16.880495720481196,9
43,63,13,28,3,16.83915101157232,10
44,87,16,46,5,16.835827645118428,11
45,20,10,48,2,16.747092552182814,8
46,57,13,76,3,16.719909290440036,10
47,88,14,75,3,16.698120760316787,11
48,30,13,85,3,16.384026425638844,10
49,62,13,103,4,16.29915650058687,9
50,59,11,103,3,16.266656443008632,8
51,90,12,91,4,16.09870244517902,8
52,73,15,109,4,16.045215872132836,11
53,55,16,109,4,15.902114621962271,12
54,88,17,49,4,15.76971606417422,13
55,17,15,38,4,15.678044683298907,11
56,29,12,73,3,15.669782329836798,9
57,16,10,59,4,15.561569445873221,6
58,70,12,88,3,15.445871190573252,9
59,74,11,112,3,15.445414304360204,8
60,90,11,18,3,15.206260273523736,8
61,90,17,88,5,15.203720699131468,12
62,93,14,91,4,15.158713886270988,10
63,84,14,40,5,15.139436492633187,9
64,57,15,37,4,15.06777664357477,11
65,73,14,23,4,15.067057394128556,10
66,14,10,65,2,15.014185877069247,8
67,9,10,51,3,14.933479318486382,7
68,26,24,38,7,14.873702675608984,17
69,93,25,38,8,14.706979782976548,17
70,104,18,28,4,14.692440414810822,14
71,62,19,20,5,14.58480992394943,14
72,110,11,50,3,14.53197897415603,8
73,111,30,62,9,14.365589379046474,21
74,107,25,62,8,14.352538477201135,17
75,93,10,17,3,14.339747933079,7
76,28,10,66,4,14.329185091749263,6
77,86,12,17,3,14.311620358508238,9
78,46,11,91,3,14.304066831342244,8
79,84,10,44,3,14.273373064789187,7
80,60,10,8,3,14.262033464961124,7
81,50,12,109,4,14.261856398454315,8
82,98,11,71,3,14.175605929164412,8
83,8,16,71,5,14.113253369392229,11
84,110,16,8,4,14.095812927776766,12
85,57,20,9,5,13.952239963411909,15
86,46,14,79,5,13.9267444372902,9
87,70,12,109,3,13.90225333563024,9
88,26,33,107,8,13.8753667821026,25
89,55,22,2,7,13.871872112800904,15
90,63,10,10,3,13.847715879097754,7
91,38,16,73,6,13.771113964229546,10
92,111,16,109,5,13.722443192828687,11
93,37,10,13,3,13.71058873552403,7
94,20,18,10,5,13.692854024847371,13
95,26,13,69,4,13.665838119385654,9
96,84,16,13,5,13.61439780977119,11
97,37,12,5,3,13.59306711232449,9
98,13,15,73,5,13.471561712276628,10
