,againstHero,games,hero,losses,shift,wins
0,19,12,107,1,27.902421454254707,11
1,64,11,65,2,27.727149312498728,9
2,91,10,43,0,27.34458455824453,10
3,90,14,76,4,23.99660276951993,10
4,103,15,86,2,23.967936503754764,13
5,55,12,89,2,23.859507970316177,10
6,65,10,97,3,23.53209680517744,7
7,57,13,41,2,23.15616213187528,11
8,26,10,10,2,22.77202326046866,8
9,84,10,94,1,22.762013140609877,9
10,17,11,44,2,22.072912946241175,9
11,111,25,70,6,21.76194128198864,19
12,37,10,104,2,20.681486856575926,8
13,18,11,37,2,20.49673353679967,9
14,110,12,109,2,20.16933250309851,10
15,51,12,98,3,20.0679948728163,9
16,41,13,10,2,19.737157878272868,11
17,46,12,30,3,19.658771905767804,9
18,62,13,71,1,19.577656350343144,12
19,6,11,12,4,19.32835940292554,7
20,106,12,107,2,19.31961041681027,10
21,110,12,29,2,19.248543702222978,10
22,106,15,50,3,19.19241412512063,12
23,88,16,75,3,18.956526305212513,13
24,57,20,28,4,18.917976797154502,16
25,79,13,7,3,18.404801500191937,10
26,50,11,46,2,18.380392496841136,9
27,28,12,52,2,18.364553051836488,10
28,58,13,87,2,18.24410492014657,11
29,93,12,76,3,18.082770445937008,9
30,62,10,63,2,18.031802170985944,8
31,107,12,73,3,18.009767759901283,9
32,64,11,9,3,17.707873254379976,8
33,87,32,109,8,17.701039370075165,24
34,11,10,63,3,17.63634503388182,7
35,41,10,110,1,17.607251464829996,9
36,88,19,49,4,17.532034552741443,15
37,37,10,89,2,17.418835616565147,8
38,26,11,49,4,17.344464565076983,7
39,62,16,50,4,17.235813943056094,12
40,106,11,48,2,17.192330163510128,9
41,48,12,73,3,17.093964024864245,9
42,73,17,109,4,17.085641782719854,13
43,26,13,54,5,16.93978716229654,8
44,43,14,38,5,16.91598228541753,9
45,57,15,76,4,16.89647205199251,11
46,38,12,15,3,16.880495720481193,9
47,74,15,110,4,16.836715903263343,11
48,5,13,9,3,16.7060467975664,10
49,28,12,71,2,16.63851586652194,10
50,39,13,55,4,16.616243530697464,9
51,49,10,96,3,16.4668046049511,7
52,63,11,10,3,16.316509167938314,8
53,62,13,103,4,16.29915650058687,9
54,59,11,103,3,16.266656443008642,8
55,87,14,85,3,16.25520793639719,11
56,17,14,37,5,16.224073122382876,9
57,30,25,65,6,16.220777761486314,19
58,87,23,46,7,16.166397812758035,16
59,90,12,91,4,16.098702445179015,8
60,28,12,66,4,16.011877124422664,8
61,37,17,63,5,15.955493748739721,12
62,63,18,20,5,15.832253743781482,13
63,104,12,50,3,15.773911417272641,9
64,46,15,79,5,15.695062063539163,10
65,17,15,38,4,15.678044683298898,11
66,29,12,73,3,15.669782329836798,9
67,16,10,59,4,15.561569445873218,6
68,16,18,106,5,15.530666511008816,13
69,74,11,112,3,15.445414304360199,8
70,63,17,70,5,15.423330820666749,12
71,62,20,20,5,15.291234725709055,15
72,90,11,18,3,15.206260273523743,8
73,84,14,40,5,15.139436492633184,9
74,57,15,37,4,15.067776643574769,11
75,93,26,38,8,14.945048831229194,18
76,26,24,38,7,14.873702675608982,17
77,90,19,88,6,14.848820731417785,13
78,111,17,109,5,14.83552280759147,12
79,93,11,17,3,14.792328082005683,8
80,37,13,5,3,14.756162408233527,10
81,49,11,62,4,14.691411076024671,7
82,69,11,41,4,14.652343776177771,7
83,88,14,13,6,14.6368480815469,8
84,111,31,62,9,14.463263378850396,22
85,93,16,48,4,14.392053755515036,12
86,26,12,88,4,14.385453144142543,8
87,55,10,80,3,14.33309852037076,7
88,55,18,75,5,14.305259411887567,13
89,46,11,91,3,14.304066831342244,8
90,60,10,8,3,14.262033464961128,7
91,57,21,9,5,14.205802139668359,16
92,28,15,112,5,14.162036513146953,10
93,106,24,87,6,14.142460326987873,18
94,51,18,48,4,13.956606344293473,14
95,63,20,76,4,13.935325978058145,16
96,30,27,54,8,13.923397923845725,19
97,70,12,109,3,13.902253335630233,9
98,86,16,109,5,13.838248765872814,11
99,38,16,73,6,13.771113964229547,10
100,88,12,109,3,13.730907256228043,9
101,37,10,13,3,13.710588735524032,7
102,46,22,9,8,13.70496575592517,14
103,26,13,69,4,13.66583811938565,9
104,13,15,73,5,13.471561712276639,10
105,74,27,48,10,13.450895577876453,17
106,10,25,23,9,13.45057355573614,16
107,73,12,90,3,13.337519609995004,9
108,89,12,73,4,13.292782754035754,8
109,58,10,89,3,13.242354787086834,7
110,70,15,88,4,13.239318163348516,11
111,86,12,52,3,13.150274929933458,9
112,30,24,9,7,13.086601208658116,17
113,6,14,66,4,12.900366001703459,10
114,86,14,17,4,12.845058614378047,10
115,54,28,109,9,12.824426413749993,19
116,2,21,76,7,12.801773404860658,14
117,26,35,107,9,12.719830578595298,26
118,39,12,54,4,12.719289008108062,8
119,87,11,97,5,12.69108979690934,6
120,107,18,70,6,12.682033904752588,12
121,107,13,66,4,12.675436620401037,9
122,3,12,8,3,12.625631089351694,9
123,73,15,23,5,12.578415919943863,10
124,8,15,66,4,12.577302494556069,11
125,104,12,48,3,12.498145078794371,9
126,15,11,28,3,12.48540617456215,8
127,93,22,62,7,12.439036445917942,15
128,20,18,23,5,12.419097927334024,13
129,98,13,71,4,12.389943801613084,9
130,93,20,50,7,12.385609627032688,13
131,9,11,97,4,12.349501112253755,7
132,93,12,26,4,12.342400061412198,8
133,51,10,74,3,12.299925807232606,7
134,11,16,54,5,12.197817241087678,11
135,93,20,41,5,12.152619394683915,15
136,20,16,85,5,12.097313339051045,11
137,58,11,103,3,12.093407699535737,8
138,79,11,112,3,12.089617166544242,8
139,11,12,46,5,12.070908259142044,7
140,28,14,80,5,12.060119231134523,9
141,29,11,70,3,12.030336124564109,8
142,38,15,10,4,12.029907406435383,11
143,107,28,62,10,12.009467725805582,18
144,63,19,9,7,11.997572673730792,12
145,54,16,104,5,11.95764257880154,11
146,84,18,13,7,11.935528256500719,11
147,18,13,17,5,11.905263091036245,8
148,43,14,109,5,11.866460109925438,9
149,55,14,85,5,11.860707980162308,9
150,55,10,108,3,11.846202494892411,7
151,85,17,37,4,11.836833776252563,13
152,23,15,62,4,11.828374088275869,11
153,28,35,109,11,11.826569300040482,24
154,50,14,109,5,11.809368464557789,9
155,55,25,2,9,11.807932628931718,16
156,110,13,50,4,11.789801735998644,9
157,26,14,46,5,11.785571142877396,9
