,againstHero,games,hero,losses,shift,wins
0,88,11,37,1,27.057249327206794,10
1,30,11,54,1,25.713620235434703,10
2,48,10,35,1,25.155197930838906,9
3,76,13,35,3,24.45415726080802,10
4,100,12,54,2,23.111299810651484,10
5,34,10,51,1,22.213174768846972,9
6,93,13,96,2,21.644278578741655,11
7,50,18,55,4,21.384042844031153,14
8,30,12,107,2,21.034566601211726,10
9,104,10,2,2,20.46007896352223,8
10,107,10,66,2,20.152222817707916,8
11,20,11,25,2,19.98791829237953,9
12,2,13,54,2,19.759970484752476,11
13,28,14,112,3,19.249826897720943,11
14,50,10,70,3,18.66920839814296,7
15,11,11,25,2,18.268065492344636,9
16,63,17,91,4,18.120595699414864,13
17,16,11,98,3,18.093280468518255,8
18,88,10,57,3,18.03608858455504,7
19,90,23,28,5,17.842079516061677,18
20,11,12,98,3,17.79113396344492,9
21,107,13,35,2,17.620728555906965,11
22,16,22,74,5,17.470138560724315,17
23,34,11,87,3,17.338115350277818,8
24,73,10,54,2,17.106743436572106,8
25,41,12,86,2,16.916591977189356,10
26,16,11,46,3,16.858130505059204,8
27,90,12,63,3,16.840668609829066,9
28,91,11,20,3,16.614550431285505,8
29,11,13,70,3,16.32604658673946,10
30,106,10,23,3,16.05394351537058,7
31,37,24,54,7,16.03430293245744,17
32,8,11,98,2,15.96259366832557,9
33,88,12,109,2,15.756053179646178,10
34,48,11,9,3,15.643745764186933,8
35,93,10,11,2,15.321419061771829,8
36,73,11,37,4,15.237735204111457,7
37,2,16,70,5,15.20234077608459,11
38,73,14,90,4,15.181297397438652,10
39,87,14,70,4,15.12081768591584,10
40,91,12,96,3,15.083901067533665,9
41,80,12,50,2,14.926124931290452,10
42,63,13,109,3,14.866102829084163,10
43,46,16,96,6,14.744941109171663,10
44,8,11,65,3,14.67711948639893,8
45,74,23,28,6,14.602487166516608,17
46,80,11,35,3,14.578551377058158,8
47,63,33,84,10,14.557123158417967,23
48,14,11,63,4,14.53302527333945,7
49,95,11,107,3,14.460264509685397,8
50,34,12,28,3,14.433851353414235,9
51,90,10,48,3,14.062301149493257,7
52,8,13,114,3,14.054987210160682,10
53,71,13,8,4,13.992705985768803,9
54,46,12,84,3,13.974033982222737,9
55,88,24,46,6,13.65005256735965,18
56,5,18,84,5,13.492491984016144,13
57,55,25,11,6,13.485189958967284,19
58,69,11,28,4,13.38734226962898,7
59,84,10,76,3,13.371791794476119,7
60,16,10,91,3,13.247386679926667,7
61,114,10,109,2,13.1871519949772,8
62,48,19,54,6,13.122325082638987,13
63,80,10,14,4,13.097202558791373,6
64,17,10,107,3,13.095515887019284,7
65,97,13,8,4,13.031573471749283,9
66,16,23,107,6,12.980459438572407,17
67,114,11,20,3,12.975045668551978,8
68,63,38,54,11,12.927281881197459,27
69,86,16,73,6,12.90546934044994,10
70,54,11,104,3,12.891406783844756,8
71,16,34,87,11,12.76704720332023,23
72,98,10,87,3,12.766560909926934,7
73,98,23,96,8,12.672735601907378,15
74,50,12,102,5,12.613397644799399,7
75,86,10,39,4,12.521968554365156,6
76,73,17,107,6,12.476279417058619,11
77,11,38,96,12,12.43376452627604,26
78,51,11,74,3,12.350755204498364,8
79,85,11,96,3,12.207174001404555,8
80,30,10,87,3,11.954020606538128,7
81,88,12,104,4,11.911529882206118,8
82,76,10,55,2,11.845869320079572,8
83,86,17,109,4,11.844463141455284,13
84,95,10,88,3,11.838381077895013,7
85,109,11,5,4,11.832394491701882,7
86,37,17,25,6,11.733244595076602,11
87,80,15,107,3,11.678062977381895,12
88,2,13,97,4,11.663957871857763,9
89,91,10,98,3,11.6111736728835,7
90,28,18,114,7,11.571094203781072,11
91,16,28,106,8,11.388421643555448,20
92,11,18,37,5,11.382728976908798,13
93,11,19,84,6,11.373729994467022,13
94,69,12,86,4,11.221927430915741,8
95,50,11,109,3,11.21767101593788,8
96,50,12,114,4,11.20297857698265,8
97,17,13,37,5,11.05079407640676,8
98,106,16,104,5,10.9858576113729,11
99,30,13,16,4,10.882729052195028,9
100,74,15,70,6,10.825825286716226,9
101,90,18,106,6,10.722647291777667,12
102,97,11,25,4,10.706492708864033,7
103,50,11,98,3,10.6914012264267,8
104,50,23,20,9,10.679903465549346,14
105,90,20,5,6,10.678407751484231,14
106,75,14,8,4,10.634775722140729,10
107,48,22,96,7,10.412031756955415,15
108,90,16,50,5,10.406651686467335,11
109,114,17,5,6,10.369502294340972,11
110,46,11,75,3,10.358241612595512,8
111,16,37,96,11,10.284315397893865,26
112,87,14,93,5,10.257204602761986,9
113,102,19,86,5,10.227725431566299,14
114,90,15,37,5,10.174182725049684,10
115,55,12,70,4,10.141434019068976,8
116,109,11,102,4,10.030166218885235,7
117,106,14,75,7,10.013304733371458,7
118,90,11,74,3,10.005531313326735,8
119,28,19,25,6,10.004409761163549,13
120,98,16,63,6,9.997373775280366,10
121,86,20,76,7,9.940010233613187,13
122,2,13,106,5,9.919015199493716,8
123,51,17,96,6,9.90017056684033,11
124,86,23,79,8,9.865377107457421,15
125,20,22,84,6,9.790302500691975,16
126,106,17,70,7,9.772908373637206,10
127,16,18,55,6,9.733018432439057,12
128,50,27,107,10,9.722993971104628,17
129,98,14,106,5,9.701360201061402,9
130,73,13,5,5,9.6154675420233,8
131,28,10,18,4,9.538088324550174,6
132,79,12,87,3,9.532024747647966,9
133,95,13,8,5,9.502751434643129,8
134,20,14,51,6,9.477293220680314,8
135,87,13,2,5,9.430732046556473,8
136,63,18,2,7,9.424323722958958,11
137,2,25,107,8,9.34845410579801,17
138,63,25,20,10,9.320091766955512,15
139,90,13,80,4,9.306752684001106,9
140,108,14,63,5,9.298531248541144,9
141,97,13,5,4,9.29611525828206,9
142,2,11,65,3,9.274625860779652,8
143,76,14,50,4,9.228465475536328,10
144,2,10,16,3,9.214178381730257,7
145,30,15,8,5,9.185211827951935,10
