,againstHero,games,hero,losses,shift,wins
0,30,11,54,1,25.713620235434703,10
1,76,13,35,3,24.45415726080802,10
2,50,18,55,4,21.384042844031153,14
3,93,11,96,2,20.479798947683257,9
4,88,10,109,1,19.217087032001295,9
5,50,10,70,3,18.66920839814296,7
6,76,11,70,2,18.16327918336155,9
7,28,13,112,3,17.971811670799113,10
8,90,23,28,5,17.842079516061677,18
9,107,13,35,2,17.620728555906965,11
10,37,16,54,5,17.587582584571035,11
11,2,11,54,2,17.459471983824496,9
12,16,18,74,4,17.072738387287373,14
13,63,15,91,4,16.74510820316582,11
14,73,14,107,4,16.729028870174297,10
15,74,18,28,4,16.65413556471704,14
16,41,11,86,2,16.212567441432284,9
17,97,10,107,3,15.679539610564513,7
18,2,10,97,2,15.661292942741351,8
19,48,11,9,3,15.643745764186933,8
20,50,10,98,2,15.576307807477628,8
21,93,10,11,2,15.321419061771829,8
22,90,11,63,3,15.231492942849917,8
23,73,14,90,4,15.181297397438652,10
24,91,12,96,3,15.083901067533665,9
25,8,10,65,3,15.076101306925045,7
26,11,12,70,3,14.978837163595108,9
27,80,12,50,2,14.926124931290452,10
28,88,17,107,4,14.622923878105594,13
29,80,11,35,3,14.578551377058158,8
30,14,11,63,4,14.53302527333945,7
31,2,13,70,4,14.416654152482302,9
32,2,10,65,2,14.403245473195582,8
33,16,18,107,4,14.391265938932909,14
34,91,10,20,3,14.231787377472761,7
35,102,12,86,2,14.175511618842263,10
36,46,12,84,3,13.974033982222737,9
37,63,32,84,10,13.780562093586637,22
38,63,34,54,9,13.769468131307079,25
39,86,10,14,3,13.51658876982535,7
40,55,25,11,6,13.485189958967284,19
41,84,10,76,3,13.371791794476119,7
42,5,13,20,4,13.290437765849143,9
43,16,10,91,3,13.247386679926667,7
44,93,12,28,3,13.20141174363148,9
45,80,10,14,4,13.097202558791373,6
46,46,15,96,6,13.007933788948428,9
47,5,17,84,5,12.835529049516088,12
48,51,16,96,5,12.677781286430333,11
49,98,23,96,8,12.672735601907378,15
50,11,10,98,3,12.660061190220242,7
51,71,12,8,4,12.540934170497003,8
52,75,12,8,3,12.489331619909464,9
53,16,33,96,8,12.378166138619676,25
54,85,11,96,3,12.207174001404555,8
55,86,15,73,6,12.194166691508588,9
56,90,14,50,4,12.16711832570274,10
57,20,21,84,5,12.095717972205856,16
58,48,18,54,6,12.073710033699513,12
59,30,10,87,3,11.954020606538128,7
60,76,10,55,2,11.845869320079572,8
