,againstHero,games,hero,losses,shift,wins
0,27,11,9,2,28.097384100654775,9
1,63,10,36,1,27.34781964117815,9
2,48,10,35,1,25.155197930838906,9
3,44,10,55,2,23.361076236430034,8
4,10,10,28,1,23.03135332069283,9
5,14,12,55,1,22.798222840334336,11
6,69,13,106,2,22.73676173529586,11
7,27,11,60,1,22.386930252873835,10
8,34,10,51,1,22.213174768846972,9
9,38,11,97,1,22.176359713839886,10
10,86,12,52,2,21.816288972743816,10
11,75,12,77,2,21.65697550735631,10
12,2,12,51,3,21.189478139807612,9
13,100,13,65,2,20.745419763298198,11
14,57,11,13,3,20.619945240208803,8
15,55,16,33,3,20.174007528343807,13
16,107,10,66,2,20.152222817707916,8
17,37,10,77,2,20.07663336239138,8
18,109,11,39,1,19.91522037296725,10
19,95,12,32,2,19.760326388824463,10
20,8,10,36,2,19.67001199910236,8
21,27,11,109,2,19.589550007720504,9
22,15,16,39,3,19.411328140872982,13
23,99,14,18,3,19.290873438644514,11
24,28,14,112,3,19.249826897720943,11
25,48,12,5,2,19.15405252867682,10
26,77,14,50,2,18.9601043763584,12
27,2,10,11,2,18.923084797888755,8
28,90,26,28,5,18.776580206085537,21
29,44,10,5,2,18.758661413857347,8
30,98,10,46,3,18.66966202924449,7
31,104,12,91,1,18.519510158261216,11
32,5,10,18,2,18.464269170029823,8
33,114,21,109,4,18.30576563543077,17
34,71,10,54,2,18.201053620067494,8
35,93,11,46,2,18.083848548834712,9
36,26,11,86,2,18.01144379039894,9
37,8,12,77,3,17.994666569137156,9
38,100,12,39,3,17.749728851184297,9
39,16,14,77,3,17.677083033460956,11
40,23,10,18,3,17.633825837607823,7
41,16,10,67,2,17.493350405648194,8
42,34,11,87,3,17.338115350277818,8
43,35,10,106,3,17.319051156851785,7
44,40,11,17,2,17.086573002444847,9
45,30,11,18,2,17.068354015610023,9
46,27,21,5,6,17.02393852387809,15
47,10,11,86,3,16.95145578080744,8
48,30,17,5,3,16.83586234693501,14
49,41,14,5,5,16.723825478761608,9
50,95,22,51,5,16.72246844187223,17
51,16,15,76,4,16.696805142201285,11
52,86,10,103,3,16.57051549779981,7
53,63,11,35,3,16.493810387811518,8
54,11,25,25,5,16.429746187224733,20
55,60,15,50,4,16.23078469019145,11
56,69,13,88,3,16.183753216746744,10
57,73,10,16,3,16.163676933136152,7
58,17,10,71,3,16.133957382191333,7
59,76,20,51,4,16.059816015696757,16
60,114,13,13,4,16.046310047093424,9
61,90,13,51,2,16.04402323126696,11
62,95,21,11,5,16.006249051562754,16
63,13,16,83,4,15.934926256250733,12
64,67,14,106,4,15.86890640221611,10
65,88,13,29,4,15.850906570917441,9
66,99,18,39,4,15.84878961626863,14
67,14,12,63,4,15.759973477645744,8
68,34,10,17,2,15.75126461275924,8
69,93,16,96,4,15.733194627661211,12
70,80,12,35,3,15.72406211872363,9
71,80,16,50,3,15.718368557038913,13
72,23,16,5,4,15.598001372374195,12
73,73,11,87,2,15.55795672641622,9
74,104,18,2,6,15.503443707499333,12
75,90,12,97,4,15.449883037579115,8
76,49,14,25,4,15.43786379260084,10
77,37,11,60,3,15.345188265922372,8
78,7,11,99,3,15.3158743249674,8
79,67,11,97,2,15.281658756670776,9
80,114,16,83,4,15.254612667104073,12
81,71,21,86,5,15.209148887501426,16
82,89,12,107,3,15.163906699283089,9
83,80,11,70,2,15.1572772977841,9
84,25,12,68,3,15.123026568597203,9
85,48,12,9,3,15.097519161061681,9
86,91,12,96,3,15.083901067533665,9
87,41,11,97,2,15.02369323138218,9
88,25,18,99,5,15.014737107768298,13
89,50,15,46,5,14.990794174346137,10
90,77,12,88,3,14.977617068976796,9
91,7,26,87,6,14.791033703639414,20
92,68,16,53,4,14.789922267389302,12
93,32,13,106,3,14.741977351969275,10
94,7,20,77,6,14.700418403991577,14
95,30,12,46,3,14.658819133979227,9
96,40,21,77,5,14.631280349996324,16
97,7,18,5,5,14.615769591051182,13
98,50,12,99,4,14.581629542155014,8
99,34,11,8,3,14.575309413686806,8
100,91,15,60,5,14.562242957258865,10
101,48,24,54,7,14.535603927866184,17
102,73,12,37,4,14.533349572792922,8
103,16,13,32,4,14.531367270350456,9
104,73,10,2,3,14.457830254043136,7
105,100,20,54,6,14.454126910452931,14
106,89,10,74,3,14.4466828072844,7
107,95,11,30,4,14.445403657605016,7
108,114,23,106,7,14.366848050849034,16
109,34,15,28,4,14.366739527209466,11
110,40,10,83,2,14.347262135245902,8
111,98,20,87,5,14.341598859003094,15
112,70,11,23,3,14.340829685314839,8
113,46,11,102,3,14.30749471315205,8
114,34,12,37,3,14.30057126443514,9
115,30,11,11,3,14.29951613613078,8
116,8,13,41,3,14.27737136440816,10
117,75,25,7,6,14.276550257310275,19
118,14,10,97,2,14.259112129654318,8
119,7,33,25,8,14.17922434709996,25
120,74,19,60,6,14.155436372823559,13
121,32,12,88,4,14.106761757299536,8
122,80,22,107,5,14.09405320209342,17
123,99,14,28,4,14.058177689507714,10
124,100,15,88,4,14.04956823717941,11
125,76,20,35,7,13.96733759196386,13
126,60,13,4,4,13.949731758053519,9
127,87,17,91,4,13.92840180214569,13
128,23,11,83,3,13.9232349355535,8
129,11,13,83,3,13.863860744018647,10
130,100,21,51,8,13.816816739386772,13
131,60,14,75,4,13.816658132666662,10
132,33,13,50,4,13.8066594696148,9
133,70,10,64,3,13.634358442139632,7
134,40,18,55,4,13.585141296239149,14
135,107,17,99,5,13.582126995646107,12
136,27,13,63,5,13.551940945126718,8
137,6,14,7,6,13.543929448931385,8
138,74,11,103,3,13.53565105452587,8
139,93,10,90,3,13.452391800759148,7
140,51,11,10,3,13.446955688168293,8
141,50,15,70,5,13.44110105599258,10
142,25,12,32,5,13.427877456338663,7
143,30,21,39,6,13.42696028846743,15
144,8,13,40,4,13.4145759843304,9
145,90,12,39,4,13.41068837468022,8
146,100,11,55,4,13.383239409595307,7
147,18,11,37,3,13.371391730474068,8
148,34,11,20,3,13.36206244645375,8
149,16,18,83,5,13.351235477213141,13
150,95,18,17,5,13.342671111008823,13
151,107,12,53,3,13.327017045676342,9
152,65,10,33,3,13.314880602814076,7
153,75,25,5,9,13.227746160072009,16
154,87,11,33,3,13.22203468303232,8
155,65,10,36,3,13.207764256394976,7
156,46,15,39,6,13.200134168436385,9
157,62,12,63,4,13.174816238245654,8
158,69,14,28,5,13.159247509741927,9
159,106,22,23,8,13.153130773031103,14
160,60,11,9,3,13.146052849508685,8
161,106,19,91,4,13.115643186389448,15
162,57,22,107,7,13.099281826721857,15
163,80,10,14,4,13.097202558791373,6
164,11,13,18,4,13.094881521032239,9
165,41,11,109,2,13.035896667414123,9
166,34,11,25,3,12.978396480778377,8
167,16,55,39,17,12.952005337101408,38
168,95,27,37,7,12.921122211679824,20
169,49,11,77,3,12.92036615088008,8
170,57,22,16,7,12.918311642986259,15
171,13,14,36,4,12.908900654099,10
172,78,10,96,3,12.899686199305037,7
173,104,15,71,5,12.790892712888178,10
174,102,16,55,5,12.774824407782457,11
175,7,23,53,6,12.76858147607803,17
176,41,25,86,6,12.747882514215268,19
177,28,10,52,3,12.725624774771763,7
178,30,11,77,3,12.627749719644049,8
179,57,27,5,8,12.572003913811171,19
180,71,16,97,5,12.555483253298778,11
181,102,30,5,10,12.54926139668405,20
182,2,10,40,3,12.538938846391357,7
183,15,10,50,3,12.479053092203714,7
184,38,12,106,5,12.468362041882083,7
185,11,38,96,12,12.43376452627604,26
186,100,16,87,6,12.425189483620699,10
187,104,19,75,6,12.395283709242996,13
188,55,13,23,5,12.384564492570101,8
189,15,14,18,4,12.378616632845896,10
190,8,11,1,3,12.329208893104186,8
191,2,15,54,4,12.306524573726035,11
192,109,14,34,5,12.291212343288572,9
193,60,15,53,5,12.245976140420389,10
194,106,16,18,6,12.222089952192754,10
195,13,11,62,4,12.173223344923738,7
196,16,13,1,3,12.163423446439076,10
197,90,15,104,5,12.15736870976491,10
198,2,22,70,8,12.153236389251056,14
199,23,16,76,5,12.007876494395857,11
200,5,24,98,8,11.989855689002855,16
201,49,18,104,6,11.962718506463766,12
202,11,22,84,7,11.957437378814483,15
203,97,38,37,12,11.95034053539652,26
204,73,16,90,5,11.917606166791595,11
205,93,13,11,3,11.901577910299338,10
206,87,23,70,8,11.876444688779687,15
207,104,33,46,11,11.841714895705282,22
208,11,20,70,6,11.792116726498547,14
209,8,17,15,6,11.780660660956793,11
210,73,19,107,7,11.762643271727162,12
211,77,15,51,5,11.759193995143828,10
212,48,10,51,4,11.705725037939857,6
213,76,20,107,6,11.696253994184996,14
214,57,13,63,5,11.67022671873631,8
215,90,16,63,5,11.66300690274577,11
216,75,14,23,5,11.633870083549583,9
217,114,11,2,3,11.567668937733664,8
218,74,15,76,6,11.544600382799558,9
219,74,31,28,10,11.526159046117094,21
220,89,11,16,4,11.513369601889393,7
221,16,14,94,4,11.391112580709217,10
222,37,14,27,4,11.378309035824227,10
223,80,30,63,9,11.377551941304597,21
224,48,23,96,7,11.32304165734682,16
225,98,26,96,9,11.315795357847566,17
226,80,10,79,4,11.30670069299901,6
227,80,10,5,3,11.295210617596885,7
228,107,19,35,5,11.265664095084992,14
229,63,14,77,4,11.259828408243738,10
230,90,12,48,4,11.252381363492233,8
231,88,31,104,9,11.242424686867238,22
232,79,13,87,3,11.211504341364096,10
233,86,10,112,3,11.167307681837226,7
234,16,16,31,6,11.152534575535462,10
235,15,13,86,4,11.141664632975242,9
236,51,10,91,3,11.134030582434093,7
237,108,10,87,3,11.133663289740909,7
238,74,13,32,4,11.101664191982366,9
239,6,10,107,3,11.069549745970512,7
240,110,18,25,5,11.063714709672922,13
241,76,21,55,6,11.060383237071557,15
242,34,13,5,3,11.055394545543235,10
243,99,11,11,4,11.04788337752713,7
244,46,19,96,8,11.04431019266856,11
245,98,10,40,4,11.010186531894902,6
246,109,24,55,10,10.986740232459972,14
247,13,31,88,9,10.97112160393582,22
248,73,17,5,6,10.907383059794872,11
249,100,11,46,4,10.904685887838546,7
250,43,14,5,5,10.84111992153788,9
251,30,19,54,6,10.830949355612654,13
252,48,25,107,9,10.827629447931269,16
253,80,11,88,4,10.820834504420485,7
254,75,33,50,10,10.804883235233362,23
255,98,22,63,8,10.75970205191674,14
256,30,14,13,4,10.738595010557942,10
257,64,10,40,3,10.73481484412424,7
258,64,10,60,3,10.721076557757332,7
259,37,43,54,14,10.702102057687048,29
260,75,12,93,4,10.68974449521869,8
261,54,13,76,4,10.686858558117363,9
262,74,18,39,7,10.669346357467866,11
263,37,22,7,8,10.662936414000136,14
264,20,28,25,9,10.608185499490585,19
265,7,27,40,9,10.578327386378676,18
266,87,18,41,6,10.566422140881262,12
267,88,18,57,7,10.555628423294737,11
268,54,14,40,5,10.550136696436763,9
269,104,10,38,4,10.511918642412144,6
270,13,16,54,5,10.496105581783883,11
271,16,54,106,18,10.472281296528454,36
272,27,12,36,4,10.466471852515165,8
273,65,10,73,3,10.465374169823736,7
274,110,13,97,4,10.452372833112596,9
275,104,23,77,8,10.4311939043617,15
276,73,12,54,4,10.427247423602203,8
277,106,16,93,6,10.37915501513517,10
278,86,31,76,11,10.377958971749353,20
279,83,13,84,5,10.357457702755646,8
280,8,18,91,6,10.34860151027639,12
281,50,17,102,7,10.348240016843025,10
282,29,12,107,3,10.33521701845799,9
283,27,12,51,4,10.32259255656016,8
284,50,31,20,11,10.317789300027846,20
285,20,18,55,7,10.312518824176754,11
