,radiant_1_2,radiant_1_3,radiant_1_4,radiant_1_5,radiant_2_3,radiant_2_4,radiant_2_5,radiant_3_4,radiant_3_5,radiant_4_5,dire_1_2,dire_1_3,dire_1_4,dire_1_5,dire_2_3,dire_2_4,dire_2_5,dire_3_4,dire_3_5,dire_4_5,match_id
0,0.0,0.0,13.09124671622552,4.724246659163569,0.0,13.361658573074198,11.31104705368559,0.0,1.462673188916817,-5.0884619845678305,0.0,0.0,0.0,0.0,0.0,-9.234903509416915,0.5319889217173873,0.0,0.0,-16.198885960457122,3927969458
1,0.6487591327321084,3.2751435663949153,0.0,6.791940094319963,0.0,0.0,-16.980610524495965,0.0,-0.3189805985075435,0.0,-6.465656358667568,4.8743652832237325,5.6077000812343805,-22.932264998904607,0.0,0.0,0.0,0.0,0.0,0.0,3927969700
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.063072500303599,0.0,0.0,4.6593348056498645,3927970381
3,0.0,15.988564420749277,15.195948128024698,0.0,0.0,0.0,0.0,0.0,0.0,11.853250126782719,0.0,0.0,0.0,2.527168626828942,0.0,0.0,0.0,0.0,0.0,10.295012896545316,3927970658
4,0.0,0.0,11.996247296212733,15.581008317473096,0.0,0.5319889217173873,-2.535837869490442,0.0,0.0,10.518591508504215,0.0,0.0,0.0,0.0,-4.968672070567002,-4.1923937291388995,0.0,1.4613926932428885,0.0,0.0,3928022579
5,0.0,0.0,1.0410806907619532,-4.968672070567002,0.0,0.0,0.0,0.0,0.0,4.192517764521907,0.0,0.0,-8.387610489971197,4.810960444215963,0.0,-7.954472611172441,-12.199074853155638,0.0,0.0,-0.46830925578302035,3928032584
6,5.319528555708457,0.6816397647282201,-1.6636372692954826,-2.5398547039806894,0.0,-10.121559087358895,0.0,-6.0844014642941735,0.0,0.0,0.0,0.0,10.476816261300662,0.0,-0.4804920868625537,14.387400014037958,6.020633079642234,6.165993421637022,0.0,8.049702542670266,3928033510
7,0.0,0.0,9.254816697940914,8.56925629544141,0.0,0.0,0.0,-0.3703261642868412,0.0,14.711485807094167,7.615221838769844,0.0,0.0,0.0,0.0,0.0,6.312783743557219,0.0,0.0,0.0,3928034802
8,0.0,0.0,15.581008317473096,8.829399150554401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.965733279235806,18.155285820956355,0.0,0.0,0.0,3928080962
9,5.319528555708457,0.0,6.333239043964525,-1.054442679203672,0.0,18.010291618811998,-4.949218769343784,0.0,0.0,-1.5651684618649526,0.0,0.0,0.0,0.0,-4.1923937291388995,0.0,1.0410806907619532,0.0,19.67052847323806,0.0,3928102591
10,3.933748984962521,13.09124671622552,5.906688977572999,0.0,0.0,0.0,0.0,5.360943204595245,15.195948128024698,8.56925629544141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3928136472
11,-3.7121915398866476,-5.978858853898244,0.0,0.0,11.241303281079862,0.0,0.0,-5.7708971704886896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3928234992
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.338324810602755,-12.199074853155638,5.906688977572999,-0.8983809802693056,2.527168626828942,8.315795122009728,3928278244
13,0.0,6.266617651187328,0.0,-1.336207246361899,0.0,0.0,0.0,0.0,14.711485807094167,0.0,4.287137361334993,-4.7815225189690285,0.0,0.0,-8.823972144936215,0.0,10.234902999607773,0.0,0.0,0.0,3928337789
14,0.0,0.0,0.0,0.0,0.0,-4.245966685613969,0.0,-2.2259488762741624,0.0,0.0,17.423600946622905,0.0,0.0,0.0,0.0,19.67052847323806,0.0,0.0,0.0,0.0,3928389527
15,0.0,0.0,0.0,0.0,0.0,-16.198885960457122,0.0,0.0,0.0,10.518591508504215,-1.054442679203672,12.395494837725426,0.6816397647282201,0.0,0.9309383395874921,-0.8660211623524274,0.0,1.4613926932428885,0.0,0.0,3928462587
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.537417897816304,0.0,0.0,0.0,0.0,0.0,3928509645
17,-1.054442679203672,0.0,-12.257193500444542,6.333239043964525,0.0,-16.980610524495965,-1.5651684618649526,0.0,0.0,7.683008956495435,5.8197256556990995,0.0,0.0,-5.978858853898244,0.0,0.0,0.0,0.0,0.0,0.0,3928620364
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.040985078169781,1.31783905617511,0.0,-14.074382337166664,-16.980610524495965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3928688563
19,0.0,0.0,0.0,8.816027372798834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.701652288816048,0.0,0.0,21.965733279235806,0.0,5.6077000812343805,0.0,0.0,3928801490
20,0.0,0.0,0.0,0.0,5.6077000812343805,0.0,0.0,-6.465656358667568,3.640580417425369,12.481077598104347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.673171070365964,3928837410
21,0.0,0.0,-12.199074853155638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2259488762741624,10.701652288816048,0.0,6.791940094319963,-0.8660211623524274,-1.5651684618649526,15.438234166382513,0.5319889217173873,12.46455619370414,3928936023
