,radiant_P1_eloShift,radiant_P1_gpm,radiant_P1_xpm,radiant_P1_kda,radiant_P2_eloShift,radiant_P2_gpm,radiant_P2_xpm,radiant_P2_kda,radiant_P3_eloShift,radiant_P3_gpm,radiant_P3_xpm,radiant_P3_kda,radiant_P4_eloShift,radiant_P4_gpm,radiant_P4_xpm,radiant_P4_kda,radiant_P5_eloShift,radiant_P5_gpm,radiant_P5_xpm,radiant_P5_kda,dire_P1_eloShift,dire_P1_gpm,dire_P1_xpm,dire_P1_kda,dire_P2_eloShift,dire_P2_gpm,dire_P2_xpm,dire_P2_kda,dire_P3_eloShift,dire_P3_gpm,dire_P3_xpm,dire_P3_kda,dire_P4_eloShift,dire_P4_gpm,dire_P4_xpm,dire_P4_kda,dire_P5_eloShift,dire_P5_gpm,dire_P5_xpm,dire_P5_kda,match_id
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2861606428
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2861681825
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2861723946
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,259.6,245.4,2.606060606060606,0,0.0,0.0,0.0,2861759313
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2861848120
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,246.0,272.6,2.388888888888889,2861952587
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,246.0,272.6,2.388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2862091025
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2862451528
0,21.04558431127411,610.6,633.4,5.03448275862069,-11.60829718340337,223.63333333333333,263.23333333333335,2.159203980099502,1.3695829518962497,534.8888888888889,529.5555555555555,4.311111111111112,-0.6210636528380962,361.06451612903226,395.0967741935484,3.9921259842519685,19.34454104406494,349.3333333333333,308.3333333333333,2.4193548387096775,7.489816118030698,465.7659574468085,513.531914893617,4.083333333333333,-1.8972560623544208,271.29411764705884,260.0,2.183673469387755,17.852238711427123,615.8888888888889,562.5277777777778,5.588235294117647,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2862612374
0,-29.144657621738908,248.8,287.4,1.7777777777777777,2.981589750490053,506.35,510.3,4.1,-12.899244902297301,261.4,282.8,1.5348837209302326,-4.613173928816515,596.5531914893617,572.2765957446809,3.346320346320346,7.271974901485846,301.42,325.9,2.2240259740259742,29.895925100987906,587.375,619.625,6.88,1.3213151327110761,236.04545454545453,246.3181818181818,1.855072463768116,-9.750750355952174,514.3529411764706,542.7058823529412,5.211267605633803,18.569490370412915,363.0,402.625,3.72,13.559509439473183,333.25,375.4166666666667,3.3333333333333335,2862714059
0,,572.7777777777778,574.3333333333334,2.8688524590163933,1.0391902892458056,360.53333333333336,391.06666666666666,2.8500000000000005,-2.7010144595028938,278.95,311.25,2.5168539325842696,0.0,0.0,0.0,0.0,9.602396442853236,608.7936507936508,580.3015873015873,6.3355704697986575,-5.265234519279461,494.2,466.3333333333333,3.823529411764706,39.812388621041904,395.6,433.2,2.4285714285714284,0.0,0.0,0.0,0.0,1.5632565564583503,398.7142857142857,427.14285714285717,3.132075471698113,0.44746006647543535,308.2857142857143,316.5054945054945,3.0780346820809252,2863053784
0,-35.28280850377958,565.6,475.9,4.434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.741485377465725,404.2,424.8666666666667,3.7487179487179487,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.897971585869874,403.75,445.9166666666667,3.444444444444444,-31.07797557748396,244.0,256.6923076923077,1.5280898876404496,-17.65047645507417,513.2,512.3,5.761904761904762,22.13053609682292,268.73333333333335,295.6,2.9692307692307693,2863093560
