,radiant_P1_eloShift,radiant_P1_gpm,radiant_P1_xpm,radiant_P1_kda,radiant_P2_eloShift,radiant_P2_gpm,radiant_P2_xpm,radiant_P2_kda,radiant_P3_eloShift,radiant_P3_gpm,radiant_P3_xpm,radiant_P3_kda,radiant_P4_eloShift,radiant_P4_gpm,radiant_P4_xpm,radiant_P4_kda,radiant_P5_eloShift,radiant_P5_gpm,radiant_P5_xpm,radiant_P5_kda,dire_P1_eloShift,dire_P1_gpm,dire_P1_xpm,dire_P1_kda,dire_P2_eloShift,dire_P2_gpm,dire_P2_xpm,dire_P2_kda,dire_P3_eloShift,dire_P3_gpm,dire_P3_xpm,dire_P3_kda,dire_P4_eloShift,dire_P4_gpm,dire_P4_xpm,dire_P4_kda,dire_P5_eloShift,dire_P5_gpm,dire_P5_xpm,dire_P5_kda,match_id
106,10.103140952573586,358.265306122449,401.38775510204084,2.7946127946127945,19.212465776074808,655.8571428571429,573.4285714285714,8.607142857142858,-8.788514582918182,332.1666666666667,352.0,2.103448275862069,0.0,0.0,0.0,0.0,40.94280205827734,309.85714285714283,355.0,3.7619047619047614,6.005011905351258,228.27272727272728,309.6363636363636,1.776315789473684,7.442661972455602,297.2,363.23636363636365,2.3510638297872344,0.0,0.0,0.0,0.0,19.56542040308502,570.2,506.93333333333334,4.0740740740740735,-1.9525946387847404,340.3333333333333,442.76666666666665,3.03763440860215,3844151315
107,5.967683548466404,231.1,266.9,2.292307692307692,-5.658629726699746,514.5833333333334,554.9166666666666,3.3846153846153846,10.168545536276417,556.0833333333334,581.7083333333334,3.708333333333333,36.51635347682175,401.85714285714283,473.7142857142857,4.444444444444444,7.712576120844201,360.4166666666667,403.75,3.474137931034483,0.0,0.0,0.0,0.0,0.0,531.2857142857143,592.5714285714286,3.8695652173913047,4.413333128140899,431.2857142857143,523.1428571428571,3.0434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3844191105
108,7.128724183246589,544.7666666666667,559.9,4.547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.77225174646639,297.29411764705884,419.05882352941177,3.5619047619047617,0.4485408498943258,287.61538461538464,335.5897435897436,2.922727272727273,-20.943113694378443,264.2,329.2,1.9714285714285715,0.5329128264379112,542.0775862068965,517.6810344827586,4.933510638297872,-36.878560951007735,589.8571428571429,631.8571428571429,4.029411764705882,-17.40662138046878,282.6666666666667,335.22222222222223,2.217391304347826,-15.046832121213477,494.0,523.6666666666666,2.821428571428571,3844236951
109,-0.40145152359290154,266.42857142857144,327.2857142857143,1.9999999999999996,8.501528180239706,299.6842105263158,368.42105263157896,2.4540682414698165,6.637130724181617,544.0,591.1176470588235,4.666666666666667,6.412106576784864,627.632911392405,561.746835443038,5.8059701492537314,0.0,0.0,0.0,0.0,1.152883529229232,275.7857142857143,306.85714285714283,2.646153846153846,-13.846858202620638,497.0,529.0,3.8157894736842106,-13.571538836801055,332.0,456.75,3.2816901408450705,8.792774137586443,541.0,532.4,4.173913043478261,-6.554051100774424,280.4166666666667,338.5833333333333,3.154929577464788,3844250063
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.135800580195989,511.5,522.0555555555555,3.524137931034483,11.704701844166339,275.1,323.2,3.686274509803922,0.0,0.0,0.0,0.0,-8.875409123767355,235.21052631578948,252.26315789473685,1.8119658119658122,2.7567023094834826,265.1111111111111,351.0,2.566371681415929,-10.023019546823512,507.65,498.3,3.967741935483871,-15.446140579834669,397.8888888888889,415.3333333333333,3.999999999999999,3.050563075983162,548.6363636363636,500.1818181818182,4.390243902439024,3844351306
111,2.729614129607587,256.8,312.4,1.837837837837838,-6.12240238399409,558.6,601.2,2.310344827586207,9.848830752621087,466.7,537.7,4.030303030303031,0.0,0.0,0.0,0.0,-4.01958452413924,318.3181818181818,372.40909090909093,3.034188034188034,-22.440328425514906,435.44444444444446,499.3333333333333,3.892857142857143,-2.8972524151027876,470.74074074074076,531.7777777777778,3.1538461538461533,0.0,0.0,0.0,0.0,10.481905861339651,303.2631578947368,421.8421052631579,3.6637168141592915,2.9380411440226,253.45,279.85,2.1553398058252426,3844364136
112,-5.36020428810596,264.25714285714287,294.8285714285714,1.9955555555555555,-13.216468056080432,467.2857142857143,430.35714285714283,2.4027777777777777,1.881421478123299,351.3157894736842,413.1578947368421,3.134020618556701,-32.70152087660738,480.1666666666667,448.6666666666667,3.103448275862069,10.581118738773126,308.77272727272725,314.22727272727275,2.949044585987261,-6.7898003401758995,269.5,310.9375,2.1714285714285713,7.393782865271383,569.990099009901,534.0792079207921,5.128318584070797,23.501134437658024,500.94736842105266,469.36842105263156,4.765432098765431,-7.538161862815748,248.2,268.6,1.9999999999999998,0.0,0.0,0.0,0.0,3844376348
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.480919175769678,532.9428571428572,568.6714285714286,4.686868686868687,-16.49342926114759,311.1666666666667,367.6666666666667,2.8918918918918917,0.0,0.0,0.0,0.0,-8.875409123767355,235.21052631578948,252.26315789473685,1.8119658119658122,-14.199687702721235,481.4,528.4,2.766666666666667,-15.446140579834669,397.8888888888889,415.3333333333333,3.999999999999999,2.7567023094834826,265.1111111111111,351.0,2.566371681415929,-6.606310190281728,630.2857142857143,509.2857142857143,4.7368421052631575,3844421664
114,2.8734827218331698,481.3181818181818,476.72727272727275,4.671428571428572,-9.7033200357213,463.9375,526.3125,2.5977011494252875,24.109088510400063,633.9473684210526,653.2105263157895,6.539999999999999,0.0,0.0,0.0,0.0,-0.14724046435527943,284.6904761904762,333.95238095238096,2.8983050847457625,-8.151374345225536,234.14285714285714,273.42857142857144,2.0199999999999996,-6.12240238399409,558.6,601.2,2.310344827586207,5.033730465220377,480.375,487.5,5.625,13.775473129253522,365.5,421.8,3.1666666666666665,12.58493493992484,389.6,448.0,3.041666666666667,3844446800
115,-2.2144086105822645,219.38095238095238,273.5,1.9475524475524477,-7.426344621037484,589.5,620.375,3.1666666666666665,11.095892016837194,491.3076923076923,537.0,4.767741935483871,8.009767939720584,303.47058823529414,428.7647058823529,4.626666666666667,3.997057547041527,366.46153846153845,413.38461538461536,3.5280000000000005,-5.526754942690216,273.8484848484849,299.8787878787879,2.090566037735849,0.0,0.0,0.0,0.0,12.790496743980295,447.875,489.125,2.558139534883721,18.098968336001942,540.1818181818181,670.0909090909091,4.613636363636363,21.3728802922328,327.55555555555554,380.0,3.4827586206896552,3844449340
