,radiant_P1_eloShift_7day_ago,radiant_P2_eloShift_7day_ago,radiant_P3_eloShift_7day_ago,radiant_P4_eloShift_7day_ago,radiant_P5_eloShift_7day_ago,dire_P1_eloShift_7day_ago,dire_P2_eloShift_7day_ago,dire_P3_eloShift_7day_ago,dire_P4_eloShift_7day_ago,dire_P5_eloShift_7day_ago,match_id
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2897064589
1,0.0,0.0,0.0,0.0,0.0,36.772387409211746,36.772387409211746,36.772387409211746,36.772387409211746,36.772387409211746,2897074199
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2897190211
3,0.0,0.0,0.0,0.0,0.0,36.772387409211746,36.772387409211746,36.772387409211746,36.772387409211746,36.772387409211746,2897294037
4,0.0,0.0,0.0,0.0,0.0,36.772387409211746,36.772387409211746,36.772387409211746,36.772387409211746,36.772387409211746,2897415426
5,0.0,0.0,0.0,0.0,0.0,36.772387409211746,36.772387409211746,36.772387409211746,36.772387409211746,36.772387409211746,2897508853
6,-14.375577946192717,-14.375577946192717,-14.375577946192717,-14.375577946192717,-14.375577946192717,-9.93958418083096,-9.93958418083096,-9.93958418083096,-9.93958418083096,-9.93958418083096,2899199807
7,-9.93958418083096,-9.93958418083096,-9.93958418083096,-9.93958418083096,-9.93958418083096,-14.375577946192717,-14.375577946192717,-14.375577946192717,-14.375577946192717,-14.375577946192717,2899277641
8,-24.639675658868978,-24.639675658868978,-24.639675658868978,-24.639675658868978,-24.639675658868978,-37.28050511023559,-37.28050511023559,-37.28050511023559,-37.28050511023559,-37.28050511023559,2899438605
9,-24.639675658868978,-24.639675658868978,-24.639675658868978,-24.639675658868978,-24.639675658868978,-37.28050511023559,-37.28050511023559,-37.28050511023559,-37.28050511023559,-37.28050511023559,2899561092
10,-37.28050511023559,-37.28050511023559,-37.28050511023559,-37.28050511023559,-37.28050511023559,-24.639675658868978,-24.639675658868978,-24.639675658868978,-24.639675658868978,-24.639675658868978,2899672816
11,-7.379333230637675,-9.010564629363381,-7.379333230637675,-16.414768498578635,-9.010564629363381,-14.375577946192717,-14.375577946192717,-14.375577946192717,-14.375577946192717,-14.375577946192717,2899868494
12,-9.010564629363381,-9.010564629363381,-7.379333230637675,-16.414768498578635,-7.379333230637675,-14.375577946192717,-14.375577946192717,-14.375577946192717,-14.375577946192717,-14.375577946192717,2900041187
13,-9.833533746414625,1.2778701392503962,1.2778701392503962,0.8331329202520396,1.2778701392503944,-24.639675658868978,-24.639675658868978,-24.639675658868978,-24.639675658868978,-24.639675658868978,2900244171
14,1.2778701392503944,1.2778701392503962,1.2778701392503962,-9.833533746414625,0.8331329202520396,-24.639675658868978,-24.639675658868978,-24.639675658868978,-24.639675658868978,-24.639675658868978,2900410744
15,8.22309257976499,5.445003603559149,0.04910501156775027,6.153234055387575,-2.8883113059000314,20.818007113009365,16.829412038958772,23.477070495709764,25.11525558580267,16.92469322124007,2901935479
16,6.153234055387575,-2.8883113059000314,0.04910501156775027,8.22309257976499,5.445003603559149,23.477070495709764,25.11525558580267,20.818007113009365,16.92469322124007,16.829412038958772,2902067614
17,6.153234055387575,0.04910501156775027,-2.8883113059000314,5.445003603559149,8.22309257976499,16.829412038958772,23.477070495709764,16.92469322124007,20.818007113009365,25.11525558580267,2902215999
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2911922683
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2911933046
20,-1.2157246963277917,-11.88239136299446,-11.88239136299446,-1.2157246963277917,-17.21572469632779,-31.38373307120548,-31.38373307120548,0.0,-31.38373307120548,-31.38373307120548,2911941849
