,radiant_P1_totalGames,radiant_P1_winrate,radiant_P1_kills,radiant_P1_deaths,radiant_P1_assists,radiant_P1_eloShift,radiant_P1_gpm,radiant_P1_xpm,radiant_P1_kda,radiant_P1_lastHits,radiant_P1_denies,radiant_P2_totalGames,radiant_P2_winrate,radiant_P2_kills,radiant_P2_deaths,radiant_P2_assists,radiant_P2_eloShift,radiant_P2_gpm,radiant_P2_xpm,radiant_P2_kda,radiant_P2_lastHits,radiant_P2_denies,radiant_P3_totalGames,radiant_P3_winrate,radiant_P3_kills,radiant_P3_deaths,radiant_P3_assists,radiant_P3_eloShift,radiant_P3_gpm,radiant_P3_xpm,radiant_P3_kda,radiant_P3_lastHits,radiant_P3_denies,radiant_P4_totalGames,radiant_P4_winrate,radiant_P4_kills,radiant_P4_deaths,radiant_P4_assists,radiant_P4_eloShift,radiant_P4_gpm,radiant_P4_xpm,radiant_P4_kda,radiant_P4_lastHits,radiant_P4_denies,radiant_P5_totalGames,radiant_P5_winrate,radiant_P5_kills,radiant_P5_deaths,radiant_P5_assists,radiant_P5_eloShift,radiant_P5_gpm,radiant_P5_xpm,radiant_P5_kda,radiant_P5_lastHits,radiant_P5_denies,dire_P1_totalGames,dire_P1_winrate,dire_P1_kills,dire_P1_deaths,dire_P1_assists,dire_P1_eloShift,dire_P1_gpm,dire_P1_xpm,dire_P1_kda,dire_P1_lastHits,dire_P1_denies,dire_P2_totalGames,dire_P2_winrate,dire_P2_kills,dire_P2_deaths,dire_P2_assists,dire_P2_eloShift,dire_P2_gpm,dire_P2_xpm,dire_P2_kda,dire_P2_lastHits,dire_P2_denies,dire_P3_totalGames,dire_P3_winrate,dire_P3_kills,dire_P3_deaths,dire_P3_assists,dire_P3_eloShift,dire_P3_gpm,dire_P3_xpm,dire_P3_kda,dire_P3_lastHits,dire_P3_denies,dire_P4_totalGames,dire_P4_winrate,dire_P4_kills,dire_P4_deaths,dire_P4_assists,dire_P4_eloShift,dire_P4_gpm,dire_P4_xpm,dire_P4_kda,dire_P4_lastHits,dire_P4_denies,dire_P5_totalGames,dire_P5_winrate,dire_P5_kills,dire_P5_deaths,dire_P5_assists,dire_P5_eloShift,dire_P5_gpm,dire_P5_xpm,dire_P5_kda,dire_P5_lastHits,dire_P5_denies,match_id
0,43,0.488372093,3.3488372093023258,4.325581395348837,11.790697674418604,-5.588298293065229,250.90697674418604,277.69767441860466,3.5000000000000004,38.906976744186046,4.046511627906977,16,0.625,4.8125,4.8125,11.4375,24.72280677005097,430.625,450.0,3.3766233766233764,150.0625,6.4375,115,0.6869565217,3.0956521739130434,5.408695652173913,14.486956521739131,4.292015014636997,287.1478260869565,341.24347826086955,3.250803858520901,46.15652173913043,1.4695652173913043,30,0.6666666667,8.466666666666667,5.1,10.466666666666667,7.554600003020922,529.1333333333333,527.8666666666667,3.712418300653595,230.13333333333333,8.0,15,0.6666666667,5.266666666666667,4.666666666666667,14.0,3.4519097906169867,478.8,548.1333333333333,4.128571428571428,235.66666666666666,11.933333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.4666666667,3.6,4.6,8.933333333333334,-4.740588755813913,353.2,388.8,2.7246376811594204,122.13333333333334,4.533333333333333,29,0.4482758621,2.0689655172413794,7.0,10.724137931034482,-11.978723635334187,244.44827586206895,268.0689655172414,1.8275862068965516,45.3448275862069,1.3103448275862069,73,0.5479452055,7.945205479452055,3.808219178082192,9.602739726027398,2.2737575873595186,555.9589041095891,525.7534246575342,4.6079136690647475,296.4109589041096,20.246575342465754,3888582250
1,67,0.5970149254,8.283582089552239,3.8507462686567164,8.059701492537313,4.5530773442484005,589.4179104477612,594.4328358208955,4.2441860465116275,257.0149253731343,10.791044776119403,11,0.5454545455,3.7272727272727275,7.454545454545454,15.636363636363637,3.403942186092833,307.09090909090907,401.1818181818182,2.597560975609756,63.45454545454545,1.9090909090909092,12,0.4166666667,1.8333333333333333,4.25,10.5,1.8960522081151403,374.3333333333333,396.3333333333333,2.901960784313726,118.08333333333333,4.833333333333333,27,0.5925925926,3.5925925925925926,6.814814814814815,9.666666666666666,7.610635844120743,287.18518518518516,297.6296296296296,1.9456521739130435,69.33333333333333,2.740740740740741,12,0.4166666667,10.0,3.4166666666666665,7.583333333333333,-2.348122016438561,545.1666666666666,591.1666666666666,5.146341463414634,254.5,16.5,73,0.5479452055,3.6301369863013697,6.260273972602739,11.63013698630137,-1.3571610601194366,312.54794520547944,320.5890410958904,2.437636761487965,96.64383561643835,7.726027397260274,25,0.76,2.68,6.08,14.6,10.149729407639432,306.92,382.88,2.8421052631578947,44.84,2.96,33,0.5757575758,7.090909090909091,3.0,8.181818181818182,-1.1885903855569138,624.7575757575758,589.1515151515151,5.090909090909091,297.57575757575756,20.484848484848484,21,0.5714285714,2.9047619047619047,5.333333333333333,13.095238095238095,0.31526656999244385,243.23809523809524,313.1904761904762,3.0,24.0,2.619047619047619,41,0.5853658537,7.926829268292683,4.097560975609756,9.048780487804878,0.26217562551258905,541.3414634146342,555.780487804878,4.142857142857143,243.9512195121951,16.097560975609756,3888583323
2,79,0.7215189873,2.962025316455696,3.6962025316455698,12.721518987341772,8.601300123502643,406.9620253164557,468.72151898734177,4.243150684931507,157.29113924050634,5.455696202531645,18,0.6666666667,4.277777777777778,5.666666666666667,16.77777777777778,6.716298823306605,301.5,366.77777777777777,3.715686274509804,57.5,18.38888888888889,39,0.6923076923,7.230769230769231,2.8974358974358974,9.794871794871796,8.175953545927584,583.5897435897435,543.6923076923077,5.876106194690266,272.35897435897436,16.256410256410255,21,0.5714285714,2.9047619047619047,5.333333333333333,13.095238095238095,0.31526656999244385,243.23809523809524,313.1904761904762,3.0,24.0,2.619047619047619,13,0.6923076923,6.153846153846154,4.0,10.384615384615385,8.192243935078658,515.4615384615385,550.8461538461538,4.134615384615385,217.92307692307693,10.461538461538462,39,0.4358974359,7.871794871794871,3.051282051282051,4.871794871794871,3.44807784786322,581.7948717948718,560.1025641025641,4.176470588235294,299.7435897435897,14.102564102564102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.2,1.6,4.4,8.6,-11.284484605336385,336.2,397.2,2.318181818181818,131.2,2.6,18,0.5555555556,2.388888888888889,5.777777777777778,13.222222222222221,9.033450024620418,283.44444444444446,374.3888888888889,2.701923076923077,51.72222222222222,2.944444444444444,62,0.564516129,3.532258064516129,5.0,10.596774193548388,-0.696388117460369,269.56451612903226,293.741935483871,2.825806451612903,36.58064516129032,2.4516129032258065,3888633383
3,46,0.5434782609,4.282608695652174,6.282608695652174,11.652173913043478,-6.555124542588469,281.2608695652174,323.7826086956522,2.536332179930796,55.56521739130435,3.6956521739130435,15,0.5333333333,1.4,4.266666666666667,10.0,0.8423487276284685,247.86666666666667,290.6,2.671875,39.333333333333336,3.0,12,0.5833333333,2.0,6.916666666666667,15.25,-1.9460959387655257,257.3333333333333,322.75,2.4939759036144578,43.833333333333336,0.6666666666666666,30,0.6666666667,8.466666666666667,5.1,10.466666666666667,7.554600003020922,529.1333333333333,527.8666666666667,3.712418300653595,230.13333333333333,8.0,7,0.7142857143,6.428571428571429,2.2857142857142856,7.857142857142857,8.953560937443942,513.1428571428571,567.4285714285714,6.25,210.28571428571428,10.285714285714286,28,0.6428571429,2.4285714285714284,5.0,14.142857142857142,2.7416858232661716,277.2142857142857,352.9642857142857,3.314285714285714,54.57142857142857,3.9285714285714284,7,0.8571428571,8.714285714285714,2.142857142857143,14.571428571428571,20.541133891262017,605.8571428571429,685.7142857142857,10.866666666666667,315.7142857142857,10.571428571428571,8,0.5,4.5,3.75,8.375,-35.69921194980228,393.5,380.875,3.433333333333333,141.625,5.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.5,7.74,4.04,11.86,1.5264100622840484,540.2,576.36,4.851485148514851,309.36,15.16,3888666303
4,14,0.5714285714,2.357142857142857,5.642857142857143,10.0,3.875128622880645,295.35714285714283,337.57142857142856,2.189873417721519,83.64285714285714,1.5714285714285714,19,0.5789473684,7.105263157894737,4.0,9.263157894736842,8.262049600500324,477.5263157894737,499.63157894736844,4.092105263157895,191.47368421052633,21.05263157894737,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.619047619,2.8095238095238093,6.857142857142857,16.333333333333332,11.486477197985826,289.42857142857144,336.23809523809524,2.791666666666667,38.904761904761905,0.9047619047619048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.6842105263,7.0,3.736842105263158,9.0,10.885795968524743,550.0,504.36842105263156,4.28169014084507,270.4736842105263,13.421052631578947,86,0.6860465116,9.523255813953488,3.8372093023255816,9.755813953488373,7.572191591614813,551.6744186046511,617.2906976744187,5.024242424242424,282.93023255813955,8.116279069767442,8,0.625,3.625,5.25,10.625,10.946279733522447,275.625,286.125,2.7142857142857144,42.125,1.25,37,0.5945945946,3.72972972972973,6.324324324324325,16.675675675675677,0.8310933749523842,323.4054054054054,437.5135135135135,3.2264957264957266,64.62162162162163,2.4054054054054053,8,0.5,5.5,6.25,12.75,4.469794530853845,405.875,439.375,2.92,112.75,6.375,3888710999
5,34,0.7647058824,4.176470588235294,3.735294117647059,12.823529411764707,7.908679553489085,433.05882352941177,418.2352941176471,4.551181102362205,125.0,3.176470588235294,37,0.5405405405,9.621621621621621,4.486486486486487,8.432432432432432,0.5942150279864771,565.1081081081081,585.4864864864865,4.024096385542168,305.9189189189189,12.35135135135135,75,0.6533333333,2.3866666666666667,5.546666666666667,14.453333333333333,5.056049908555349,249.74666666666667,309.2133333333333,3.036057692307692,33.32,1.72,36,0.5555555556,6.388888888888889,3.25,8.277777777777779,6.56323885688345,505.6666666666667,514.0555555555555,4.512820512820513,209.72222222222223,17.694444444444443,19,0.7368421053,2.9473684210526314,5.157894736842105,15.68421052631579,4.194695778928699,285.42105263157896,311.8421052631579,3.6122448979591835,44.05263157894737,1.0526315789473684,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.4166666667,4.5,5.0,12.083333333333334,-5.217797980635918,297.25,377.0833333333333,3.3166666666666673,66.5,2.1666666666666665,22,0.4545454545,9.636363636363637,4.363636363636363,9.636363636363637,1.0897378054128042,536.1363636363636,559.1818181818181,4.416666666666667,306.72727272727275,12.863636363636363,27,0.4814814815,8.518518518518519,2.7777777777777777,8.11111111111111,-10.337353314937321,498.51851851851853,502.4074074074074,5.986666666666667,226.0,13.074074074074074,9,0.8888888889,3.555555555555556,5.777777777777778,13.444444444444445,16.566606415929222,485.22222222222223,510.44444444444446,2.9423076923076925,240.66666666666666,5.666666666666667,3888711624
6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0.6212121212,9.030303030303031,4.96969696969697,9.848484848484848,-2.692520088238381,492.1818181818182,556.8939393939394,3.798780487804878,199.63636363636363,10.045454545454545,38,0.6578947368,3.1315789473684212,4.7105263157894735,12.0,6.992867993437119,424.63157894736844,458.3157894736842,3.212290502793296,169.89473684210526,4.0,8,0.75,7.0,3.375,7.5,17.547391069879506,506.375,477.875,4.296296296296297,184.125,10.375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.625,8.275,2.875,7.525,3.498774270682902,548.525,603.575,5.495652173913044,239.7,10.35,10,0.3,3.3,7.2,11.6,-15.346949974894098,276.6,314.7,2.069444444444444,100.0,14.2,48,0.6041666667,3.3333333333333335,3.8125,14.25,8.03187131856881,301.8333333333333,328.5416666666667,4.612021857923497,78.875,3.1666666666666665,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.6470588235,4.294117647058823,4.9411764705882355,12.0,-3.3262998074826764,405.0,495.05882352941177,3.2976190476190474,134.1764705882353,11.117647058823529,3888767050
7,15,0.6,7.8,2.6,8.733333333333333,-3.176200036793889,542.0666666666667,593.8666666666667,6.358974358974358,271.8666666666667,12.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6666666667,3.444444444444444,4.666666666666667,13.333333333333334,12.245321636582839,313.44444444444446,315.6666666666667,3.5952380952380953,42.0,2.2222222222222223,44,0.6136363636,5.318181818181818,5.295454545454546,9.795454545454545,0.2303433975702408,297.04545454545456,333.34090909090907,2.854077253218884,46.70454545454545,3.0227272727272725,11,0.5454545455,5.7272727272727275,5.7272727272727275,9.363636363636363,2.4907248789601213,391.27272727272725,481.27272727272725,2.6349206349206344,154.0909090909091,1.6363636363636365,21,0.4285714286,3.5238095238095237,4.666666666666667,11.571428571428571,-2.2802110493880767,261.2857142857143,290.04761904761904,3.2346938775510203,40.80952380952381,2.4285714285714284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.4,2.8,4.6,9.2,-10.144216471060528,407.0,473.2,2.608695652173913,128.2,6.2,8,0.625,8.375,3.0,12.25,-9.687706453805173,536.125,566.0,6.875,312.25,15.25,3888781364
8,17,0.6470588235,7.235294117647059,6.0,9.588235294117647,11.239939133081998,459.8235294117647,475.4117647058824,2.8039215686274512,165.2941176470588,11.647058823529411,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.4545454545,9.636363636363637,4.363636363636363,9.636363636363637,1.0897378054128042,536.1363636363636,559.1818181818181,4.416666666666667,306.72727272727275,12.863636363636363,14,0.4285714286,7.0,2.357142857142857,8.142857142857142,-3.391328222424127,574.4285714285714,598.9285714285714,6.424242424242424,301.5,9.428571428571429,44,0.6818181818,3.0227272727272725,5.090909090909091,14.181818181818182,7.992699377222716,330.6363636363636,395.0681818181818,3.3794642857142856,68.0,5.4772727272727275,57,0.5789473684,8.263157894736842,3.719298245614035,10.280701754385966,4.874715916406494,563.5087719298245,537.5438596491229,4.985849056603774,275.2631578947368,15.771929824561404,72,0.75,2.4583333333333335,5.138888888888889,9.916666666666666,9.505545394408095,314.90277777777777,297.75,2.4081081081081077,77.69444444444444,1.777777777777778,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,0.6509433962,2.3207547169811322,5.650943396226415,13.433962264150944,4.7822396303903325,259.6509433962264,304.4433962264151,2.7879799666110188,33.18867924528302,1.6981132075471699,43,0.511627907,2.953488372093023,4.488372093023256,11.465116279069768,-6.590181425560454,340.6744186046512,389.4418604651163,3.212435233160622,116.0,2.9767441860465116,3888816314
9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.8461538462,7.0,2.230769230769231,9.153846153846153,11.192058522707677,616.0769230769231,609.2307692307693,7.241379310344827,260.61538461538464,17.53846153846154,38,0.6578947368,3.1315789473684212,4.7105263157894735,12.0,6.992867993437119,424.63157894736844,458.3157894736842,3.212290502793296,169.89473684210526,4.0,10,0.4,6.4,4.9,9.7,2.2594869842319696,499.3,555.5,3.2857142857142856,236.8,14.9,29,0.7586206897,3.103448275862069,4.758620689655173,14.0,12.198070483698086,259.7931034482759,307.6551724137931,3.594202898550724,28.586206896551722,2.206896551724138,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.3,3.3,7.2,11.6,-15.346949974894098,276.6,314.7,2.069444444444444,100.0,14.2,79,0.6075949367,2.949367088607595,5.113924050632911,11.139240506329115,4.743144617060196,233.79746835443038,301.60759493670884,2.7549504950495054,31.455696202531644,4.569620253164557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888855626
