,radiant_H1elo_vs_enemies,radiant_H2elo_vs_enemies,radiant_H3elo_vs_enemies,radiant_H4elo_vs_enemies,radiant_H5elo_vs_enemies,dire_H1elo_vs_enemies,dire_H2elo_vs_enemies,dire_H3elo_vs_enemies,dire_H4elo_vs_enemies,dire_H5elo_vs_enemies,match_id
0,11.33956197868453,-8.985464530931171,-8.360876966383039,3.889055011703185,21.134591515628074,7.946299337267255,-6.585001512179819,-7.16292975585046,-10.647359243097231,-2.567875834841324,3760408738
1,0.580723773579296,-3.61841329073141,-4.3054342000444485,-6.128966245632716,-0.5791032911178626,0.0,-5.310039343654134,1.765781063182672,10.769458209391264,6.825993325027337,3760517861
2,-9.346307010267735,17.08374732077866,-12.775400775477856,-6.338092058803835,-13.382448200191668,20.295427189600055,5.90682859265997,5.521395884864167,-10.174421175592473,3.209270232430714,3760649937
3,0.0,23.298556368337678,-5.047663242224099,16.537220826020913,-6.747375971320656,-18.72119269049959,1.524269478709849,-6.1137688350367805,-11.689782858879028,6.959736924891704,3760977296
4,-6.974879483320706,0.49094926716346343,-0.08487498066118238,-5.331951086943047,1.602254763204173,7.134995056266763,-5.58387231705767,-3.544954857048242,6.5065722939118755,5.7857613444845715,3761035234
5,30.769752992050382,-0.9416694233915646,-4.441374667368786,0.038590688608548085,0.32150636132410915,-5.748967644024894,1.2585346569882423,-8.632050973750877,3.5518601388346474,-16.176182129269804,3761093569
11,-9.136115591950775,-13.921370160909749,-2.3556483248182394,-0.5199451371659674,11.793404068883163,2.59465284057031,15.824029684300841,-0.1503399737900173,-3.676819102067395,-0.4518483030521727,3763027660
12,10.736955551571816,-4.812208791698327,-2.1533143755242654,3.853401817287426,2.9321807048191264,-12.860488762567597,0.9540620864912539,-9.133996912878473,19.267426668634844,-8.784017986135805,3763089954
13,3.0058318599048945,-4.92033098289547,6.76785234112281,9.772546017273868,2.255111042861534,-2.2355390910519395,-2.466330998128321,-3.666570289277586,0.4733087620978411,-8.985878661907632,3763492629
14,9.269713548321166,17.342436559032027,-8.457959217686277,2.9610078785437732,3.017020964813212,-5.538930082042746,-11.164633920173802,-10.186477651989874,12.5722326761725,-9.814410754989975,3763575506
15,9.417900261946777,15.228643173471912,7.91273496500726,8.069628878245199,-3.9211234818690968,-1.9529503587741202,-20.416804147623616,-7.579283912144972,-5.483854011288319,-1.274891366971025,3763711443
16,-20.64517622056746,10.40902564966039,0.3628105460386528,-14.29465848332029,8.428519043264949,-2.548069961861092,11.849062442788973,-6.37563889559431,7.658684180321203,5.155441699268981,3763798613
