,radiant_H1elo_vs_enemies,radiant_H2elo_vs_enemies,radiant_H3elo_vs_enemies,radiant_H4elo_vs_enemies,radiant_H5elo_vs_enemies,dire_H1elo_vs_enemies,dire_H2elo_vs_enemies,dire_H3elo_vs_enemies,dire_H4elo_vs_enemies,dire_H5elo_vs_enemies,match_id
0,-7.329981352260557,2.80336201746743,-4.437564839267666,0.17820243462811014,-0.8590416908614449,-28.793241112005607,18.979826130580367,-6.598839611687232,0.2702803248774479,25.78699769852914,2897064589
1,7.142286705768767,2.6747179383375697,-24.759646787082296,14.871974185138235,-9.485172366544926,9.613788231291306,-1.396538229506124,5.931535696305128,-10.51601325260274,5.923067878895083,2897074199
3,8.921380537279742,10.611225386336358,-23.03049038914266,-20.514033690989066,20.508705465285946,-5.08596358987841,11.82483644324333,-1.0226316660562946,-0.3286234473701244,-1.8844050487088069,2897190211
4,-1.8052363669183815,10.591300489782965,1.5077537167037733,-1.160515619279196,-19.67235238715829,2.3951757065124797,3.2497482007221947,-1.7657167598188885,7.486929980133337,-0.827086960679996,2897294037
5,7.677187425632076,27.87923526018295,0.0,-13.84258744394008,-0.7418454505378076,5.133848279774097,-14.511292490384509,-6.552792449764656,-2.0113077718678154,-3.030445359094245,2897415426
6,-4.428404276527249,0.7825645512705872,-2.4204179878987886,3.4433314864030193,-5.456306520098433,-6.164838922790861,14.548844048872601,-11.58757133995,-4.48415257559088,15.766951536309998,2897508853
10,1.09545913397044,-9.088643039171885,7.870810665155542,-3.6371280542843705,-1.78937279516264,5.53596989911329,2.526565925194241,-10.06818113388038,7.028512736911131,0.5260066621546358,2899199807
11,-2.9205141032153072,-6.321487394297398,0.9994665047674728,-18.63944154764751,18.92783122795122,2.6754834560200593,4.094230395260809,11.29515110159267,-8.920651426406286,-1.190068214025729,2899277641
12,11.072311542257358,-8.73334584263559,-18.110817193408632,-13.462138865549617,-2.8414550501859663,20.287682751088134,2.4971314598979744,16.81286790528178,-3.1975249009346696,-4.324711805810779,2899438605
13,0.03132790755879533,5.501644204577964,-12.986440993865342,6.89400224470464,-12.561289251167057,-2.324873718180581,2.86537852911328,13.842472707764246,-7.577410786368768,6.315189155862826,2899561092
14,5.471800596013899,1.9918905429920812,5.251120172699728,9.429852042048939,-10.299394074285496,-2.841583599805137,-20.57300321915018,1.5792281325933002,-1.535506207835187,11.525595614728065,2899672816
15,17.066044662975976,-14.315976590052767,-0.9260560903147466,16.865660332817086,-9.580671618984978,2.360274187352541,-9.217872317233724,-4.465036935010605,6.319092243190477,-4.105457874739255,2899868494
16,6.296679030956199,-1.7920513705152725,7.167579584074044,12.097002092393257,3.0233788867796467,-8.692888228557191,-5.015999461909107,-2.4936318564521396,-8.040629663519784,-2.5494390132496596,2900041187
17,-8.924131856353403,0.7882638123946006,7.011947772199805,-2.1324013299171445,0.0,-4.050405488522393,-7.428169008895002,7.078824823439868,8.264577543635014,-0.6085062679813438,2900244171
18,11.080251667397832,12.198101273950666,7.392040671123773,1.6187437940719676,-1.6098815286459789,1.219424602359739,-3.2480417348358186,-7.641604297973674,-9.406938042638158,-11.602096404810352,2900410744
19,-5.710848589901834,4.41843558571297,-19.81635828044773,7.495386216266324,-2.549254319117609,0.5407019962526478,-4.419271717234697,28.237529844835763,-4.138558317079705,-4.057762419286138,2901935479
20,3.236069728701245,29.079968362907284,4.500229949409083,4.680592171658153,0.8841143712299795,-10.46828157728708,-13.834522039371766,7.253198199815284,-0.10294897503379974,-25.22842019202838,2902067614
21,26.376541843554715,1.9466464744574505,5.414783009418724,14.928540533228903,-2.7924072954276293,-3.5909860071478903,-24.469259932690683,0.3816591825468709,-1.5626300129733754,-16.632887794967086,2902215999
27,0.3776180275448152,8.487716748787193,6.565384123242677,-1.8301094367765225,-0.5655438943826074,-2.252602924114934,5.729603274320781,-15.15393794834981,13.26353029713246,-14.621658267404051,2911922683
28,0.6130902472370627,15.35100880467584,-4.598307090370067,18.598523414938533,2.9680027365291037,-10.754088896906007,-11.860894064590516,-4.451345160455041,-3.9342918201257695,-1.9316981709331387,2911933046
29,-10.412497740611155,14.041901095600494,7.766594893406433,4.827071804850993,-23.856476651551585,-1.418860942056927,-7.196856478499994,19.240725541434074,-14.80619749163045,11.814595969058114,2911941849
30,-7.494032201722569,-5.308481161297891,10.09057468832098,11.74393163831636,-1.053201504114554,5.578488758514304,6.260817323101359,-0.23264979864715674,-6.019856517588821,-13.56559122488201,2911996278
31,-4.523915441540304,2.381749020631841,8.60812826695547,10.478311303106079,11.673736759023168,-14.360905969389897,8.63815572867485,-0.3065420231619749,-0.43010859067090346,-22.15860905362833,2911996447
32,4.6837250352764155,0.460106462690277,-0.30309164985222603,7.669937242714905,6.348591618105691,-12.05584680858186,-3.726480266424807,0.24099005160242037,1.5646779131887785,-4.882609598719588,2912003522
33,6.098617833180045,-3.3513577537614663,5.532840081463799,-5.077334083423858,11.573321631762212,-1.8916802317459191,-6.533952353692793,-8.380767908798614,3.5878292832459997,-1.5575164982294047,2912046467
34,3.949138942446573,7.5133391264525144,0.5542192883365701,-6.464801952168116,-0.7423177057801996,1.1149371932934415,0.7755487255682949,2.4327178914998315,2.7627244415283254,-11.895505951177231,2912047092
35,-10.5149862380758,-1.7557835204268393,1.6227968621432742,-4.315863171768855,-15.035801498648988,2.5669299643269263,8.313436437014886,1.4809638226768937,4.959668433911898,12.678638908846606,2912048548
36,-2.6919769578971584,0.12293442918677844,1.9857130620174648,-11.114230218852372,-7.114842181270242,2.2584240256624986,15.582365770696859,6.883755716457602,-10.437178895583536,4.5250352495821,2912107760
37,11.031981444343558,7.54133794975726,-5.595629503970877,9.412894015764667,-16.62199194998702,2.7802664464751796,-3.077431291529435,-11.141792910932018,3.9392202648974854,1.7311455351812075,2912152161
38,-12.241933451977843,9.857365031439256,7.841545489562615,4.31372200593664,11.66577276158079,-17.062327807944392,2.122171558548934,-13.585686925076178,6.332696791043794,0.7566745468863862,2912195755
39,-0.5750846425425207,-7.859489876581969,-1.633911695461339,-1.3028564758958663,4.907786522255831,-0.7424522399910806,-3.6278255405817523,-6.275065360763165,12.50208280399801,4.606816505563858,2912227197
40,-9.686742899933286,-1.5599262734201214,14.8034000105786,4.1608278516900565,1.6423165128452912,-1.5406909896636651,-0.4863567507221198,-2.1639773135998825,-3.9152535450073715,-1.253596602767509,2912240952
41,-4.088406224240161,-9.97520066433206,-3.400420832144005,-7.508819274300817,-2.33821198661005,3.309887249786895,18.110624200707356,2.1010477056335377,1.2099287734586075,2.5795710520406963,2912302758
42,-2.564521753640619,3.4461621001290994,-9.13509698217949,-5.224536308985534,-1.3697516084616428,4.372904075380002,1.2099287734586075,-7.886221184617582,-13.945089743714536,31.09622263263169,2912351690
43,-10.308820135412326,-14.162926748246559,-12.886430239043905,0.9424511167753581,-3.487643566235803,19.61654302300208,-0.9934777510257748,12.172651302818151,7.025719651891036,2.0819333454777493,2912361376
44,-16.99641233565586,-7.873453527296791,-8.292957896677109,-19.701868134396797,8.06984838695607,19.758219860372858,19.67354516980406,11.660472459221978,-22.764920304631254,16.467526322302863,2912364435
45,-5.954378485155452,-1.8080385625478708,1.4642002900685507,-6.86291928843815,0.0,-4.311473582851993,22.859562560082338,-1.753709433430856,-1.7965175732928975,-1.836725924433667,2912433371
46,-4.390978262126998,-10.210672850006146,-9.516462957712635,12.768465087590709,-7.278308819513035,19.752506909404286,2.658190829731245,-10.518992674552416,13.67754836448341,-6.941295627298423,2912445452
47,2.0921577954045256,-27.989027995344404,-5.259759376921522,3.3766466377997846,-6.349154989774183,3.3086180547943242,7.464321918344478,-1.8387815296894596,18.90138910070466,6.293590384681799,2912457483
48,9.383642438237624,17.7435995625661,16.477277166719002,3.0589580059930803,6.085401516573755,-4.07722319175845,-8.157444064621211,-17.753250033460564,-9.33500966082432,-13.425951739425019,2912526011
49,-2.971531672033866,25.009975867503343,6.104251566711854,6.702294917238804,-0.9642385723238096,-11.068309767443889,1.3780853727264208,-9.808433458656241,-1.8793517384072014,-12.502742515315417,2912548426
