,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
18,1,2581813.0,2900410744,20,1836806.0,True,1483797273,11.0,96.0,7.0,54.0,20.0,28.0,79.0,107.0,48.0,86.0,101586543.0,118134220.0,102644565.0,129585121.0,111114687.0,102099826.0,91654584.0,116782914.0,180012313.0,152545459.0,ESL One Genting 2017
19,21,1375614.0,2901935479,4,1836806.0,False,1483855755,49.0,9.0,111.0,86.0,6.0,84.0,112.0,54.0,46.0,28.0,101586543.0,118134220.0,111114687.0,102644565.0,129585121.0,82327674.0,139876032.0,117281554.0,149486894.0,87012746.0,ESL One Genting 2017
20,31,1375614.0,2902067614,28,1836806.0,True,1483860245,96.0,30.0,36.0,9.0,10.0,51.0,84.0,6.0,46.0,63.0,118134220.0,111114687.0,101586543.0,102644565.0,129585121.0,87012746.0,82327674.0,117281554.0,149486894.0,139876032.0,ESL One Genting 2017
21,30,1375614.0,2902215999,29,1836806.0,False,1483864990,7.0,20.0,61.0,11.0,50.0,86.0,51.0,94.0,6.0,84.0,102644565.0,129585121.0,118134220.0,101586543.0,111114687.0,139876032.0,87012746.0,149486894.0,117281554.0,82327674.0,ESL One Genting 2017
22,33,1375614.0,2902480830,9,2512249.0,False,1483873306,8.0,86.0,11.0,104.0,14.0,54.0,76.0,16.0,28.0,87.0,86725175.0,103735745.0,86700461.0,38628747.0,87382579.0,117281554.0,149486894.0,139876032.0,87012746.0,82327674.0,ESL One Genting 2017
23,26,1375614.0,2902639704,28,2512249.0,True,1483877812,90.0,86.0,70.0,89.0,104.0,106.0,28.0,10.0,55.0,30.0,87382579.0,103735745.0,86700461.0,86725175.0,38628747.0,149486894.0,139876032.0,117281554.0,87012746.0,82327674.0,ESL One Genting 2017
24,19,1375614.0,2902847580,6,2512249.0,False,1483883276,8.0,86.0,76.0,55.0,28.0,30.0,108.0,48.0,11.0,16.0,86725175.0,103735745.0,86700461.0,38628747.0,87382579.0,82327674.0,87012746.0,117281554.0,149486894.0,139876032.0,ESL One Genting 2017
25,17,2512249.0,2903034738,7,1375614.0,False,1483888304,30.0,49.0,48.0,108.0,91.0,62.0,93.0,16.0,52.0,79.0,82327674.0,149486894.0,117281554.0,87012746.0,139876032.0,87382579.0,86725175.0,38628747.0,86700461.0,103735745.0,ESL One Genting 2017
26,31,2512249.0,2903156692,11,1375614.0,False,1483891929,30.0,16.0,84.0,46.0,48.0,96.0,9.0,39.0,54.0,79.0,82327674.0,87012746.0,139876032.0,149486894.0,117281554.0,38628747.0,87382579.0,86700461.0,86725175.0,103735745.0,ESL One Genting 2017
27,1,20.0,2911922683,24,2860081.0,True,1484273589,51.0,48.0,11.0,50.0,29.0,84.0,8.0,108.0,87.0,34.0,173812218.0,110837826.0,139174891.0,89166519.0,157475523.0,104652351.0,98887913.0,140178149.0,88553213.0,88585077.0,Dota 2 Asia Championships 2017
28,24,3331948.0,2911933046,7,4.0,False,1484274286,39.0,79.0,37.0,48.0,51.0,11.0,8.0,84.0,75.0,16.0,135878232.0,117990312.0,89246836.0,108376607.0,253962772.0,90882159.0,148215639.0,89217927.0,136186119.0,92590479.0,Dota 2 Asia Championships 2017
