"match_id","avg","count","winrate","winrate_wilson","sum","min","max","stddev"
3534655441,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3534749496,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3534858895,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3534958218,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3534965112,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3535043038,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3535098233,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3535216693,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3535367604,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3535504826,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3535758126,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3536185318,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3536274369,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3536873419,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3536969728,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3536978459,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537051052,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537088114,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537169772,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537199885,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537283480,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537283964,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537286556,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537287524,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537389564,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537391239,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537404265,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537416291,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537432129,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537486272,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537521939,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537526907,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537554390,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537621468,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537632480,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537662528,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537749586,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
3537800215,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
