"match_id","avg","count","winrate","winrate_wilson","sum","min","max","stddev"
399379235,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
399442837,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
399520020,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
399577295,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
399629404,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
400510598,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
400579074,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
400630720,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
400704127,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
400755380,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
401653555,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
401731044,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
401803299,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
401854013,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
407519912,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
407681261,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
407694194,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
407748243,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
408694756,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
408765938,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
408792116,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
409593309,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
409646633,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
409701819,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
409761107,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
410677311,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
410760421,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
410808055,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
410842539,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
411825764,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
411901111,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
411978002,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
412034914,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
