,radiant_Disabler,radiant_Nuker,radiant_Carry,radiant_Initiator,radiant_Escape,radiant_Durable,radiant_Support,radiant_Pusher,radiant_Jungler,dire_Disabler,dire_Nuker,dire_Carry,dire_Initiator,dire_Escape,dire_Durable,dire_Support,dire_Pusher,dire_Jungler,match_id
772,4.0,2.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,5.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,3139282085
773,4.0,2.0,2.0,4.0,5.0,1.0,2.0,0.0,1.0,4.0,5.0,4.0,0.0,4.0,0.0,2.0,2.0,1.0,3139507911
774,3.0,3.0,2.0,2.0,4.0,0.0,2.0,0.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,3139520318
775,4.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,3.0,5.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,3139522868
776,3.0,2.0,3.0,2.0,4.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,3139633624
777,4.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,4.0,2.0,4.0,3.0,2.0,3.0,0.0,1.0,3139652866
778,3.0,5.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3139661732
779,5.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,1.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,0.0,1.0,3139768515
780,4.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,3139776903
781,5.0,4.0,4.0,3.0,1.0,2.0,2.0,0.0,1.0,2.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,3139778329
782,4.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,5.0,3.0,1.0,5.0,3.0,1.0,3.0,1.0,1.0,3139858272
783,3.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3139882151
784,4.0,4.0,2.0,2.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,3.0,1.0,0.0,0.0,3139885713
785,2.0,2.0,4.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,3139950764
786,5.0,4.0,4.0,4.0,2.0,2.0,3.0,0.0,0.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,3139957604
787,4.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3140008780
788,2.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,3142390443
789,2.0,1.0,4.0,0.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,0.0,3142488820
790,4.0,3.0,1.0,3.0,2.0,2.0,3.0,0.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,0.0,3142583303
