,radiant_id,radiant_name,dire_id,dire_name,kills,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
75,12.0,Newbee,18.0,Virtus.pro,32,3,53,28,20,87,84,9,97,44,50,1
76,16.0,Team Liquid,11.0,Vici Gaming,52,86,107,39,98,80,84,78,9,49,110,1
77,16.0,Team Liquid,11.0,Vici Gaming,49,3,66,47,97,114,83,86,13,18,61,1
78,12.0,Newbee,11.0,Vici Gaming,59,112,86,29,36,109,3,16,97,70,52,0
79,79.0,Team Waooo,30.0,ForTheDream,64,64,107,36,78,63,84,9,58,65,76,0
80,12.0,Newbee,11.0,Vici Gaming,45,85,57,7,76,20,16,68,18,65,94,1
81,79.0,Team Waooo,30.0,ForTheDream,69,85,65,4,12,27,53,84,39,92,72,0
82,12.0,Newbee,11.0,Vici Gaming,90,85,97,87,43,41,68,107,39,57,42,0
83,16.0,Team Liquid,11.0,Vici Gaming,54,86,43,51,1,29,3,60,103,11,70,0
84,16.0,Team Liquid,11.0,Vici Gaming,78,5,28,53,44,39,3,78,52,13,81,0
85,11.0,Vici Gaming,16.0,Team Liquid,43,86,51,42,43,65,68,60,69,77,93,0
86,11.0,Vici Gaming,16.0,Team Liquid,46,38,86,28,63,17,80,7,90,78,46,0
87,16.0,Team Liquid,11.0,Vici Gaming,38,107,78,83,74,54,84,97,27,1,13,1
89,58.0,Vici Gaming Potential,30.0,ForTheDream,67,20,60,87,104,46,39,107,9,84,41,1
90,30.0,ForTheDream,58.0,Vici Gaming Potential,52,85,13,112,28,54,84,39,86,1,69,0
91,58.0,Vici Gaming Potential,30.0,ForTheDream,54,9,51,101,53,43,31,60,39,12,114,0
92,58.0,Vici Gaming Potential,30.0,ForTheDream,46,9,51,92,57,49,4,71,39,55,86,1
93,27.0,Mid or Feed,8.0,Vega Squadron,44,31,100,88,94,9,51,112,13,57,67,1
94,27.0,Mid or Feed,8.0,Vega Squadron,39,3,71,97,44,22,86,60,16,35,20,0
95,17.0,Natus Vincere,21.0,Team Empire,35,3,69,15,65,39,58,20,107,37,43,1
96,21.0,Team Empire,17.0,Natus Vincere,47,112,85,53,47,44,20,58,87,39,94,0
101,26.0,EHOME,11.0,Vici Gaming,53,60,13,86,54,44,87,78,28,80,46,0
102,15.0,VGJ Thunder,5.0,LGD-GAMING,38,107,92,87,49,36,7,13,30,80,98,0
104,5.0,LGD-GAMING,15.0,VGJ Thunder,31,112,7,13,8,15,88,9,79,108,52,1
105,5.0,LGD-GAMING,11.0,Vici Gaming,60,112,92,51,62,4,84,76,64,72,61,0
106,5.0,LGD-GAMING,11.0,Vici Gaming,66,112,51,22,95,28,84,72,13,41,101,0
109,1.0,Team Secret,21.0,Team Empire,65,78,69,87,35,42,30,7,47,53,1,1
111,21.0,Team Empire,1.0,Team Secret,53,78,68,107,18,9,30,7,96,8,34,0
112,1.0,Team Secret,8.0,Vega Squadron,54,3,51,39,1,57,30,7,47,65,82,0
113,21.0,Team Empire,9.0,Gambit Esports,76,58,64,4,65,40,16,112,9,114,54,1
114,8.0,Vega Squadron,1.0,Team Secret,71,60,3,13,54,46,22,71,96,80,43,0
115,21.0,Team Empire,9.0,Gambit Esports,51,16,66,50,109,75,107,79,48,2,34,1
116,27.0,Mid or Feed,18.0,Virtus.pro,54,3,78,16,114,74,51,112,13,104,48,0
117,21.0,Team Empire,8.0,Vega Squadron,51,107,68,44,104,9,112,16,53,20,49,1
118,27.0,Mid or Feed,18.0,Virtus.pro,55,112,107,57,20,75,51,68,39,41,113,1
119,21.0,Team Empire,8.0,Vega Squadron,49,107,53,75,15,8,27,88,85,18,61,1
122,15.0,VGJ Thunder,26.0,EHOME,58,107,68,18,39,29,62,43,64,38,17,0
128,15.0,VGJ Thunder,26.0,EHOME,58,78,50,63,91,19,107,43,87,97,1,1
130,15.0,VGJ Thunder,26.0,EHOME,49,43,64,16,76,29,107,112,4,65,109,0
131,5.0,LGD-GAMING,26.0,EHOME,43,3,43,18,100,12,107,92,53,6,52,1
133,5.0,LGD-GAMING,26.0,EHOME,57,60,9,87,1,103,64,14,55,47,73,1
135,16.0,Team Liquid,0.0,OG,48,84,65,50,6,9,79,7,52,80,39,1
138,0.0,OG,16.0,Team Liquid,63,84,38,26,34,54,85,86,13,109,22,0
139,9.0,Gambit Esports,8.0,Vega Squadron,48,16,79,48,98,13,3,7,104,54,34,1
141,9.0,Gambit Esports,8.0,Vega Squadron,63,16,68,88,76,114,85,3,94,104,15,0
142,21.0,Team Empire,16.0,Team Liquid,40,112,80,86,108,98,38,75,16,44,17,0
143,21.0,Team Empire,16.0,Team Liquid,50,112,54,28,17,22,38,58,79,40,18,0
144,9.0,Gambit Esports,8.0,Vega Squadron,45,3,78,23,44,9,107,79,53,63,49,0
145,1.0,Team Secret,27.0,Mid or Feed,49,7,53,111,17,48,68,41,16,43,78,1
146,1.0,Team Secret,27.0,Mid or Feed,40,7,30,54,49,29,88,64,13,63,94,1
147,39.0,Execration,41.0,Happy Feet,55,38,112,19,39,36,30,7,20,108,94,0
148,39.0,Execration,41.0,Happy Feet,38,19,75,78,1,39,112,13,14,57,109,1
149,39.0,Execration,41.0,Happy Feet,66,112,71,57,36,46,75,39,63,86,78,1
151,53.0,Entity Gaming,7.0,Fnatic,60,78,75,4,16,40,107,7,60,54,34,0
155,53.0,Entity Gaming,7.0,Fnatic,78,3,60,40,109,104,7,39,112,1,22,1
156,53.0,Entity Gaming,7.0,Fnatic,33,112,107,54,57,49,39,88,75,65,93,0
157,39.0,Execration,7.0,Fnatic,41,112,107,54,57,39,75,13,78,14,1,0
158,39.0,Execration,7.0,Fnatic,43,78,86,40,28,39,107,57,84,63,49,0
159,27.0,Mid or Feed,38.0,PENTA Sports,39,31,107,96,10,102,3,13,7,54,68,0
160,17.0,Natus Vincere,16.0,Team Liquid,55,38,20,88,47,37,112,7,39,77,81,0
161,38.0,PENTA Sports,27.0,Mid or Feed,57,31,7,55,54,9,107,13,75,80,36,1
162,17.0,Natus Vincere,16.0,Team Liquid,28,107,43,102,55,44,20,58,60,47,18,1
163,10.0,HellRaisers,63.0,Team Singularity,45,3,13,85,63,36,20,7,77,57,17,1
164,1.0,Team Secret,0.0,OG,71,60,78,87,54,34,26,62,96,8,1,1
165,63.0,Team Singularity,10.0,HellRaisers,53,112,88,54,65,17,16,64,4,100,25,0
166,0.0,OG,1.0,Team Secret,96,107,50,18,65,4,30,28,29,20,17,0
167,72.0,DotA Mastery,9.0,Gambit Esports,53,16,112,13,36,47,9,28,3,55,34,0
168,22.0,Sacred,82.0,Elite Wolves,26,112,107,8,97,25,78,31,69,9,18,1
169,9.0,Gambit Esports,72.0,DotA Mastery,51,71,72,86,20,57,16,3,13,109,69,1
170,38.0,PENTA Sports,10.0,HellRaisers,21,64,51,97,44,92,75,7,54,96,43,0
171,1.0,Team Secret,18.0,Virtus.pro,44,112,71,55,1,15,86,5,29,17,80,0
172,22.0,Sacred,82.0,Elite Wolves,35,68,88,63,61,82,31,13,9,3,7,1
173,10.0,HellRaisers,38.0,PENTA Sports,31,31,107,77,101,69,7,3,9,33,61,1
174,1.0,Team Secret,18.0,Virtus.pro,76,86,57,89,9,48,84,78,50,114,35,1
180,24.0,Eclipse,45.0,Sun Gaming,59,86,87,97,44,72,38,32,50,59,34,1
181,5.0,LGD-GAMING,12.0,Newbee,38,107,53,101,49,12,38,3,39,16,98,0
182,45.0,Sun Gaming,24.0,Eclipse,46,107,87,57,76,20,86,13,23,114,94,0
183,12.0,Newbee,5.0,LGD-GAMING,71,112,13,71,4,39,72,84,26,9,53,1
184,79.0,Team Waooo,59.0,Rock Gaming,47,60,31,23,35,77,7,87,43,57,72,0
185,23.0,Invictus Gaming,11.0,Vici Gaming,68,16,9,26,46,15,112,86,13,97,12,0
186,59.0,Rock Gaming,79.0,Team Waooo,49,13,30,107,29,67,62,9,1,64,69,0
187,41.0,Happy Feet,53.0,Entity Gaming,33,38,86,51,70,76,27,54,7,108,49,1
188,23.0,Invictus Gaming,11.0,Vici Gaming,39,16,9,101,18,13,112,28,78,72,46,0
189,41.0,Happy Feet,53.0,Entity Gaming,70,112,39,107,20,98,38,63,87,14,34,0
190,55.0,KEEN GAMING,24.0,Eclipse,54,107,87,43,72,108,13,3,7,78,1,0
191,41.0,Happy Feet,53.0,Entity Gaming,46,60,4,26,98,49,13,86,71,81,76,1
192,24.0,Eclipse,55.0,KEEN GAMING,54,112,78,20,86,49,79,9,16,29,15,0
194,41.0,Happy Feet,39.0,Execration,43,38,86,107,25,36,112,39,104,28,48,0
195,15.0,VGJ Thunder,12.0,Newbee,53,3,1,87,25,29,85,39,28,63,114,0
196,39.0,Execration,41.0,Happy Feet,60,13,83,86,49,81,107,39,3,9,114,0
198,39.0,Execration,41.0,Happy Feet,86,13,83,51,63,7,28,20,64,55,106,1
199,9.0,Gambit Esports,21.0,Team Empire,30,16,13,50,94,2,107,79,96,8,76,0
200,60.0,TSHOW RISING,54.0,SG e-sports team,36,107,50,29,1,39,64,28,55,114,76,0
201,1.0,Team Secret,17.0,Natus Vincere,26,30,7,8,57,15,20,60,65,18,34,1
202,60.0,TSHOW RISING,54.0,SG e-sports team,50,38,50,72,107,13,85,16,86,52,47,0
204,27.0,Mid or Feed,63.0,Team Singularity,47,107,53,54,87,13,7,30,39,29,56,1
208,8.0,Vega Squadron,16.0,Team Liquid,72,112,7,45,47,95,68,16,57,39,10,1
209,27.0,Mid or Feed,63.0,Team Singularity,48,112,20,107,17,80,68,41,16,9,61,1
212,16.0,Team Liquid,8.0,Vega Squadron,66,3,107,45,54,9,79,16,52,4,94,1
213,54.0,SG e-sports team,61.0,Bulls,86,112,71,53,9,15,107,3,13,44,96,1
214,82.0,Elite Wolves,64.0,MAD KINGS,33,31,69,90,12,91,85,27,114,65,94,1
215,82.0,Elite Wolves,64.0,MAD KINGS,84,31,57,21,41,23,68,7,13,109,106,1
216,22.0,Sacred,82.0,Elite Wolves,31,85,58,86,95,39,71,68,48,53,25,1
217,82.0,Elite Wolves,22.0,Sacred,55,31,95,97,114,28,62,69,91,59,39,0
218,4.0,LGD.Forever Young,11.0,Vici Gaming,37,38,16,50,63,43,79,78,52,10,13,1
