,radiant_id,radiant_name,dire_id,dire_name,kills,radiant1,radiant2,radiant3,radiant4,radiant5,dire1,dire2,dire3,dire4,dire5,radiant_win
67,18.0,Virtus.pro,,xGame.kz,0,73,5,76,86,72,69,98,58,21,48,1
68,,xGame.kz,17.0,Natus Vincere,0,99,5,66,48,33,103,73,79,13,56,0
69,18.0,Virtus.pro,17.0,Natus Vincere,0,5,53,84,62,13,92,48,58,63,17,0
70,,SIGMA.int,,TheRerereTRY,0,5,98,92,58,54,93,51,86,9,49,1
71,,QPAD Red Pandas,17.0,Natus Vincere,0,99,5,48,93,69,51,91,79,88,39,0
72,,FlipSideTactics,,Alliance,0,98,5,91,54,58,103,92,49,81,82,0
73,,Alliance,,TheRerereTRY,0,92,99,40,26,47,73,15,53,13,80,1
74,17.0,Natus Vincere,,Osliki Gaming,0,5,99,48,93,31,92,51,45,13,33,1
75,17.0,Natus Vincere,,"Relax, you are doing fine.",0,99,48,79,52,49,5,98,56,66,17,1
76,,SuperStrongDinosaurs,,TheRerereTRY,0,73,86,54,33,11,5,53,49,51,13,0
77,,Osliki Gaming,,SuperStrongDinosaurs,0,40,51,86,47,65,5,92,99,59,63,0
78,18.0,Virtus.pro,,TheRerereTRY,0,5,53,49,52,93,103,48,84,33,54,0
79,,mousesportz,17.0,Natus Vincere,0,103,56,5,98,97,73,86,9,92,69,0
80,,Radical Online X-tremists,,_PowerRangers,0,5,88,48,56,51,45,102,50,53,33,1
81,,QPAD Red Pandas,,TheRerereTRY,0,92,76,102,70,101,53,91,47,21,6,1
82,57.0,mousesports,7.0,Fnatic,0,5,9,3,79,48,103,76,58,69,39,0
83,7.0,Fnatic,,SuperStrongDinosaurs,0,53,5,89,74,98,92,91,17,23,9,1
84,18.0,Virtus.pro,7.0,Fnatic,0,99,73,50,48,74,103,92,33,63,87,0
85,,xGame.kz,7.0,Fnatic,0,73,51,76,15,17,5,98,91,79,39,0
86,7.0,Fnatic,21.0,Team Empire,0,9,98,79,19,86,103,76,91,75,13,1
87,,SIGMA.int,21.0,Team Empire,0,3,5,98,33,51,9,93,86,13,54,1
88,,SIGMA.int,,QPAD Red Pandas,0,3,5,53,99,33,92,93,65,49,48,1
89,7.0,Fnatic,17.0,Natus Vincere,0,58,99,20,74,45,92,53,33,69,54,0
90,,SuperStrongDinosaurs,17.0,Natus Vincere,0,5,99,48,79,72,92,88,76,46,21,0
91,,TheRerereTRY,21.0,Team Empire,0,5,98,93,54,21,73,86,13,75,28,1
92,,Osliki Gaming,,QPAD Red Pandas,0,73,47,86,49,71,103,5,48,9,51,1
93,18.0,Virtus.pro,,Radical Online X-tremists,0,40,53,13,56,5,99,50,93,68,81,1
94,57.0,mousesports,21.0,Team Empire,0,9,5,51,60,3,103,102,28,23,14,0
95,,SIGMA.int,17.0,Natus Vincere,0,99,58,92,72,88,5,98,53,48,17,0
96,,_PowerRangers,17.0,Natus Vincere,0,99,48,92,70,23,5,98,3,33,69,1
97,,SIGMA.int,18.0,Virtus.pro,0,5,51,91,7,17,40,99,63,19,76,1
98,,xGame.kz,,Radical Online X-tremists,0,73,51,91,83,40,103,76,48,54,97,0
99,,QPAD Red Pandas,21.0,Team Empire,0,99,92,40,8,31,5,73,43,11,88,0
100,,QPAD Red Pandas,,"Relax, you are doing fine.",0,5,92,80,23,85,103,76,30,53,18,1
101,,Osliki Gaming,7.0,Fnatic,0,53,92,58,13,50,5,99,63,48,46,0
102,,FlipSideTactics,,SuperStrongDinosaurs,0,40,51,91,13,97,92,9,3,81,63,0
103,,_PowerRangers,21.0,Team Empire,0,99,73,74,50,60,92,98,46,40,56,0
104,,SIGMA.int,,_PowerRangers,0,92,51,49,28,50,5,9,23,58,54,1
105,,QPAD Red Pandas,57.0,mousesports,0,103,9,86,72,65,5,99,73,85,60,0
106,,SIGMA.int,,Radical Online X-tremists,0,5,76,58,50,28,99,15,102,53,9,0
107,57.0,mousesports,,TheRerereTRY,0,5,73,98,33,39,99,86,54,28,11,0
108,,Radical Online X-tremists,7.0,Fnatic,0,91,5,74,83,50,98,76,48,19,55,0
109,,SIGMA.int,7.0,Fnatic,0,99,76,93,102,63,73,3,72,92,33,1
110,,_PowerRangers,7.0,Fnatic,0,99,5,49,9,97,73,51,86,48,92,1
111,,SuperStrongDinosaurs,,QPAD Red Pandas,0,98,5,9,83,13,92,72,85,16,73,1
112,57.0,mousesports,,Radical Online X-tremists,0,93,53,26,48,50,99,76,83,72,33,0
113,,"Relax, you are doing fine.",,Alliance,0,53,58,54,60,93,5,98,89,13,25,0
114,,SuperStrongDinosaurs,,"Relax, you are doing fine.",0,98,5,54,33,39,73,74,51,13,87,1
115,,SuperStrongDinosaurs,,Alliance,0,66,99,54,87,72,73,98,79,17,75,0
116,,Radical Online X-tremists,,SuperStrongDinosaurs,0,53,48,88,102,86,99,76,9,92,5,0
117,7.0,Fnatic,,FlipSideTactics,0,40,48,86,93,17,103,76,5,46,51,1
118,,xGame.kz,,SuperStrongDinosaurs,0,5,98,66,52,69,93,74,79,63,17,1
119,7.0,Fnatic,,TheRerereTRY,0,73,9,88,32,13,103,91,86,25,28,1
120,,FlipSideTactics,17.0,Natus Vincere,0,58,54,48,88,93,53,9,40,25,38,0
121,,Osliki Gaming,,FlipSideTactics,0,3,9,17,75,97,103,5,48,53,26,0
122,,FlipSideTactics,,TheRerereTRY,0,53,88,17,13,26,5,103,54,63,21,1
123,,Osliki Gaming,,"Relax, you are doing fine.",0,92,9,79,8,80,40,51,66,98,89,0
124,,B HATYPE,,Osliki Gaming,0,92,98,9,53,13,73,58,17,39,7,0
125,,Osliki Gaming,,B HATYPE,0,92,98,86,50,47,103,58,69,56,97,1
126,7.0,Fnatic,,Alliance,0,73,98,93,27,54,91,58,47,74,20,0
127,7.0,Fnatic,,Alliance,0,66,51,54,93,11,98,5,89,75,17,0
128,,SIGMA.int,17.0,Natus Vincere,0,92,40,49,53,31,3,9,93,72,89,1
129,17.0,Natus Vincere,,SIGMA.int,0,40,49,9,99,88,92,93,91,45,31,0
130,17.0,Natus Vincere,7.0,Fnatic,0,40,49,48,3,23,92,74,51,5,55,1
131,7.0,Fnatic,17.0,Natus Vincere,0,74,98,5,51,45,73,40,54,27,47,0
132,,Alliance,,SIGMA.int,0,40,54,49,63,47,98,5,102,31,72,1
133,,SIGMA.int,,Alliance,0,98,91,93,13,9,73,92,88,66,46,0
134,17.0,Natus Vincere,,SIGMA.int,0,73,40,48,86,54,74,98,66,65,102,1
135,,SIGMA.int,17.0,Natus Vincere,0,98,5,45,88,72,73,92,51,76,102,0
136,,Alliance,17.0,Natus Vincere,0,58,98,48,49,103,40,66,54,17,3,0
137,17.0,Natus Vincere,,Alliance,0,73,98,91,83,46,74,48,50,100,97,1
138,,Alliance,17.0,Natus Vincere,0,92,48,5,72,49,98,89,64,17,88,0
139,,_PowerRangers,16.0,Team Liquid,0,88,48,66,7,16,5,9,54,3,49,0
140,,_PowerRangers,16.0,Team Liquid,0,5,9,48,53,19,103,92,86,89,33,0
141,,Radical Online X-tremists,21.0,Team Empire,0,88,68,50,21,13,40,72,58,17,63,0
142,21.0,Team Empire,,Radical Online X-tremists,0,48,50,53,87,69,92,74,65,13,7,1
143,18.0,Virtus.pro,17.0,Natus Vincere,0,53,68,79,51,90,74,54,86,13,89,1
144,18.0,Virtus.pro,17.0,Natus Vincere,0,5,74,54,99,103,92,76,101,53,26,0
145,18.0,Virtus.pro,17.0,Natus Vincere,0,5,74,54,50,45,92,76,99,26,15,0
146,,Alliance,,SIGMA.int,0,79,9,38,17,80,3,66,54,102,32,1
147,,Alliance,,SIGMA.int,0,74,86,21,65,23,51,92,5,62,2,1
148,,,16.0,Team Liquid,0,68,54,88,103,28,92,53,3,69,16,1
149,,,16.0,Team Liquid,0,103,86,91,64,39,48,66,65,19,93,0
150,,,16.0,Team Liquid,0,54,66,27,79,45,48,68,51,38,34,0
151,21.0,Team Empire,7.0,Fnatic,0,53,5,7,86,97,48,51,68,99,9,1
152,7.0,Fnatic,21.0,Team Empire,0,92,51,50,43,76,88,58,79,28,9,0
153,,_PowerRangers,18.0,Virtus.pro,0,88,40,63,89,21,5,65,87,69,58,0
154,,_PowerRangers,18.0,Virtus.pro,0,5,65,54,53,93,88,17,68,26,9,0
155,16.0,Team Liquid,17.0,Natus Vincere,0,68,106,53,34,86,54,92,38,16,66,1
156,17.0,Natus Vincere,16.0,Team Liquid,0,53,70,92,33,55,54,17,86,103,26,1
157,16.0,Team Liquid,17.0,Natus Vincere,0,92,68,99,103,79,48,53,27,9,97,0
158,17.0,Natus Vincere,,,0,51,54,68,76,48,88,98,5,27,11,0
159,,,17.0,Natus Vincere,0,53,17,33,65,64,69,54,16,3,49,0
160,17.0,Natus Vincere,,,0,53,68,7,2,50,48,17,86,1,14,1
161,,Alliance,7.0,Fnatic,0,89,58,68,100,18,91,53,83,69,93,0
162,7.0,Fnatic,,Alliance,0,66,54,86,43,28,88,68,63,62,65,0
163,7.0,Fnatic,,Alliance,0,87,88,69,53,67,74,58,86,16,80,0
164,16.0,Team Liquid,18.0,Virtus.pro,0,88,48,92,74,6,3,5,65,49,58,0
165,16.0,Team Liquid,18.0,Virtus.pro,0,87,5,65,34,66,92,54,38,106,10,0
166,,,,_PowerRangers,0,20,68,30,6,47,92,9,7,69,39,1
167,,_PowerRangers,,,0,53,88,30,87,48,40,106,79,63,2,1
168,,_PowerRangers,17.0,Natus Vincere,0,50,48,13,103,35,68,17,87,51,92,1
169,17.0,Natus Vincere,,_PowerRangers,0,106,40,13,63,60,53,33,7,65,87,1
170,17.0,Natus Vincere,,_PowerRangers,0,50,28,69,52,29,53,20,40,33,13,1
171,7.0,Fnatic,,Radical Online X-tremists,0,53,74,72,87,96,40,88,69,3,66,1
172,,Radical Online X-tremists,7.0,Fnatic,0,91,28,40,60,47,50,83,63,69,19,0
173,17.0,Natus Vincere,7.0,Fnatic,0,54,69,40,65,11,50,28,31,18,82,1
174,17.0,Natus Vincere,18.0,Virtus.pro,0,31,65,20,7,17,74,33,88,9,6,1
175,,SIGMA.int,,Alliance,0,65,3,53,72,83,74,58,88,50,69,0
176,18.0,Virtus.pro,,Radical Online X-tremists,0,50,28,3,55,11,5,102,89,9,74,0
177,,Alliance,21.0,Team Empire,0,92,17,69,47,77,50,3,65,88,31,1
178,,MeetYourMakers.Dota2,,Alliance,0,92,13,3,80,45,74,66,86,9,63,0
179,,Alliance,,Doggy Team,0,65,66,20,90,88,50,89,69,43,56,1
180,21.0,Team Empire,,Alliance,0,92,87,54,40,77,68,65,13,60,62,1
181,17.0,Natus Vincere,7.0,Fnatic,0,69,68,87,72,30,106,83,88,89,57,1
182,18.0,Virtus.pro,,,0,106,92,13,39,75,20,54,103,48,3,0
183,,MeetYourMakers.Dota2,7.0,Fnatic,0,65,28,102,88,60,68,40,63,27,14,0
184,,,18.0,Virtus.pro,0,68,51,69,62,16,74,54,5,21,63,0
