,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
0,3540802315,20,3,AMD SAPPHIRE Dota PIT,5690,Virtus.pro,18.0,Vici Gaming,11.0,11,36,0,60,3,78,112,47,97,38,30,69,85,31,12,27,72,58,68,39,13,1,63,54,109,0
0,3541962187,20,3,AMD SAPPHIRE Dota PIT,5690,Immortals,35.0,SG e-sports team,54.0,20,34,1,9,112,3,60,78,71,47,62,86,100,4,69,31,109,15,1,16,13,87,54,68,81,0
0,3542160201,20,3,AMD SAPPHIRE Dota PIT,5690,Fnatic,7.0,OG,0.0,10,31,0,3,38,112,107,31,68,78,60,27,51,30,65,36,93,15,87,53,109,13,94,40,49,0
0,3542359881,20,3,AMD SAPPHIRE Dota PIT,5690,SG e-sports team,54.0,Virtus.pro,18.0,18,36,0,31,60,85,58,112,78,3,62,50,38,88,15,47,81,16,28,52,54,39,109,9,12,0
0,3542603444,20,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,OG,0.0,27,22,0,112,78,71,38,16,107,84,3,9,86,1,13,94,41,60,96,114,93,43,4,15,2,1
0,3542800810,20,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,Virtus.pro,18.0,19,13,0,85,60,31,38,112,78,3,84,9,53,39,65,47,16,97,28,44,20,46,107,87,50,1
0,3542962816,20,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Vici Gaming,11.0,22,30,1,112,91,85,38,97,3,86,84,78,107,13,43,1,76,9,39,49,98,53,88,80,110,1
0,3543084625,20,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Vici Gaming,11.0,29,20,0,78,85,80,112,91,38,3,83,86,66,9,1,43,69,13,47,18,97,44,15,114,61,1
0,3544380687,20,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,Vici Gaming,11.0,30,29,0,60,38,13,85,114,78,112,3,16,86,57,9,69,39,97,29,70,36,43,76,109,52,0
0,3544548127,20,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,Vici Gaming,11.0,25,20,0,60,38,13,112,9,78,85,16,68,57,1,114,49,39,18,7,65,76,63,43,20,94,1
0,3544710395,20,3,AMD SAPPHIRE Dota PIT,5690,Newbee,12.0,Vici Gaming,11.0,38,52,0,13,38,60,112,16,78,85,68,107,97,1,114,54,94,39,87,57,43,70,18,41,42,0
0,3544999229,20,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Vici Gaming,11.0,22,32,0,80,85,47,38,107,112,86,3,60,43,41,54,97,53,103,51,11,1,2,109,29,70,0
0,3545125310,20,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Vici Gaming,11.0,25,53,1,112,38,85,86,43,107,5,3,78,28,80,51,54,18,52,53,13,44,47,109,39,81,0
0,3545253155,20,3,AMD SAPPHIRE Dota PIT,5690,Vici Gaming,11.0,Team Liquid,16.0,13,30,1,107,85,80,112,47,38,86,68,60,51,97,53,81,54,69,42,77,43,29,61,65,93,0
0,3545330410,20,3,AMD SAPPHIRE Dota PIT,5690,Vici Gaming,11.0,Team Liquid,16.0,14,32,1,60,85,107,112,68,43,38,80,7,86,54,74,35,3,90,28,78,63,39,49,17,46,0
0,3545411013,20,3,AMD SAPPHIRE Dota PIT,5690,Team Liquid,16.0,Vici Gaming,11.0,28,10,1,112,80,43,60,85,38,107,84,97,78,36,44,47,8,27,83,1,74,41,46,54,13,1
0,3547144432,20,3,DreamLeague season 8,5627,Mid or Feed,27.0,Vega Squadron,8.0,37,7,0,60,38,91,47,84,53,31,51,112,100,65,12,1,20,13,88,57,94,49,109,9,67,1
0,3547233268,20,3,DreamLeague season 8,5627,Mid or Feed,27.0,Vega Squadron,8.0,12,27,1,53,38,47,51,9,112,3,86,60,71,77,93,55,13,16,97,35,44,39,41,22,20,0
0,3547324514,20,3,DreamLeague season 8,5627,Natus Vincere,17.0,Team Empire,21.0,19,16,0,60,75,51,78,85,38,3,58,20,69,9,94,44,6,107,15,37,65,12,35,39,43,1
0,3547388149,20,3,DreamLeague season 8,5627,Team Empire,21.0,Natus Vincere,17.0,12,35,0,75,38,78,51,69,60,112,20,58,85,43,12,4,9,87,53,39,47,63,6,44,94,0
0,3548767455,20,3,DreamLeague season 8,5627,Team Secret,1.0,Team Empire,21.0,39,26,0,86,75,71,58,85,38,78,30,7,69,68,43,3,73,47,87,53,35,20,44,42,1,1
0,3548897559,20,3,DreamLeague season 8,5627,Team Empire,21.0,Team Secret,1.0,12,41,1,71,58,86,38,85,75,78,30,7,68,42,53,20,47,96,107,8,18,39,46,9,34,0
0,3548993847,20,3,DreamLeague season 8,5627,Team Secret,1.0,Vega Squadron,8.0,22,32,0,86,38,78,112,85,60,3,30,7,51,20,13,9,12,47,39,65,1,97,18,57,82,0
0,3549079813,20,3,DreamLeague season 8,5627,Vega Squadron,8.0,Team Secret,1.0,33,38,1,86,39,78,35,85,47,60,22,71,3,17,38,9,69,96,13,80,54,29,15,46,43,0
0,3549168535,20,3,DreamLeague season 8,5627,Mid or Feed,27.0,Virtus.pro,18.0,18,36,0,85,38,31,60,88,65,3,51,112,78,1,57,107,54,13,16,104,114,46,10,74,48,0
0,3549219773,20,3,DreamLeague season 8,5627,Mid or Feed,27.0,Virtus.pro,18.0,34,21,0,85,60,31,78,38,3,112,51,68,107,47,13,1,67,39,57,41,20,11,18,75,113,1
