,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
1467,1038075921,20.0,2.0,Dota Pit League Season 2 Ticket,1942,compLexity Gaming,31.0,TEAMERINO TINKERINO,,0,0,1,91,78,77,106,68,20,103,74,29,6,104,67,65,88,54,22,86,13,46,94,0
1468,1038098397,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,MVP Phoenix,,,,0,0,0,91,6,20,13,78,106,101,103,96,89,41,69,93,77,29,64,92,16,84,7,0
1469,1038113201,20.0,2.0,Dota Pit League Season 2 Ticket,1942,TEAMERINO TINKERINO,,compLexity Gaming,31.0,0,0,1,78,91,106,77,84,68,65,93,104,29,41,103,86,13,52,20,69,1,67,17,1
1470,1038233447,20.0,2.0,SLTV Star Series Season 11 Ticket,2158,Not Today,,Sneaky Nyx Assassins,,0,0,1,15,29,77,41,78,91,19,20,101,68,84,10,96,33,31,98,44,74,40,63,0
1471,1038324293,20.0,2.0,SLTV Star Series Season 11 Ticket,2158,Team_eHug,,Leviathan',,0,0,1,78,77,95,65,29,41,101,20,14,15,13,47,103,75,35,44,91,68,96,36,1
1472,1039094971,20.0,2.0,i league Ticket,1709,Sneaky Nyx Assassins,,Leviathan',,0,0,0,96,78,91,14,103,41,29,95,77,20,43,15,68,69,30,42,9,74,53,101,1
1473,1039134436,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,,,EXECRATION1,,0,0,1,43,78,96,15,29,101,103,20,13,106,94,89,84,91,63,19,65,46,39,104,1
1474,1039232725,20.0,2.0,i league Ticket,1709,Leviathan',,Sneaky Nyx Assassins,,0,0,0,95,77,14,91,65,78,96,30,28,29,41,43,20,15,89,33,53,103,93,17,0
1475,1039344693,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,R a v e,,insidiousidol,,0,0,1,29,43,101,78,106,96,16,20,93,41,47,98,17,64,87,10,30,63,44,110,1
1476,1039389389,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,MVP Phoenix,,Evil Geniuses,14.0,0,0,1,13,101,103,91,78,29,77,93,20,55,65,84,30,87,92,83,33,6,63,96,0
1477,1039533101,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,Can't Say Wips,,TeamMalaysia,,0,0,1,43,106,41,29,89,78,26,96,47,101,94,103,68,84,98,9,30,53,46,52,1
1478,1039561951,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,MVP Phoenix,,Evil Geniuses,14.0,0,0,1,13,91,77,101,84,103,78,30,15,22,29,35,20,41,89,106,69,65,17,28,0
1479,1039591419,20.0,2.0,i league Ticket,1709,,,,,0,0,0,101,104,61,78,20,29,15,103,84,109,89,10,7,41,30,43,65,77,46,64,0
1480,1039776521,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,First Departure,,R a v e,,0,0,0,89,96,103,78,106,29,110,41,94,101,18,22,91,64,44,20,65,13,97,10,1
1481,1039781536,20.0,2.0,i league Ticket,1709,,,,,0,0,0,78,101,104,109,43,103,20,29,64,7,65,42,89,16,40,1,9,61,69,26,1
1482,1039797412,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,Virtus.pro,18.0,Evil Geniuses,14.0,0,0,1,77,101,103,78,13,84,29,20,109,41,94,6,9,96,106,31,93,43,46,10,0
1483,1039946582,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,Virtus.pro,18.0,Evil Geniuses,14.0,0,0,1,103,78,77,101,84,13,20,41,6,43,29,22,7,47,109,72,30,65,97,25,0
1484,1040002078,20.0,8.0,SLTV Star Series Season 11 Ticket,2158,,,HellRaisers,10.0,0,0,0,91,43,104,78,20,84,101,33,96,89,15,93,10,44,64,13,29,47,17,69,0
1485,1040032145,20.0,3.0,Dota Pit League Season 2 Ticket,1942,STARK.gg,,_PowerRangers,,0,0,1,91,78,20,84,101,68,104,96,43,47,36,106,15,92,86,6,13,29,2,74,1
1486,1040170084,20.0,3.0,Dota Pit League Season 2 Ticket,1942,_PowerRangers,,STARK.gg,,0,0,1,78,91,101,43,29,93,68,104,96,36,47,20,64,84,15,1,30,86,7,87,0
1487,1040214599,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,TEAMERINO TINKERINO,,Alliance,,0,0,0,104,78,103,84,20,29,93,6,101,92,91,74,30,13,86,50,15,17,22,47,0
1488,1040356836,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,TEAMERINO TINKERINO,,Alliance,,0,0,1,6,103,20,104,78,96,93,101,79,17,86,41,65,69,30,7,15,87,75,72,1
1489,1040506765,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,TEAMERINO TINKERINO,,Virtus.pro,18.0,0,0,1,43,103,15,78,101,84,13,104,20,47,93,91,36,68,31,7,17,77,41,29,1
1490,1040726420,20.0,2.0,SLTV Star Series Season 11 Ticket,2158,Leviathan',,ROOT-gaming.com,,0,0,1,41,101,15,78,103,84,29,9,30,94,93,96,53,65,92,17,54,46,1,28,1
1491,1040779429,20.0,2.0,SLTV Star Series Season 11 Ticket,2158,Leviathan',,Sneaky Nyx Assassins,,0,0,1,29,95,96,14,78,77,30,41,65,101,15,68,89,20,64,104,7,103,36,50,0
1492,1041538309,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,TeamMalaysia,,R a v e,,0,0,0,89,43,78,47,106,101,41,20,13,97,15,29,84,64,17,65,10,96,88,77,0
1493,1041662529,20.0,2.0,i league Ticket,1709,,,Sneaky Nyx Assassins,,0,0,1,29,65,30,78,103,91,19,13,96,10,38,89,51,20,33,41,64,40,104,97,1
1494,1041705975,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,TeamMalaysia,,First Departure,,0,0,0,78,89,43,96,103,41,101,22,17,53,65,29,16,93,13,50,51,47,1,44,1
1495,1041771205,20.0,2.0,i league Ticket,1709,Sneaky Nyx Assassins,,,,0,0,1,78,29,103,30,65,20,13,41,77,68,89,9,109,104,97,22,40,50,92,26,0
1496,1041880018,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,TeamMalaysia,,EXECRATION1,,0,0,1,103,78,41,43,29,101,96,89,16,20,82,15,26,47,93,87,69,97,13,86,1
1497,1042077125,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,,,Virtus.pro,18.0,0,0,1,96,78,15,6,20,13,103,65,84,68,89,77,101,22,93,41,46,69,88,40,1
1498,1042091498,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,First Departure,,Trust,,0,0,0,89,78,77,96,15,33,110,75,43,93,44,1,6,65,20,106,31,74,29,86,1
1499,1042254854,20.0,5.0,SLTV Star Series Season 11 Ticket,2158,Can't Say Wips,,insidiousidol,,0,0,1,43,89,41,65,106,101,96,29,78,15,94,64,103,9,7,84,47,17,44,77,0
1500,1042272887,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,Virtus.pro,18.0,,,0,0,0,96,22,15,109,78,101,84,20,89,13,69,65,43,103,77,41,104,38,2,64,0
1501,1042505750,20.0,8.0,ASUS ROG DreamLeague Season 2,2190,Alliance,,Evil Geniuses,14.0,0,0,1,103,78,77,6,30,20,13,93,69,29,89,74,64,87,33,65,75,44,17,1,0
