"match_id","start_time","radiant_team_id","radiant_score","dire_team_id","dire_score","radiant_win","avg","count","winrate","winrate_wilson","sum","min","max","stddev"
2912433371,1484299045,3547682,34,2414475,16,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2912445452,1484299516,5,32,4,14,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2912457483,1484299972,726228,31,15,11,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2912526011,1484302623,5,22,4,5,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2912548426,1484303445,3331948,45,20,31,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2912585848,1484304822,1520578,20,2860081,7,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2912669765,1484307693,1520578,21,2860081,12,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2912673536,1484307806,20,34,3331948,13,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2913969022,1484355805,2833354,9,726228,20,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2913972887,1484356061,3547682,13,15,24,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914013128,1484359269,2833354,4,726228,26,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914026555,1484360148,15,11,3547682,29,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914078882,1484363090,1520578,37,20,49,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914080941,1484363194,2860081,44,4,22,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914098996,1484364143,5,14,3331948,7,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914143725,1484366426,4,41,2860081,45,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914169535,1484367703,5,21,3331948,8,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914193840,1484368837,20,11,1520578,33,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914272035,1484372160,2833354,12,15,19,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914278717,1484372427,2414475,8,726228,30,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914286798,1484372747,2640025,13,3547682,37,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914340431,1484374781,2833354,21,15,21,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914346387,1484375002,726228,23,2414475,4,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914388148,1484376512,2640025,19,3547682,37,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914446271,1484378531,5,29,2860081,36,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914475405,1484379521,1520578,34,3331948,30,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914550827,1484381992,4,35,20,12,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914586394,1484383146,2860081,10,5,23,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914605091,1484383753,1520578,39,3331948,23,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914640664,1484384916,4,33,20,46,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914725479,1484387687,2414475,20,15,37,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914758496,1484388770,2833354,24,3547682,29,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914766868,1484389036,2640025,13,726228,26,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914820980,1484390749,15,29,2414475,6,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914862113,1484392023,726228,22,2640025,20,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2914925862,1484393878,3547682,29,2833354,8,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2916408371,1484445534,1520578,22,726228,18,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2916414858,1484445896,3331948,26,2640025,15,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2916481440,1484449317,1520578,6,726228,21,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2916492126,1484449829,2640025,23,3331948,11,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2916542897,1484452220,1520578,18,726228,7,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2916552825,1484452675,3331948,27,2640025,20,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2916674017,1484457783,726228,32,2640025,15,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2916680574,1484458030,1520578,10,3331948,25,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2916745666,1484460422,2640025,26,726228,9,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2916790625,1484461988,1520578,20,3331948,37,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2916844783,1484463785,2640025,41,726228,28,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2917034964,1484469584,1520578,11,2640025,23,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2917131659,1484472470,1520578,21,2640025,31,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2968747068,1486094474,3326875,37,24,11,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2968860662,1486097783,24,15,3326875,42,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2969163445,1486105304,2644737,10,2659468,30,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2969276964,1486107880,2659468,34,2644737,16,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2969820681,1486119666,2790766,14,1883502,7,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2970412970,1486130537,3728003,10,2621843,26,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2970416410,1486130597,3722485,27,2642171,18,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2970577447,1486133511,2621843,31,3728003,30,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2970643286,1486134749,3722485,46,2642171,28,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2970960865,1486141294,2533075,23,111474,4,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2971099287,1486144519,2533075,27,111474,9,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2971447386,1486155660,3720366,27,2512249,29,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2971578484,1486159295,2512249,43,3720366,37,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2971715011,1486164289,2512249,6,3720366,25,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2971807068,1486167898,3,21,2701329,18,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2971868734,1486170824,3,15,2701329,5,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2972204245,1486180958,1105664,22,2108395,22,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2972367043,1486185172,1105664,3,2108395,24,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2972634851,1486191313,543897,20,2581813,24,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2972824737,1486195305,543897,23,2581813,4,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2972978607,1486198453,543897,24,2581813,14,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2973348752,1486205974,1964407,35,2006913,41,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2973632094,1486211210,1964407,19,2006913,6,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2973783723,1486213880,1964407,10,2006913,34,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2973954222,1486216842,2163,18,3729377,18,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2974011492,1486217857,3332295,4,46,16,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2974151846,1486220375,46,7,3332295,32,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2974171489,1486220740,2163,21,3729377,37,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2974303865,1486223232,46,27,3332295,21,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2974403760,1486225217,3729377,16,2163,21,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2974542152,1486228128,1838315,16,36,30,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2974745922,1486232838,1838315,39,36,22,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2974919250,1486237327,1838315,24,36,36,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2975141703,1486242115,3214108,30,3580606,22,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2975288006,1486246347,3214108,25,3580606,11,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2975454784,1486252646,2672298,14,3722973,23,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2975540941,1486255921,3722973,31,2672298,4,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2975926730,1486267284,3326875,26,2659468,11,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2976083678,1486271229,3326875,26,2659468,19,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2976385447,1486277740,543897,10,2108395,20,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2976515921,1486280338,543897,19,2108395,32,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2977118488,1486292144,2790766,28,2621843,16,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2977280066,1486295267,2621843,21,2790766,34,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2977712951,1486303157,46,34,2006913,18,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2977741688,1486303695,3722485,25,36,16,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2977907901,1486306962,2006913,24,46,18,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2977942296,1486307676,3722485,38,36,24,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2978066219,1486310359,46,17,2006913,10,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2978221218,1486314027,2163,22,2533075,6,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2978346983,1486317284,2533075,39,2163,33,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2978764318,1486328406,3,33,3720366,17,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2978869552,1486331993,3,44,3720366,19,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2979022392,1486339058,3722973,6,3214108,20,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2979097192,1486342571,3722973,5,3214108,24,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2979381128,1486353558,24,7,2644737,21,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2979474191,1486356575,24,4,2644737,17,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2979737413,1486364349,1105664,11,2581813,23,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2979825842,1486366766,1105664,24,2581813,15,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2979953656,1486370049,1105664,41,2581813,18,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2980356827,1486379402,3728003,10,1883502,11,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2980876773,1486389543,1964407,25,3332295,21,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2980900253,1486390003,2642171,16,1838315,33,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2981092405,1486393915,1838315,31,2642171,7,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2981100686,1486394094,1964407,18,3332295,8,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2981368042,1486400446,3729377,18,111474,1,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2981471982,1486403261,111474,27,3729377,9,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2981603045,1486407169,3729377,10,111474,23,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2981775771,1486415141,2701329,20,2512249,32,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2981833288,1486418666,2701329,11,2512249,28,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2982142868,1486440361,2644737,5,2659468,29,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2982194455,1486443101,2659468,20,2644737,12,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2982353761,1486450603,543897,23,1105664,9,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2982462454,1486455055,543897,37,1105664,37,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2982735894,1486464990,3728003,45,2621843,14,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2982876027,1486469375,3728003,13,2621843,27,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983006157,1486473038,2621843,18,3728003,5,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983105664,1486475735,1964407,20,2006913,10,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983122292,1486476192,36,19,1838315,26,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983222528,1486479043,2006913,22,1964407,18,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983258686,1486480130,36,25,1838315,33,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983344621,1486482826,2006913,23,1964407,30,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983467479,1486487097,2533075,23,111474,11,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983571441,1486491049,2533075,27,111474,20,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983671569,1486495335,111474,22,2533075,29,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983786347,1486501272,3720366,20,2512249,42,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983844150,1486504998,3720366,10,2512249,27,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983931333,1486512047,3580606,6,3722973,32,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2983965240,1486515515,3580606,11,3722973,24,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2984356176,1486537328,3326875,23,543897,4,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2984415242,1486539735,543897,10,3326875,23,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2984639741,1486548090,2659468,14,2108395,25,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2984744617,1486551731,2659468,34,2108395,25,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2984862241,1486555402,2659468,25,2108395,8,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2985126328,1486562678,2533075,18,3722485,31,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2985292104,1486567457,3722485,30,2533075,13,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2985468097,1486573270,2163,16,1838315,3,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2985537145,1486575829,2163,24,1838315,12,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2986341487,1486623768,2108395,14,543897,32,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2986432328,1486627547,2108395,33,543897,34,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2986537078,1486631588,2108395,30,543897,11,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2986617948,1486634596,3326875,9,2659468,20,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2986720363,1486638265,3326875,24,2659468,18,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2986834561,1486641917,3326875,29,2659468,31,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2987084211,1486648845,2533075,26,1838315,17,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2987211184,1486652930,1838315,21,2533075,4,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2987313759,1486656379,2533075,23,1838315,12,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2987413414,1486659781,3722485,31,2163,20,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2987524070,1486664036,2163,36,3722485,40,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2987642896,1486669284,3722485,12,2163,23,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2988308823,1486710027,3326875,23,2108395,16,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2988397066,1486713460,2108395,13,3326875,40,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2988609800,1486721210,3326875,26,2659468,12,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2988704822,1486724542,3326875,17,2659468,1,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2989101259,1486735410,3722485,36,2533075,41,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2989360031,1486742319,2533075,11,3722485,29,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2989528495,1486747439,2163,24,3722485,11,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2989649323,1486751655,3722485,9,2163,22,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2989854774,1486760369,3722973,31,3,21,true,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2989923124,1486764062,3722973,22,3,36,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2989983776,1486768610,3722973,27,3,29,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
2990045419,1486773388,3214108,11,2512249,27,false,"1.00000000000000000000",1,0.5,0.236589593615487,10,1,1,"0"
