,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
33,2694580690,20.0,3,World Electronic Sports Games International,4972,Team Alternate Attax,,Danish Bears,,12,29,1,91,76,111,65,103,84,6,28,93,41,61,55,30,9,104,112,10,11,12,37,0
34,2694746061,20.0,3,World Electronic Sports Games International,4972,Team Ukraine,,Vlajnaya Mol',,23,15,0,79,6,91,16,111,103,65,2,59,66,73,58,30,87,74,56,8,10,18,41,1
35,2694765725,20.0,3,World Electronic Sports Games International,4972,Romania,,Que La Famille,,41,20,0,79,76,55,57,103,98,16,8,75,54,97,17,111,87,38,65,28,59,13,93,1
36,2694859237,20.0,3,World Electronic Sports Games International,4972,Vlajnaya Mol',,Zero Hoots Given,,25,37,1,23,6,79,57,16,111,65,87,56,59,8,74,9,70,76,28,75,41,73,18,0
37,2694900569,20.0,3,World Electronic Sports Games International,4972,Romania,,Team Ukraine,,12,22,0,6,65,9,76,79,103,16,66,8,30,41,10,74,48,84,98,2,15,38,63,0
38,2695866686,20.0,3,World Electronic Sports Games International,4972,Que La Famille,,Danish Bears,,9,31,0,103,6,9,91,65,23,79,76,86,88,111,8,97,84,93,96,87,54,50,55,0
39,2695878207,20.0,3,World Electronic Sports Games International,4972,?omanche,42.0,Team DK ,,18,6,0,91,76,111,79,16,6,66,112,25,17,18,29,87,9,28,54,103,74,30,11,1
40,2695958805,20.0,3,World Electronic Sports Games International,4972,Que La Famille,,Danish Bears,,35,35,1,91,103,61,6,84,65,76,88,111,23,54,96,14,8,50,75,97,44,17,59,1
41,2695984914,20.0,3,World Electronic Sports Games International,4972,Team DK ,,?omanche,42.0,0,17,0,103,91,76,6,79,16,9,66,48,18,29,25,68,28,41,8,109,112,56,10,0
42,2696098958,20.0,3,World Electronic Sports Games International,4972,Que La Famille,,Danish Bears,,15,31,0,103,91,111,6,65,76,23,84,44,93,80,8,50,75,51,86,35,54,48,94,0
43,2696245381,20.0,3,World Electronic Sports Games International,4972,,,Danish Bears,,7,25,1,6,9,91,23,76,65,111,29,41,84,54,96,44,71,48,8,20,79,87,37,0
44,2696343456,20.0,3,World Electronic Sports Games International,4972,?omanche,42.0,Alliance,,10,22,1,76,6,79,111,91,23,65,29,8,59,93,13,5,62,98,17,54,1,44,48,0
45,2696357059,20.0,3,World Electronic Sports Games International,4972,Danish Bears,,,,9,26,1,62,91,9,65,84,6,111,61,34,29,44,16,71,30,17,96,13,55,49,97,0
46,2696464492,20.0,3,World Electronic Sports Games International,4972,Danish Bears,,,,32,17,1,9,91,62,65,6,29,111,76,84,61,50,44,71,85,34,86,88,41,13,12,1
47,2696487511,20.0,3,World Electronic Sports Games International,4972,?omanche,42.0,Alliance,,16,33,0,66,79,65,91,6,76,111,87,41,59,29,57,16,84,58,88,13,54,9,93,0
48,2696704860,20.0,3,World Electronic Sports Games International,4972,Romania,,WOOF,,36,48,1,88,98,23,111,9,91,19,79,16,18,6,103,93,48,32,47,2,61,55,7,0
49,2696722540,20.0,3,World Electronic Sports Games International,4972,Fantastic Five,,Wombat-Gaming,,17,11,1,91,16,65,6,76,88,23,96,57,98,111,8,79,32,48,55,50,80,30,51,1
50,2696864414,20.0,3,World Electronic Sports Games International,4972,Fantastic Five,,Wombat-Gaming,,21,5,1,91,16,6,76,55,65,111,13,32,59,79,8,84,10,1,71,87,49,54,98,1
51,2696902418,20.0,3,World Electronic Sports Games International,4972,Romania,,WOOF,,30,8,0,98,9,111,88,91,23,16,19,18,38,32,13,8,50,30,59,57,68,51,15,1
