,radiant_win,Disabler_radiant,Disabler_dire,Nuker_radiant,Nuker_dire,Carry_radiant,Carry_dire,Initiator_radiant,Initiator_dire,Escape_radiant,Escape_dire,Durable_radiant,Durable_dire,Support_radiant,Support_dire,Pusher_radiant,Pusher_dire,Jungler_radiant,Jungler_dire
4435,0,5,5,2,4,4,0,3,4,3,2.0,4,0.0,1,3.0,1,1.0,0,1.0
4436,1,4,3,4,5,2,3,3,2,1,3.0,1,3.0,3,1.0,0,0.0,0,0.0
4437,1,4,3,3,3,3,2,3,2,3,2.0,2,0.0,2,2.0,0,1.0,0,1.0
4438,1,4,2,2,5,3,3,2,3,4,2.0,2,2.0,1,1.0,1,0.0,1,0.0
4439,0,3,5,2,5,3,1,1,3,3,2.0,2,1.0,2,2.0,1,0.0,0,0.0
4440,0,5,4,5,3,1,2,4,3,0,4.0,1,0.0,5,2.0,1,1.0,0,1.0
4441,0,3,3,4,4,4,2,2,2,1,3.0,2,0.0,1,3.0,1,2.0,0,0.0
4442,1,2,4,4,5,4,2,1,2,2,3.0,1,0.0,1,3.0,1,1.0,1,0.0
4443,0,2,3,3,2,3,2,1,2,1,3.0,1,1.0,3,2.0,1,2.0,0,3.0
4444,1,3,4,3,2,2,4,3,3,3,1.0,1,3.0,2,1.0,1,1.0,0,0.0
4445,0,5,3,4,4,2,2,3,3,2,4.0,1,2.0,2,1.0,1,2.0,0,2.0
4446,0,2,4,3,4,4,1,3,2,2,1.0,2,1.0,2,3.0,2,0.0,0,0.0
4447,0,2,4,3,4,4,1,1,2,1,2.0,2,1.0,1,3.0,1,1.0,0,0.0
4448,1,3,3,4,2,3,3,2,1,2,2.0,1,1.0,3,2.0,1,2.0,1,0.0
4449,1,4,1,4,4,2,3,2,2,2,2.0,3,1.0,3,1.0,2,1.0,1,0.0
4450,1,4,4,5,3,3,1,3,3,2,1.0,3,1.0,1,2.0,2,3.0,0,1.0
4451,0,3,3,4,2,3,2,3,2,2,2.0,2,1.0,2,2.0,1,1.0,1,0.0
4452,0,2,4,4,4,2,2,2,2,0,2.0,1,4.0,3,1.0,1,1.0,2,1.0
4453,1,2,5,3,3,3,1,3,2,2,1.0,2,2.0,1,3.0,1,0.0,0,1.0
4454,0,5,4,4,4,1,3,1,3,1,3.0,2,1.0,3,3.0,3,0.0,0,1.0
4455,0,2,2,2,3,2,3,1,3,1,2.0,2,1.0,3,2.0,2,0.0,1,0.0
4456,1,3,4,4,4,3,3,3,4,1,1.0,1,3.0,2,2.0,1,0.0,1,0.0
4457,1,2,4,1,2,3,2,0,4,2,2.0,1,2.0,2,2.0,3,0.0,1,1.0
4458,1,5,3,4,2,0,3,4,2,3,4.0,1,1.0,4,2.0,1,1.0,0,0.0
4459,1,4,4,3,4,1,1,3,4,2,2.0,1,1.0,2,3.0,2,0.0,1,0.0
4460,0,2,3,4,4,2,2,2,2,2,1.0,2,1.0,2,2.0,1,1.0,1,0.0
4461,0,3,3,2,4,2,2,2,3,2,3.0,0,1.0,2,1.0,2,1.0,2,0.0
4462,1,3,4,5,4,3,2,3,2,2,2.0,2,1.0,2,2.0,1,3.0,0,2.0
4463,1,4,4,3,5,2,3,4,3,2,2.0,2,0.0,2,1.0,0,0.0,1,1.0
4464,0,4,3,5,4,2,3,2,3,2,4.0,0,0.0,3,1.0,1,1.0,1,0.0
4465,1,3,5,2,3,3,1,3,3,2,2.0,2,2.0,1,3.0,1,1.0,1,1.0
4466,1,3,3,3,4,3,3,3,2,2,2.0,3,2.0,1,2.0,0,2.0,1,0.0
4467,0,3,4,3,4,2,1,2,2,2,1.0,0,1.0,3,4.0,3,1.0,0,1.0
4468,0,3,4,4,2,1,2,2,3,1,2.0,1,3.0,4,0.0,2,0.0,0,1.0
4469,0,3,4,4,3,2,2,1,4,2,2.0,0,2.0,2,1.0,0,1.0,1,2.0
4470,0,4,3,3,4,4,2,2,2,2,0.0,2,2.0,2,2.0,1,1.0,0,0.0
4471,1,4,2,3,4,2,2,2,1,1,1.0,2,1.0,2,2.0,1,1.0,1,1.0
4472,0,3,2,4,4,3,1,1,2,2,1.0,2,1.0,2,2.0,1,0.0,0,1.0
4473,0,5,3,4,3,1,3,4,4,2,3.0,0,4.0,3,0.0,2,1.0,1,1.0
4474,0,3,4,4,4,2,1,3,2,1,2.0,2,1.0,1,3.0,0,1.0,1,1.0
4475,1,5,5,3,2,2,1,2,4,2,1.0,1,2.0,2,2.0,0,1.0,1,1.0
4476,1,3,5,3,3,3,0,1,4,0,2.0,2,1.0,2,3.0,3,0.0,1,2.0
4477,1,5,4,4,2,2,2,4,1,1,0.0,1,3.0,2,1.0,2,1.0,0,1.0
4478,1,4,4,4,2,1,3,3,2,0,3.0,1,2.0,3,1.0,0,2.0,1,0.0
4479,1,4,3,4,2,2,3,2,2,1,3.0,2,2.0,2,1.0,1,3.0,1,1.0
4480,1,4,4,2,4,4,2,1,2,1,2.0,2,1.0,2,3.0,1,0.0,0,1.0
4481,1,4,4,3,4,2,2,2,3,0,0.0,3,3.0,2,2.0,1,1.0,1,0.0
4482,1,3,4,3,3,2,3,3,4,2,1.0,1,2.0,1,2.0,2,0.0,2,1.0
4483,0,3,4,4,2,1,3,1,5,2,3.0,1,2.0,2,2.0,0,1.0,1,1.0
4484,1,3,4,3,2,3,2,4,2,3,2.0,3,2.0,1,2.0,1,3.0,2,1.0
4485,1,4,5,3,4,3,1,2,4,3,1.0,1,2.0,2,1.0,1,1.0,0,0.0
4486,1,4,3,5,3,2,3,4,1,0,2.0,3,2.0,2,2.0,0,3.0,0,1.0
4487,1,4,2,4,3,2,2,3,1,2,3.0,3,0.0,1,3.0,2,1.0,1,0.0
4488,1,5,3,4,5,2,2,2,3,2,1.0,2,2.0,1,3.0,1,1.0,1,0.0
4489,0,4,3,4,2,1,1,2,3,0,2.0,0,3.0,4,1.0,0,1.0,0,2.0
4490,0,3,5,4,4,2,2,3,2,3,1.0,1,2.0,2,1.0,1,1.0,0,0.0
4491,0,3,4,5,4,4,2,3,2,1,3.0,3,0.0,1,3.0,1,1.0,0,0.0
4492,0,3,4,2,5,2,2,2,4,3,3.0,2,1.0,3,2.0,3,0.0,2,0.0
4493,1,5,3,3,4,2,1,4,2,1,1.0,3,1.0,1,3.0,1,0.0,0,1.0
4494,0,2,4,3,5,2,1,1,4,1,0.0,1,2.0,2,3.0,1,1.0,1,0.0
4495,1,4,3,2,5,3,2,3,2,4,1.0,1,0.0,1,3.0,1,0.0,1,0.0
4496,1,4,3,2,5,2,2,1,3,2,1.0,3,1.0,2,2.0,2,1.0,1,0.0
4497,1,3,4,2,5,2,2,2,1,3,1.0,4,1.0,1,4.0,1,1.0,2,1.0
4498,0,4,3,3,5,3,2,4,1,3,1.0,2,1.0,1,3.0,0,0.0,1,0.0
4499,1,3,3,4,3,3,2,2,2,1,0.0,1,3.0,2,3.0,2,1.0,0,0.0
4500,1,4,3,3,4,2,3,2,4,2,2.0,2,3.0,2,2.0,2,0.0,1,0.0
4501,0,5,4,3,4,2,2,3,4,1,1.0,2,2.0,1,2.0,1,1.0,1,1.0
4502,1,2,4,4,5,3,2,2,3,3,1.0,0,2.0,1,4.0,2,1.0,0,0.0
4503,0,4,3,4,4,3,1,4,1,4,0.0,2,2.0,1,3.0,0,0.0,1,1.0
4504,1,4,3,4,4,4,0,1,3,0,2.0,2,2.0,1,3.0,3,1.0,0,1.0
4505,0,3,4,3,1,2,3,3,2,3,2.0,1,3.0,2,1.0,1,1.0,2,1.0
4506,0,2,3,3,4,2,1,2,3,2,2.0,0,2.0,3,1.0,3,0.0,1,1.0
4507,1,4,3,3,4,2,2,3,3,2,2.0,3,1.0,1,3.0,1,0.0,0,0.0
4508,0,4,4,5,3,4,2,3,3,2,1.0,2,2.0,2,1.0,1,0.0,0,1.0
4509,1,4,3,5,2,3,1,1,3,2,3.0,2,1.0,2,2.0,0,2.0,0,2.0
4510,1,3,5,4,3,2,1,2,2,3,1.0,0,2.0,3,2.0,1,1.0,0,1.0
4511,1,4,5,5,3,1,3,3,2,2,2.0,2,2.0,1,1.0,0,1.0,0,1.0
4512,1,2,5,4,4,2,2,1,4,2,1.0,2,1.0,2,3.0,1,0.0,0,0.0
4513,0,2,4,5,2,3,2,1,3,1,3.0,0,3.0,2,2.0,2,0.0,0,1.0
4514,0,5,3,4,1,1,2,3,1,2,1.0,2,3.0,2,2.0,0,2.0,0,2.0
4515,0,3,2,3,3,1,3,1,2,1,2.0,1,1.0,3,1.0,1,2.0,1,2.0
4516,1,4,3,5,3,0,4,4,1,2,2.0,2,1.0,2,1.0,0,2.0,1,0.0
4517,1,3,3,2,4,4,3,2,2,1,2.0,3,1.0,3,1.0,1,0.0,0,1.0
4518,0,5,4,4,3,2,2,4,2,2,1.0,1,2.0,3,2.0,0,1.0,0,0.0
4519,0,4,2,4,4,2,3,3,0,2,1.0,2,0.0,1,3.0,1,1.0,0,2.0
4520,0,4,5,2,3,4,2,3,4,3,1.0,1,3.0,2,3.0,2,0.0,1,1.0
4521,1,4,5,3,4,3,2,2,3,2,3.0,2,1.0,2,2.0,2,1.0,2,0.0
4522,0,4,3,4,4,3,1,3,3,3,1.0,1,1.0,2,3.0,1,1.0,0,0.0
4523,1,5,3,3,3,2,2,2,2,2,1.0,2,2.0,2,1.0,1,0.0,0,1.0
4524,1,4,3,3,4,1,3,3,2,1,3.0,1,1.0,3,2.0,1,1.0,0,1.0
4525,0,1,4,2,2,4,1,0,3,2,1.0,1,3.0,2,2.0,1,2.0,0,2.0
4526,1,4,5,2,5,2,1,2,4,1,2.0,3,1.0,1,3.0,1,0.0,1,0.0
4527,0,5,4,3,3,1,3,4,2,1,3.0,1,1.0,4,0.0,2,0.0,1,1.0
4528,1,3,3,3,4,1,2,2,2,0,1.0,0,2.0,3,1.0,2,0.0,2,1.0
4529,1,3,3,4,5,1,3,4,3,1,2.0,2,1.0,2,2.0,1,2.0,1,0.0
4530,0,4,2,3,5,1,3,2,2,1,2.0,2,2.0,3,1.0,2,1.0,1,0.0
4531,1,3,4,2,5,4,1,1,4,3,2.0,1,2.0,1,2.0,3,0.0,0,0.0
4532,1,3,3,5,2,2,3,2,2,1,3.0,1,2.0,3,0.0,0,2.0,0,0.0
4533,0,3,2,3,4,2,2,2,2,2,3.0,4,2.0,2,2.0,2,1.0,2,0.0
4534,0,3,3,5,2,2,3,3,2,0,2.0,2,4.0,2,2.0,1,1.0,0,0.0
4535,1,3,3,3,3,3,2,2,2,1,1.0,1,2.0,1,3.0,1,1.0,1,0.0
4536,0,2,4,3,4,4,1,0,3,3,2.0,0,2.0,2,3.0,2,1.0,0,1.0
4537,1,4,5,4,3,3,1,2,4,4,1.0,2,2.0,2,2.0,0,0.0,0,1.0
4538,1,4,5,4,4,1,2,3,4,2,1.0,2,1.0,3,3.0,1,1.0,1,0.0
4539,0,5,4,3,3,1,2,5,1,1,3.0,2,1.0,3,2.0,0,1.0,0,2.0
4540,0,5,5,3,3,4,1,3,4,1,3.0,3,2.0,1,3.0,1,0.0,0,1.0
4541,1,4,5,4,4,3,3,3,4,1,2.0,2,1.0,2,2.0,0,1.0,0,1.0
4542,1,3,4,2,4,4,1,3,2,2,1.0,2,2.0,1,2.0,1,0.0,0,1.0
4543,1,5,3,3,3,2,3,4,3,0,3.0,3,1.0,1,2.0,2,2.0,1,1.0
4544,1,2,4,4,3,3,2,1,2,1,1.0,1,1.0,2,2.0,2,2.0,1,1.0
4545,1,1,4,3,5,4,1,1,3,2,2.0,1,2.0,2,3.0,3,0.0,1,0.0
4546,1,3,4,5,3,3,1,3,3,3,1.0,1,3.0,1,2.0,0,3.0,0,2.0
4547,0,2,3,3,5,2,4,1,4,2,1.0,0,2.0,2,1.0,3,0.0,2,0.0
4548,1,3,4,3,3,1,3,4,1,0,2.0,3,2.0,2,2.0,2,2.0,2,1.0
4549,0,5,1,4,4,2,2,4,2,2,1.0,2,2.0,3,1.0,1,2.0,0,2.0
4550,0,4,3,3,4,2,1,3,1,4,2.0,0,1.0,1,3.0,1,2.0,0,1.0
4551,0,3,3,2,2,2,2,2,2,2,2.0,2,1.0,2,3.0,2,2.0,1,1.0
4552,1,3,4,3,4,2,2,2,4,2,2.0,2,2.0,2,1.0,1,2.0,1,1.0
4553,0,4,2,4,3,2,3,3,1,3,0.0,0,3.0,2,2.0,0,1.0,1,1.0
4554,0,4,2,5,2,2,2,3,2,1,1.0,1,2.0,2,2.0,1,2.0,0,2.0
4555,0,5,4,4,3,2,3,1,3,2,3.0,1,1.0,4,2.0,1,0.0,0,0.0
4556,1,4,5,5,4,3,2,3,4,3,2.0,1,2.0,1,2.0,1,1.0,0,1.0
4557,0,2,3,3,4,2,2,3,3,1,3.0,2,1.0,2,2.0,2,1.0,2,0.0
