,match_id,start_time,radiant_team_id,radiant_score,dire_team_id,dire_score,radiant_win,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
18,2900410744,1483797273,1836806.0,20,2581813.0,1,True,54.0,11.0,96.0,7.0,20.0,79.0,107.0,48.0,86.0,28.0,129585121.0,101586543.0,118134220.0,102644565.0,111114687.0,91654584.0,116782914.0,180012313.0,152545459.0,102099826.0,ESL One Genting 2017
19,2901935479,1483855755,1836806.0,4,1375614.0,21,False,6.0,49.0,9.0,86.0,111.0,112.0,46.0,84.0,54.0,28.0,129585121.0,101586543.0,118134220.0,102644565.0,111114687.0,139876032.0,149486894.0,82327674.0,117281554.0,87012746.0,ESL One Genting 2017
20,2902067614,1483860245,1836806.0,28,1375614.0,31,True,10.0,36.0,96.0,9.0,30.0,63.0,46.0,6.0,84.0,51.0,129585121.0,101586543.0,118134220.0,102644565.0,111114687.0,139876032.0,149486894.0,117281554.0,82327674.0,87012746.0,ESL One Genting 2017
21,2902215999,1483864990,1836806.0,29,1375614.0,30,False,20.0,11.0,61.0,7.0,50.0,86.0,94.0,6.0,51.0,84.0,129585121.0,101586543.0,118134220.0,102644565.0,111114687.0,139876032.0,149486894.0,117281554.0,87012746.0,82327674.0,ESL One Genting 2017
22,2902480830,1483873306,2512249.0,9,1375614.0,33,False,14.0,86.0,8.0,11.0,104.0,16.0,76.0,54.0,28.0,87.0,87382579.0,103735745.0,86725175.0,86700461.0,38628747.0,139876032.0,149486894.0,117281554.0,87012746.0,82327674.0,ESL One Genting 2017
23,2902639704,1483877812,2512249.0,28,1375614.0,26,True,90.0,86.0,89.0,70.0,104.0,28.0,106.0,10.0,30.0,55.0,87382579.0,103735745.0,86725175.0,86700461.0,38628747.0,139876032.0,149486894.0,117281554.0,82327674.0,87012746.0,ESL One Genting 2017
24,2902847580,1483883276,2512249.0,6,1375614.0,19,False,28.0,86.0,8.0,76.0,55.0,16.0,11.0,48.0,30.0,108.0,87382579.0,103735745.0,86725175.0,86700461.0,38628747.0,139876032.0,149486894.0,117281554.0,82327674.0,87012746.0,ESL One Genting 2017
25,2903034738,1483888304,1375614.0,7,2512249.0,17,False,91.0,49.0,30.0,48.0,108.0,62.0,79.0,93.0,52.0,16.0,139876032.0,149486894.0,82327674.0,117281554.0,87012746.0,87382579.0,103735745.0,86725175.0,86700461.0,38628747.0,ESL One Genting 2017
26,2903156692,1483891929,1375614.0,11,2512249.0,31,False,84.0,46.0,30.0,48.0,16.0,9.0,79.0,54.0,39.0,96.0,139876032.0,149486894.0,82327674.0,117281554.0,87012746.0,87382579.0,103735745.0,86725175.0,86700461.0,38628747.0,ESL One Genting 2017
27,2911922683,1484273589,2860081.0,24,20.0,1,True,51.0,29.0,11.0,48.0,50.0,84.0,34.0,108.0,8.0,87.0,173812218.0,157475523.0,139174891.0,110837826.0,89166519.0,104652351.0,88585077.0,140178149.0,98887913.0,88553213.0,Dota 2 Asia Championships 2017
28,2911933046,1484274286,4.0,7,3331948.0,24,False,79.0,37.0,48.0,51.0,39.0,75.0,16.0,11.0,8.0,84.0,117990312.0,89246836.0,108376607.0,253962772.0,135878232.0,136186119.0,92590479.0,90882159.0,148215639.0,89217927.0,Dota 2 Asia Championships 2017
29,2911941849,1484274883,5.0,35,1520578.0,16,True,86.0,106.0,55.0,62.0,63.0,76.0,16.0,111.0,41.0,87.0,140153524.0,205813150.0,129958758.0,207829314.0,90892734.0,111189717.0,138885864.0,89598554.0,186627166.0,131043881.0,Dota 2 Asia Championships 2017
30,2911996278,1484278397,726228.0,14,3547682.0,26,False,30.0,17.0,84.0,55.0,48.0,96.0,9.0,35.0,54.0,79.0,114239371.0,186977347.0,135384059.0,139937922.0,139280377.0,91698091.0,101695162.0,137272985.0,130416036.0,113800818.0,Dota 2 Asia Championships 2017
31,2911996447,1484278407,2833354.0,28,2414475.0,8,True,79.0,8.0,48.0,55.0,23.0,10.0,107.0,111.0,96.0,106.0,110228930.0,120374476.0,166458146.0,156662698.0,182331313.0,211284773.0,222189151.0,136187546.0,141065684.0,262367336.0,Dota 2 Asia Championships 2017
32,2912003522,1484278856,15.0,5,2640025.0,20,False,90.0,70.0,88.0,89.0,107.0,48.0,104.0,55.0,28.0,50.0,131237305.0,106863163.0,98878010.0,177416702.0,107081378.0,137193239.0,173880329.0,111291593.0,103940975.0,103039499.0,Dota 2 Asia Championships 2017
33,2912046467,1484281477,2833354.0,37,2414475.0,8,True,65.0,106.0,55.0,63.0,87.0,54.0,79.0,108.0,52.0,73.0,110228930.0,120374476.0,156662698.0,166458146.0,182331313.0,211284773.0,222189151.0,141065684.0,136187546.0,262367336.0,Dota 2 Asia Championships 2017
34,2912047092,1484281510,2640025.0,35,15.0,27,True,48.0,104.0,28.0,52.0,30.0,90.0,25.0,16.0,89.0,107.0,137193239.0,173880329.0,111291593.0,103940975.0,103039499.0,131237305.0,106863163.0,98878010.0,177416702.0,107081378.0,Dota 2 Asia Championships 2017
35,2912048548,1484281594,3547682.0,15,726228.0,32,False,16.0,8.0,30.0,106.0,50.0,87.0,65.0,11.0,96.0,48.0,91698091.0,130416036.0,113800818.0,137272985.0,101695162.0,114239371.0,135384059.0,186977347.0,139937922.0,139280377.0,Dota 2 Asia Championships 2017
36,2912107760,1484284872,2860081.0,30,3331948.0,31,False,28.0,79.0,106.0,10.0,29.0,87.0,88.0,11.0,8.0,84.0,173812218.0,89166519.0,139174891.0,110837826.0,157475523.0,136186119.0,92590479.0,90882159.0,148215639.0,89217927.0,Dota 2 Asia Championships 2017
37,2912152161,1484287134,1520578.0,39,4.0,16,True,43.0,16.0,86.0,41.0,50.0,87.0,57.0,65.0,54.0,106.0,111189717.0,138885864.0,89598554.0,186627166.0,131043881.0,117990312.0,89246836.0,253962772.0,108376607.0,135878232.0,Dota 2 Asia Championships 2017
38,2912153276,1484287188,5.0,45,,37,True,30.0,34.0,104.0,107.0,80.0,79.0,14.0,106.0,96.0,9.0,140153524.0,205813150.0,129958758.0,207829314.0,90892734.0,104652351.0,88553213.0,88585077.0,140178149.0,98887913.0,Dota 2 Asia Championships 2017
39,2912195755,1484289199,3331948.0,35,2860081.0,23,True,37.0,65.0,35.0,8.0,84.0,107.0,30.0,11.0,70.0,51.0,136186119.0,92590479.0,90882159.0,148215639.0,89217927.0,173812218.0,89166519.0,139174891.0,110837826.0,157475523.0,Dota 2 Asia Championships 2017
40,2912227197,1484290616,1520578.0,19,4.0,6,True,11.0,50.0,51.0,8.0,84.0,62.0,30.0,1.0,55.0,39.0,111189717.0,89598554.0,138885864.0,186627166.0,131043881.0,117990312.0,89246836.0,108376607.0,253962772.0,135878232.0,Dota 2 Asia Championships 2017
41,2912240952,1484291235,5.0,23,20.0,9,True,86.0,11.0,55.0,84.0,8.0,16.0,35.0,51.0,79.0,96.0,140153524.0,205813150.0,129958758.0,207829314.0,90892734.0,104652351.0,88585077.0,140178149.0,88553213.0,98887913.0,Dota 2 Asia Championships 2017
42,2912302758,1484293856,2833354.0,7,2640025.0,19,False,68.0,17.0,54.0,88.0,107.0,8.0,11.0,65.0,108.0,20.0,110228930.0,120374476.0,166458146.0,156662698.0,182331313.0,137193239.0,173880329.0,111291593.0,103940975.0,103039499.0,Dota 2 Asia Championships 2017
43,2912351690,1484295833,15.0,32,726228.0,19,True,87.0,55.0,103.0,17.0,54.0,30.0,11.0,108.0,107.0,109.0,131237305.0,98878010.0,107081378.0,106863163.0,177416702.0,114239371.0,186977347.0,139937922.0,135384059.0,139280377.0,Dota 2 Asia Championships 2017
44,2912361376,1484296221,2833354.0,8,2640025.0,21,False,87.0,35.0,63.0,104.0,84.0,48.0,76.0,16.0,86.0,66.0,110228930.0,120374476.0,166458146.0,156662698.0,182331313.0,137193239.0,173880329.0,111291593.0,103940975.0,103039499.0,Dota 2 Asia Championships 2017
45,2912364435,1484296341,2414475.0,8,3547682.0,40,False,82.0,14.0,96.0,5.0,4.0,28.0,87.0,54.0,18.0,112.0,211284773.0,222189151.0,141065684.0,136187546.0,262367336.0,91698091.0,113800818.0,137272985.0,130416036.0,101695162.0,Dota 2 Asia Championships 2017
46,2912433371,1484299045,3547682.0,34,2414475.0,16,True,108.0,70.0,87.0,76.0,16.0,84.0,8.0,2.0,30.0,36.0,91698091.0,130416036.0,113800818.0,137272985.0,101695162.0,222189151.0,211284773.0,141065684.0,136187546.0,262367336.0,Dota 2 Asia Championships 2017
47,2912445452,1484299516,5.0,32,4.0,14,True,64.0,34.0,55.0,107.0,63.0,90.0,67.0,84.0,65.0,9.0,140153524.0,205813150.0,129958758.0,207829314.0,90892734.0,89246836.0,108376607.0,117990312.0,253962772.0,135878232.0,Dota 2 Asia Championships 2017
48,2912457483,1484299972,726228.0,31,15.0,11,True,87.0,82.0,96.0,107.0,54.0,84.0,16.0,86.0,48.0,8.0,114239371.0,186977347.0,139937922.0,135384059.0,139280377.0,131237305.0,98878010.0,107081378.0,177416702.0,106863163.0,Dota 2 Asia Championships 2017
49,2912526011,1484302623,5.0,22,4.0,5,True,85.0,11.0,88.0,86.0,63.0,16.0,106.0,93.0,84.0,55.0,140153524.0,205813150.0,129958758.0,207829314.0,90892734.0,89246836.0,135878232.0,108376607.0,117990312.0,253962772.0,Dota 2 Asia Championships 2017
50,2912548426,1484303445,3331948.0,45,20.0,31,True,87.0,16.0,76.0,48.0,84.0,30.0,96.0,106.0,82.0,58.0,136186119.0,92590479.0,90882159.0,148215639.0,89217927.0,104652351.0,140178149.0,88585077.0,98887913.0,88553213.0,Dota 2 Asia Championships 2017
51,2912585848,1484304822,1520578.0,20,2860081.0,7,True,28.0,63.0,47.0,70.0,30.0,84.0,87.0,11.0,54.0,96.0,138885864.0,89598554.0,111189717.0,186627166.0,131043881.0,173812218.0,89166519.0,139174891.0,110837826.0,157475523.0,Dota 2 Asia Championships 2017
52,2912669765,1484307693,1520578.0,21,2860081.0,12,True,11.0,64.0,108.0,70.0,84.0,107.0,29.0,86.0,74.0,63.0,111189717.0,89598554.0,138885864.0,186627166.0,131043881.0,173812218.0,157475523.0,89166519.0,139174891.0,110837826.0,Dota 2 Asia Championships 2017
53,2912673536,1484307806,20.0,34,3331948.0,13,True,79.0,46.0,28.0,70.0,9.0,50.0,11.0,16.0,54.0,87.0,104652351.0,88585077.0,140178149.0,98887913.0,88553213.0,136186119.0,90882159.0,92590479.0,148215639.0,89217927.0,Dota 2 Asia Championships 2017
54,2913969022,1484355805,2833354.0,9,726228.0,20,False,63.0,51.0,46.0,8.0,30.0,86.0,76.0,28.0,107.0,54.0,110228930.0,156662698.0,120374476.0,166458146.0,182331313.0,114239371.0,186977347.0,139937922.0,135384059.0,139280377.0,Dota 2 Asia Championships 2017
55,2913972887,1484356061,3547682.0,13,15.0,24,False,108.0,65.0,30.0,39.0,18.0,37.0,74.0,28.0,54.0,63.0,91698091.0,101695162.0,113800818.0,137272985.0,130416036.0,131237305.0,106863163.0,98878010.0,177416702.0,107081378.0,Dota 2 Asia Championships 2017
56,2914013128,1484359269,2833354.0,4,726228.0,26,False,16.0,55.0,46.0,54.0,64.0,111.0,28.0,11.0,96.0,70.0,110228930.0,156662698.0,120374476.0,166458146.0,182331313.0,114239371.0,135384059.0,186977347.0,139937922.0,139280377.0,Dota 2 Asia Championships 2017
57,2914026555,1484360148,15.0,11,3547682.0,29,False,85.0,46.0,88.0,106.0,50.0,96.0,37.0,11.0,28.0,54.0,131237305.0,106863163.0,98878010.0,177416702.0,107081378.0,91698091.0,113800818.0,137272985.0,101695162.0,130416036.0,Dota 2 Asia Championships 2017
58,2914078882,1484363090,1520578.0,37,20.0,49,False,108.0,86.0,76.0,48.0,102.0,79.0,42.0,98.0,9.0,35.0,138885864.0,89598554.0,111189717.0,186627166.0,131043881.0,104652351.0,98887913.0,140178149.0,88553213.0,88585077.0,Dota 2 Asia Championships 2017
