,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name
0,18,46.0,3760408738,25,5229127.0,True,1520002853,103.0,16.0,39.0,86.0,109.0,57.0,65.0,89.0,43.0,87.0,93552791.0,130801103.0,250114507.0,91064780.0,89269794.0,11865327.0,92847434.0,112250781.0,5150808.0,113331514.0,EPICENTER XL
1,26,5229127.0,3760517861,35,46.0,True,1520006639,72.0,57.0,7.0,76.0,3.0,119.0,64.0,15.0,51.0,48.0,11865327.0,92847434.0,112250781.0,5150808.0,113331514.0,93552791.0,91064780.0,250114507.0,130801103.0,89269794.0,EPICENTER XL
2,32,5229127.0,3760649937,19,46.0,False,1520011785,48.0,38.0,16.0,47.0,87.0,119.0,86.0,43.0,104.0,54.0,11865327.0,92847434.0,112250781.0,5150808.0,113331514.0,93552791.0,91064780.0,250114507.0,130801103.0,89269794.0,EPICENTER XL
3,21,3705786.0,3760977296,28,3715574.0,True,1520028173,119.0,108.0,92.0,103.0,72.0,8.0,62.0,43.0,30.0,19.0,85008179.0,87063175.0,85937380.0,105045291.0,86822085.0,194521913.0,101779337.0,59463394.0,100507647.0,292276988.0,GESC: Indonesia
4,21,3715574.0,3761035234,30,3705786.0,True,1520032472,72.0,7.0,39.0,43.0,87.0,8.0,15.0,27.0,103.0,65.0,194521913.0,101779337.0,59463394.0,292276988.0,100507647.0,86822085.0,85937380.0,85008179.0,105045291.0,87063175.0,GESC: Indonesia
5,21,3715574.0,3761093569,10,3705786.0,False,1520037104,6.0,89.0,11.0,43.0,30.0,92.0,90.0,74.0,16.0,19.0,194521913.0,101779337.0,59463394.0,292276988.0,100507647.0,86822085.0,85008179.0,85937380.0,105045291.0,87063175.0,GESC: Indonesia
6,11,2527544.0,3761140807,29,5065748.0,True,1520041322,40.0,86.0,57.0,66.0,80.0,45.0,107.0,27.0,108.0,72.0,28070572.0,157989498.0,97975407.0,229210222.0,196417470.0,131706718.0,88153289.0,234237646.0,447842799.0,65674469.0,GESC: Indonesia
7,12,5065748.0,3761191870,33,2527544.0,True,1520045072,100.0,39.0,86.0,108.0,72.0,92.0,62.0,43.0,87.0,76.0,88153289.0,131706718.0,234237646.0,447842799.0,65674469.0,28070572.0,157989498.0,97975407.0,229210222.0,196417470.0,GESC: Indonesia
8,19,5065748.0,3761248482,41,2527544.0,True,1520048679,109.0,100.0,87.0,108.0,54.0,52.0,90.0,16.0,62.0,47.0,131706718.0,88153289.0,234237646.0,447842799.0,65674469.0,28070572.0,157989498.0,97975407.0,229210222.0,196417470.0,GESC: Indonesia
9,20,3705786.0,3762871002,33,5065748.0,True,1520114400,11.0,16.0,88.0,3.0,19.0,72.0,76.0,103.0,45.0,87.0,28070572.0,157989498.0,97975407.0,99796146.0,196417470.0,194521913.0,59463394.0,101779337.0,292276988.0,100507647.0,GESC: Thailand
10,33,3705786.0,3762922157,26,5065748.0,True,1520117505,72.0,7.0,49.0,3.0,12.0,54.0,90.0,19.0,76.0,87.0,28070572.0,157989498.0,97975407.0,99796146.0,196417470.0,194521913.0,101779337.0,292276988.0,59463394.0,100507647.0,GESC: Thailand
11,28,3715574.0,3763027660,19,2527544.0,False,1520125625,16.0,45.0,3.0,57.0,10.0,86.0,43.0,103.0,72.0,78.0,88153289.0,131706718.0,234237646.0,242697694.0,65674469.0,85008179.0,85937380.0,105045291.0,86822085.0,87063175.0,GESC: Thailand
12,33,3715574.0,3763089954,8,5258710.0,False,1520130359,73.0,3.0,51.0,39.0,108.0,30.0,92.0,76.0,103.0,16.0,131706718.0,234237646.0,88153289.0,65674469.0,242697694.0,85008179.0,86822085.0,85937380.0,105045291.0,87063175.0,GESC: Thailand
13,19,3331948.0,3763492629,34,2163.0,True,1520150508,11.0,13.0,66.0,107.0,72.0,30.0,7.0,15.0,99.0,57.0,105248644.0,34505203.0,82262664.0,101356886.0,72312627.0,98878010.0,119576842.0,90882159.0,148215639.0,93616251.0,PGL BUCHAREST MAJOR 2018
14,26,3.0,3763575506,47,1838315.0,True,1520154293,68.0,81.0,7.0,108.0,43.0,87.0,72.0,53.0,103.0,45.0,87278757.0,97590558.0,89117038.0,86799300.0,116585378.0,49317728.0,12231202.0,172424257.0,50828662.0,84429681.0,PGL BUCHAREST MAJOR 2018
15,18,67.0,3763711443,27,39.0,True,1520158763,10.0,102.0,15.0,62.0,5.0,87.0,19.0,12.0,40.0,66.0,86745912.0,111620041.0,87177591.0,87382579.0,25907144.0,84853828.0,117956848.0,94004717.0,86700461.0,116525052.0,PGL BUCHAREST MAJOR 2018
16,22,5026801.0,3763798613,21,1883502.0,False,1520162081,111.0,8.0,49.0,19.0,66.0,17.0,91.0,72.0,29.0,5.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,PGL BUCHAREST MAJOR 2018
17,15,543897.0,3763905209,31,2108395.0,True,1520165979,30.0,88.0,13.0,72.0,29.0,16.0,97.0,54.0,87.0,43.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,100471531.0,84772440.0,89871557.0,91443418.0,113457795.0,PGL BUCHAREST MAJOR 2018
18,18,5027210.0,3764049023,6,726228.0,False,1520170674,76.0,119.0,84.0,72.0,29.0,94.0,108.0,87.0,43.0,60.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,137272985.0,139937922.0,114239371.0,108382060.0,182331313.0,PGL BUCHAREST MAJOR 2018
