,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name,radiant_name,dire_name,radiant_current_elo32,radiant_sevenDayAgo_elo32,radiant_sevenDayAvg_elo32,radiant_thirtyDayAgo_elo32,radiant_thirtyDayAvg_elo32,radiant_current_elo64,radiant_sevenDayAgo_elo64,radiant_sevenDayAvg_elo64,radiant_thirtyDayAgo_elo64,radiant_thirtyDayAvg_elo64,radiant_mu_glicko,radiant_rating_glicko,radiant_ratingSevenDaysAgo_glicko,radiant_sigma_glicko,radiant_mu_glicko2,radiant_phi_glicko2,radiant_rating_glicko2,radiant_ratingSevenDaysAgo_glicko2,dire_current_elo32,dire_sevenDayAgo_elo32,dire_sevenDayAvg_elo32,dire_thirtyDayAgo_elo32,dire_thirtyDayAvg_elo32,dire_current_elo64,dire_sevenDayAgo_elo64,dire_sevenDayAvg_elo64,dire_thirtyDayAgo_elo64,dire_thirtyDayAvg_elo64,dire_mu_glicko,dire_rating_glicko,dire_ratingSevenDaysAgo_glicko,dire_sigma_glicko,dire_mu_glicko2,dire_phi_glicko2,dire_rating_glicko2,dire_ratingSevenDaysAgo_glicko2
0,28,5051649,3849566762,35,3931002,False,1524616403,68.0,11.0,65.0,107.0,12.0,100.0,52.0,55.0,109.0,111.0,86974263.0,126238768.0,86975889.0,236858633.0,87440120.0,112377459.0,115141430.0,110539311.0,101450083.0,145550466.0,CHINA DOTA2 SUPER MAJOR,is GG,Immortals,943.5944832892357,985.0931586555334,972.2912948711852,982.5371151441327,980.8249681792547,917.6555142584392,992.0792904121271,967.4344497477233,990.7211436471666,985.2068557448926,1649.9266998626235,1352.0129105277756,1330.6251936924505,119.16551573393915,1692.7975877856948,67.63348378663203,1523.7138783191147,1550.6217458468366,1046.880950324946,1003.210046101876,1012.6208691604621,1003.7604656924784,1005.8463379649428,1125.0793704811479,1005.7908432657936,1033.331088476631,1006.7837865066211,1013.2726751752796,1897.145645048525,1669.6630386170327,1597.7642273202252,90.99304257259689,1799.9578714585023,47.38751366994388,1681.4890872836427,1670.1189020259053
0,22,350190,3849810027,21,2581813,False,1524636052,51.0,54.0,17.0,87.0,16.0,89.0,49.0,110.0,80.0,102.0,91654584.0,180012313.0,94281932.0,103045129.0,108831569.0,6922000.0,154715080.0,102099826.0,43276219.0,87276347.0,CHINA DOTA2 SUPER MAJOR,Execration.,Fnatic,984.5602135658761,990.7627334812761,974.5528923842953,1028.1344565891359,1012.8055144158202,1009.9624753411886,992.1776036305553,984.9700454168083,1078.7444912166939,1050.3423044341812,1690.374697396202,1449.3854880310669,1367.63611941033,96.39568374605403,1723.7080056535726,45.442207174590344,1610.1024877170967,1613.316645442499,1176.089033039707,1106.6008081182013,1165.4679006658876,1187.4035996778966,1165.4742022865157,1221.3428888776432,1138.8913753451209,1234.2731610726644,1287.3293660570653,1244.931965007991,2040.179742893547,1881.9585038504204,1860.312924353952,63.28849561725062,1929.9582961242722,35.94372990835772,1840.098971353378,1836.9745153540075
0,22,3262512,3849810347,18,2108395,False,1524636179,26.0,100.0,49.0,72.0,29.0,88.0,23.0,68.0,54.0,13.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,169141480.0,181716137.0,111473138.0,250733860.0,104888934.0,CHINA DOTA2 SUPER MAJOR,TNC Predator,The Prime NND,1272.2183514634582,1188.1011022224397,1222.9815117263613,1086.6393960328849,1178.6893277193876,1437.597447776354,1329.997474634346,1354.8364875612847,1157.2997152715318,1308.0110233922514,2083.6657754650205,1915.6218673009787,1859.336588504354,67.21756326561673,1932.0857262233621,37.12217503640103,1839.2802886323595,1824.9716381525404,851.076246310864,1041.264542035798,951.1412555815509,1009.3844658759117,993.8531424757764,757.7389181752231,1079.2477142853015,923.721360484591,1004.9279698859606,983.7084362739622,1456.2089115055742,1205.5675543122904,1290.6311444299388,100.25654287731352,1664.3177323438504,47.51239489663368,1545.5367451022662,1596.196546682319
0,50,2108395,3849869490,36,3262512,False,1524640166,51.0,15.0,30.0,54.0,16.0,3.0,100.0,72.0,19.0,88.0,169141480.0,181716137.0,111473138.0,250733860.0,104888934.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,CHINA DOTA2 SUPER MAJOR,The Prime NND,TNC Predator,851.076246310864,1041.264542035798,951.1412555815509,1009.3844658759117,993.8531424757764,757.7389181752231,1079.2477142853015,923.721360484591,1004.9279698859606,983.7084362739622,1456.2089115055742,1205.5675543122904,1290.6311444299388,100.25654287731352,1664.3177323438504,47.51239489663368,1545.5367451022662,1596.196546682319,1272.2183514634582,1188.1011022224397,1222.9815117263613,1086.6393960328849,1178.6893277193876,1437.597447776354,1329.997474634346,1354.8364875612847,1157.2997152715318,1308.0110233922514,2083.6657754650205,1915.6218673009787,1859.336588504354,67.21756326561673,1932.0857262233621,37.12217503640103,1839.2802886323595,1824.9716381525404
0,25,350190,3849876560,16,2581813,False,1524640433,16.0,20.0,102.0,11.0,87.0,89.0,52.0,27.0,54.0,57.0,91654584.0,180012313.0,108831569.0,94281932.0,103045129.0,6922000.0,154715080.0,102099826.0,43276219.0,87276347.0,CHINA DOTA2 SUPER MAJOR,Execration.,Fnatic,984.5602135658761,990.7627334812761,974.5528923842953,1028.1344565891359,1012.8055144158202,1009.9624753411886,992.1776036305553,984.9700454168083,1078.7444912166939,1050.3423044341812,1690.374697396202,1449.3854880310669,1367.63611941033,96.39568374605403,1723.7080056535726,45.442207174590344,1610.1024877170967,1613.316645442499,1176.089033039707,1106.6008081182013,1165.4679006658876,1187.4035996778966,1165.4742022865157,1221.3428888776432,1138.8913753451209,1234.2731610726644,1287.3293660570653,1244.931965007991,2040.179742893547,1881.9585038504204,1860.312924353952,63.28849561725062,1929.9582961242722,35.94372990835772,1840.098971353378,1836.9745153540075
0,23,2581813,3849975652,37,3659536,True,1524646393,89.0,90.0,57.0,15.0,13.0,86.0,52.0,16.0,1.0,53.0,76600360.0,92253768.0,27178898.0,142139318.0,126417273.0,91654584.0,103045129.0,108831569.0,180012313.0,94281932.0,CHINA DOTA2 SUPER MAJOR,Clutch Gamers,Execration.,985.2235524843486,1000.5237679815663,997.533667622248,957.6449601943805,970.199166814439,994.114517576592,1025.2259932845675,1015.8892689779608,930.80956087861,956.4580766172155,1830.7715014847495,1573.8967551689452,1658.0344328088147,102.74989852632166,1746.3098025813865,50.97036783479401,1618.8838829944016,1626.2192786002533,984.5602135658761,990.7627334812761,974.5528923842953,1028.1344565891359,1012.8055144158202,1009.9624753411886,992.1776036305553,984.9700454168083,1078.7444912166939,1050.3423044341812,1690.374697396202,1449.3854880310669,1367.63611941033,96.39568374605403,1723.7080056535726,45.442207174590344,1610.1024877170967,1613.316645442499
0,38,2108395,3849983470,21,3586078,False,1524646602,65.0,109.0,107.0,119.0,39.0,52.0,89.0,13.0,12.0,16.0,138857296.0,110759067.0,101259972.0,145335241.0,113435203.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,CHINA DOTA2 SUPER MAJOR,Geek Fam,TNC Predator,851.076246310864,1041.264542035798,951.1412555815509,1009.3844658759117,993.8531424757764,757.7389181752231,1079.2477142853015,923.721360484591,1004.9279698859606,983.7084362739622,1456.2089115055742,1205.5675543122904,1290.6311444299388,100.25654287731352,1664.3177323438504,47.51239489663368,1545.5367451022662,1596.196546682319,1272.2183514634582,1188.1011022224397,1222.9815117263613,1086.6393960328849,1178.6893277193876,1437.597447776354,1329.997474634346,1354.8364875612847,1157.2997152715318,1308.0110233922514,2083.6657754650205,1915.6218673009787,1859.336588504354,67.21756326561673,1932.0857262233621,37.12217503640103,1839.2802886323595,1824.9716381525404
0,24,2108395,3850048260,16,3586078,False,1524650278,52.0,57.0,107.0,119.0,11.0,50.0,120.0,49.0,109.0,16.0,138857296.0,110759067.0,101259972.0,145335241.0,113435203.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,CHINA DOTA2 SUPER MAJOR,Geek Fam,TNC Predator,851.076246310864,1041.264542035798,951.1412555815509,1009.3844658759117,993.8531424757764,757.7389181752231,1079.2477142853015,923.721360484591,1004.9279698859606,983.7084362739622,1456.2089115055742,1205.5675543122904,1290.6311444299388,100.25654287731352,1664.3177323438504,47.51239489663368,1545.5367451022662,1596.196546682319,1272.2183514634582,1188.1011022224397,1222.9815117263613,1086.6393960328849,1178.6893277193876,1437.597447776354,1329.997474634346,1354.8364875612847,1157.2997152715318,1308.0110233922514,2083.6657754650205,1915.6218673009787,1859.336588504354,67.21756326561673,1932.0857262233621,37.12217503640103,1839.2802886323595,1824.9716381525404
0,29,2581813,3850062409,9,3659536,False,1524651027,20.0,16.0,80.0,35.0,55.0,89.0,68.0,41.0,76.0,61.0,76600360.0,92253768.0,126417273.0,142139318.0,27178898.0,91654584.0,103045129.0,108831569.0,180012313.0,94281932.0,CHINA DOTA2 SUPER MAJOR,Clutch Gamers,Execration.,985.2235524843486,1000.5237679815663,997.533667622248,957.6449601943805,970.199166814439,994.114517576592,1025.2259932845675,1015.8892689779608,930.80956087861,956.4580766172155,1830.7715014847495,1573.8967551689452,1658.0344328088147,102.74989852632166,1746.3098025813865,50.97036783479401,1618.8838829944016,1626.2192786002533,984.5602135658761,990.7627334812761,974.5528923842953,1028.1344565891359,1012.8055144158202,1009.9624753411886,992.1776036305553,984.9700454168083,1078.7444912166939,1050.3423044341812,1690.374697396202,1449.3854880310669,1367.63611941033,96.39568374605403,1723.7080056535726,45.442207174590344,1610.1024877170967,1613.316645442499
0,22,5228654,3850804674,7,5051649,False,1524682845,7.0,21.0,108.0,114.0,3.0,91.0,72.0,102.0,54.0,87.0,112377459.0,115141430.0,110539311.0,101450083.0,145550466.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,CHINA DOTA2 SUPER MAJOR,Immortals,VGJ Storm,1051.7975067676205,1003.1880343571773,1018.6943017436804,1003.7346796420157,1007.3959199351086,1125.9806774150968,1005.7511346262567,1048.354817745294,1006.7372691134328,1017.1177361723271,1897.145645048525,1669.6630386170327,1597.7642273202252,90.99304257259689,1799.9578714585023,47.38751366994388,1681.4890872836427,1670.1189020259053,1243.3282263991855,1166.9104774928628,1191.9097839322212,1195.5302523413263,1184.1611431244758,1385.7209230112433,1294.5870638621543,1314.9098617890174,1345.0992639807207,1318.8916584388076,2171.5496198935925,1946.6647108880045,1851.3699537537232,89.95396360223523,2048.9048358322143,63.507797001916735,1890.1353433274226,1856.8007076451142
