,radiant_mu_glicko,radiant_rating_glicko,radiant_ratingSevenDaysAgo_glicko,radiant_sigma_glicko,radiant_mu_glicko2,radiant_phi_glicko2,radiant_rating_glicko2,radiant_ratingSevenDaysAgo_glicko2,dire_mu_glicko,dire_rating_glicko,dire_ratingSevenDaysAgo_glicko,dire_sigma_glicko,dire_mu_glicko2,dire_phi_glicko2,dire_rating_glicko2,dire_ratingSevenDaysAgo_glicko2,match_id
3596,2030.4223735899138,1851.3153349672818,1818.4869586016553,71.64281544905276,1913.7528405809796,40.950809232873695,1811.3758174987954,1804.370706743875,2291.8822186271136,2087.0047083111454,1986.8986223887246,81.95100412638739,2098.181194407117,43.925168289802734,1988.3682736826102,1965.5801444783265,3716172156
3597,2291.8822186271136,2087.0047083111454,1986.8986223887246,81.95100412638739,2098.181194407117,43.925168289802734,1988.3682736826102,1965.5801444783265,2030.4223735899138,1851.3153349672818,1818.4869586016553,71.64281544905276,1913.7528405809796,40.950809232873695,1811.3758174987954,1804.370706743875,3716269301
3598,2291.8822186271136,2087.0047083111454,1986.8986223887246,81.95100412638739,2098.181194407117,43.925168289802734,1988.3682736826102,1965.5801444783265,2137.5378057571643,1930.1751044624564,1751.3200686806424,82.9450805178832,1955.3673065480716,38.58395533730187,1858.9074182048168,1842.7475431518396,3716503818
3599,2137.5378057571643,1930.1751044624564,1751.3200686806424,82.9450805178832,1955.3673065480716,38.58395533730187,1858.9074182048168,1842.7475431518396,2291.8822186271136,2087.0047083111454,1986.8986223887246,81.95100412638739,2098.181194407117,43.925168289802734,1988.3682736826102,1965.5801444783265,3716642134
3600,2291.8822186271136,2087.0047083111454,1986.8986223887246,81.95100412638739,2098.181194407117,43.925168289802734,1988.3682736826102,1965.5801444783265,2137.5378057571643,1930.1751044624564,1751.3200686806424,82.9450805178832,1955.3673065480716,38.58395533730187,1858.9074182048168,1842.7475431518396,3716722821
3601,2137.5378057571643,1930.1751044624564,1751.3200686806424,82.9450805178832,1955.3673065480716,38.58395533730187,1858.9074182048168,1842.7475431518396,2291.8822186271136,2087.0047083111454,1986.8986223887246,81.95100412638739,2098.181194407117,43.925168289802734,1988.3682736826102,1965.5801444783265,3716818051
3602,1846.5077736462017,1628.0877441329314,1583.4285862198278,87.36801180530811,1913.9923789327177,41.80265178057754,1809.4857494812738,1833.9828790089036,1935.9890799965858,1647.7830215519134,1440.1831054586762,115.28242337786891,1803.627752484012,47.330368840304615,1685.3018303832505,1661.4825120923228,3717897640
3603,2127.6114195564046,1961.9123063931625,1930.1751044624564,66.27964526529684,1961.171203673732,37.2349497552947,1868.083829285495,1858.9074182048168,2157.8713460466934,1989.7589549208287,1802.8351283195898,67.24495645034582,1974.6489115698766,38.24808868545127,1879.0286898562485,1832.2616837805565,3717902640
3604,1790.9454662305695,1535.4734938990155,1440.2071212597261,102.18878893262166,1757.2524882897333,52.6308607551089,1625.675336401961,1623.1212123669707,1846.5077736462017,1628.0877441329314,1583.4285862198278,87.36801180530811,1913.9923789327177,41.80265178057754,1809.4857494812738,1833.9828790089036,3717953775
3605,1666.0831655571133,1356.1388965135775,1445.9941895841407,123.97770761741425,1671.8429410181311,58.605518843775236,1525.329143908693,1552.236265521906,2157.8713460466934,1989.7589549208287,1802.8351283195898,67.24495645034582,1974.6489115698766,38.24808868545127,1879.0286898562485,1832.2616837805565,3717972200
3606,1935.9890799965858,1647.7830215519134,1440.1831054586762,115.28242337786891,1803.627752484012,47.330368840304615,1685.3018303832505,1661.4825120923228,1544.2255052825321,1197.8739291374466,1130.8271552421597,138.54063045803426,1730.8789560901494,54.93310520330116,1593.5461930818965,1628.9046341913893,3718006971
