,match_id,start_time,radiant_team_id,radiant_score,dire_team_id,dire_score,radiant_win,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name,radiant_name,dire_name,radiant_current_elo32,radiant_sevenDayAgo_elo32,radiant_sevenDayAvg_elo32,radiant_thirtyDayAgo_elo32,radiant_thirtyDayAvg_elo32,radiant_current_elo64,radiant_sevenDayAgo_elo64,radiant_sevenDayAvg_elo64,radiant_thirtyDayAgo_elo64,radiant_thirtyDayAvg_elo64,radiant_mu_glicko,radiant_rating_glicko,radiant_ratingSevenDaysAgo_glicko,radiant_sigma_glicko,radiant_mu_glicko2,radiant_phi_glicko2,radiant_rating_glicko2,radiant_ratingSevenDaysAgo_glicko2,dire_current_elo32,dire_sevenDayAgo_elo32,dire_sevenDayAvg_elo32,dire_thirtyDayAgo_elo32,dire_thirtyDayAvg_elo32,dire_current_elo64,dire_sevenDayAgo_elo64,dire_sevenDayAvg_elo64,dire_thirtyDayAgo_elo64,dire_thirtyDayAvg_elo64,dire_mu_glicko,dire_rating_glicko,dire_ratingSevenDaysAgo_glicko,dire_sigma_glicko,dire_mu_glicko2,dire_phi_glicko2,dire_rating_glicko2,dire_ratingSevenDaysAgo_glicko2
0,3780347464,1521023556,2108395,25,543897.0,10,True,86.0,88.0,72.0,77.0,16.0,60.0,103.0,54.0,26.0,39.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,84772440.0,100471531.0,89871557.0,91443418.0,113457795.0,SL i-League Invitational Season 4,TNC Predator,Mineski.,1077.397235592561,1066.7457302060886,1074.9017538202463,1072.2965379607408,1052.5767484164965,1146.2915870012573,1102.6220988066789,1133.8153598755082,1089.900374470544,1061.1936995910078,1992.986410623154,1809.6741588845152,1768.538348973923,73.32490069545543,1861.0508467149743,39.695160478413605,1761.8129455189403,1757.1118127053253,1122.6901217745153,1142.3822913986933,1127.401079445499,1184.688603456421,1176.066101773133,1145.689660986541,1180.5522863638976,1152.7186058850461,1284.2212299322537,1252.8018793915887,2032.3821249631055,1903.2137506524032,1910.5726989550333,51.66734972428093,1913.9630013644214,41.79452819319575,1809.476680881432,1818.2366341736638
0,3787689572,1521372947,39,16,5027210.0,8,True,54.0,45.0,47.0,86.0,119.0,78.0,87.0,89.0,109.0,57.0,86745912.0,111620041.0,87177591.0,87382579.0,25907144.0,137272985.0,114239371.0,182331313.0,108382060.0,139937922.0,GESC: Indonesia,Evil Geniuses,VGJ Thunder,1234.7912168251469,1224.3495156009465,1226.9646153605859,1201.6806637107684,1217.4988259665436,1339.3439711260596,1326.9428007122103,1329.6906689696102,1274.7693746361604,1317.4378833966234,2166.755200538698,2025.978598878614,1987.5589717296036,56.310640664033514,2022.6289068687638,40.58525949362408,1921.1657581347035,1899.3710899233536,1248.6448469244954,1298.9633940382819,1252.9977812633792,1290.4105720637738,1270.3221690062378,1357.9257486192987,1460.1786420772346,1370.7027509161783,1450.5436025734762,1413.149875454411,2115.7851197983746,1925.3366637434565,1958.9540066848679,76.17938242196728,1974.5786830830093,39.93658976456119,1874.7372086716064,1884.7542458015196
0,3778740149,1520939289,5051765,35,5136509.0,9,True,3.0,16.0,54.0,43.0,57.0,90.0,30.0,99.0,95.0,49.0,86715129.0,7396553.0,122445696.0,110583422.0,86743641.0,54580962.0,41288955.0,101495620.0,56939869.0,152962063.0,World Electronic Sports Games International,Team Leviathan,Team Sweden,919.3284190116987,915.3477503081562,917.3517791348013,900.8326140327835,910.3878556855857,873.5191168186686,867.2780281092587,870.4200433370463,844.5204816088027,859.5016607111778,2154.376462053067,1736.5499554491703,1015.0255784186184,167.1306026415587,1790.320450599831,56.239348224752,1649.722080037951,1583.9274908656423,919.3284190116987,915.3477503081562,917.3517791348013,900.8326140327835,910.3878556855857,873.5191168186686,867.2780281092587,870.4200433370463,844.5204816088027,859.5016607111778,2154.376462053067,1736.5499554491703,1015.0255784186184,167.1306026415587,1790.320450599831,56.239348224752,1649.722080037951,1583.9274908656423
0,3781860981,1521106820,3715574,26,4.0,28,True,19.0,119.0,94.0,103.0,43.0,11.0,41.0,13.0,16.0,110.0,87063175.0,85008179.0,86822085.0,105045291.0,85937380.0,255219872.0,108376607.0,118134220.0,135384059.0,111114687.0,World Electronic Sports Games International,SG e-sports team,EHOME,1162.8982510352066,1151.544484358231,1150.2668664467578,1081.2072781272075,1123.3860925292322,1240.9112868526022,1224.849014926717,1222.855455430465,1133.1988003576894,1182.3477052589708,1917.7053288528223,1726.2653938184392,1647.6023383097606,76.57597401375327,1749.2236591124754,42.701367122802196,1642.47024130547,1614.975331350074,1045.531309876102,1036.2027361405067,1038.1129459636306,1042.410340197502,1039.0380373985206,1067.35693335972,1051.766007403715,1055.0623630196385,1060.6422115758687,1055.9659789009504,1785.818600613311,1482.8637539890813,1397.949621696173,121.18193864969192,1793.2654331691542,48.844144907418574,1671.1550709006078,1682.6336622231981
0,3787477054,1521366006,5065748,21,5027210.0,48,False,49.0,100.0,57.0,87.0,95.0,43.0,30.0,19.0,48.0,107.0,28070572.0,157989498.0,97975407.0,229210222.0,185202677.0,137272985.0,114239371.0,139937922.0,108382060.0,182331313.0,GESC: Indonesia,Infamous,VGJ Thunder,1050.2639359909651,984.7155244622489,998.4908620775059,1027.2192143390973,1000.8031609179195,1124.0941204155247,1006.6213937948478,1033.6446181293018,1057.7142169511194,1024.3005501960722,1727.6055130744696,1593.3248903914907,1533.190964496911,53.71224907319156,1670.20003919382,43.82794155835682,1560.630185297928,1522.8413699086718,1248.6448469244954,1298.9633940382819,1252.9977812633792,1290.4105720637738,1270.3221690062378,1357.9257486192987,1460.1786420772346,1370.7027509161783,1450.5436025734762,1413.149875454411,2115.7851197983746,1925.3366637434565,1958.9540066848679,76.17938242196728,1974.5786830830093,39.93658976456119,1874.7372086716064,1884.7542458015196
0,3784907866,1521256261,4288603,23,5198700.0,33,False,47.0,39.0,109.0,100.0,30.0,76.0,19.0,15.0,51.0,87.0,136477860.0,92590479.0,101908305.0,110228930.0,116852311.0,118233883.0,101525357.0,126417273.0,275501116.0,121052479.0,World Electronic Sports Games International,Rock.Young,Fire Dragoon ,931.1108641214373,927.7115898807893,929.4229213367,915.3164541598836,923.4761100449948,872.5102596662962,866.2193897818603,869.3864668565902,843.2803208807065,858.3809952720793,1371.1365765752475,866.4878641499884,907.8112880872653,201.85948497010367,1523.474634695667,64.38016080731471,1362.5242326773803,1364.6523931935415,931.1108641214373,927.7115898807893,929.4229213367,915.3164541598836,923.4761100449948,872.5102596662962,866.2193897818603,869.3864668565902,843.2803208807065,858.3809952720793,1371.1365765752475,866.4878641499884,907.8112880872653,201.85948497010367,1523.474634695667,64.38016080731471,1362.5242326773803,1364.6523931935415
0,3780150423,1521013662,2626685,45,3325406.0,20,True,16.0,30.0,41.0,72.0,78.0,51.0,13.0,3.0,92.0,58.0,142974425.0,158847773.0,135878232.0,254710104.0,397462905.0,88719902.0,141690233.0,92266340.0,86700461.0,99084280.0,World Electronic Sports Games International,KEEN GAMING,Romania,1033.6728948615514,1035.3344544478507,1034.4979584829468,1069.2026689517588,1051.8465322496988,1068.382028585473,1071.756280059662,1070.0575460714233,1144.067114822643,1107.1228614729114,1909.57840901243,1667.159596908041,1468.5684103371032,96.96752484175555,1800.7676936082064,47.31699505794425,1682.4752059633458,1669.2652323135221,919.881595567047,915.9282228774716,917.9185097921627,901.5126189651301,911.0023389608845,874.3864143033406,868.1881216307952,871.3085916113065,845.5866268777709,860.4650778948727,2154.376462053067,1736.5499554491703,1015.0255784186184,167.1306026415587,1790.320450599831,56.239348224752,1649.722080037951,1583.9274908656423
0,3778675303,1520936523,4288603,35,5031582.0,17,True,94.0,29.0,72.0,60.0,87.0,64.0,46.0,13.0,100.0,19.0,101908305.0,92590479.0,136477860.0,110228930.0,116852311.0,101208242.0,100829013.0,104758571.0,58429537.0,81481903.0,World Electronic Sports Games International,Rock.Young,ALPHA Red,919.3284190116987,915.3477503081562,917.3517791348013,900.8326140327835,910.3878556855857,873.5191168186686,867.2780281092587,870.4200433370463,844.5204816088027,859.5016607111778,2154.376462053067,1736.5499554491703,1015.0255784186184,167.1306026415587,1790.320450599831,56.239348224752,1649.722080037951,1583.9274908656423,919.3284190116987,915.3477503081562,917.3517791348013,900.8326140327835,910.3878556855857,873.5191168186686,867.2780281092587,870.4200433370463,844.5204816088027,859.5016607111778,2154.376462053067,1736.5499554491703,1015.0255784186184,167.1306026415587,1790.320450599831,56.239348224752,1649.722080037951,1583.9274908656423
0,3793374615,1521670875,5055770,32,5065748.0,27,True,103.0,16.0,87.0,54.0,17.0,19.0,89.0,64.0,33.0,8.0,349310876.0,298882097.0,94923783.0,164685175.0,153836240.0,28070572.0,155332459.0,229210222.0,119631156.0,196417470.0,SL i-League Invitational Season 4,Gorillaz-Pride,Infamous,901.642821636685,966.2137017082907,941.3043909806044,976.028534367871,968.3467419533705,864.2879659650081,972.5907696482781,929.2991507704621,986.2631524843144,972.2958544961225,1431.8398516508953,1062.606579658478,1061.7665857238335,147.69330879696687,1689.087092993499,59.566140318760404,1540.171742196598,1558.260420663828,1047.1247114700834,985.1304633762497,1033.781686568747,1026.4802742812637,1004.4822763761154,1106.1980364257745,1006.4416379410327,1098.5486343039636,1056.147406598683,1034.524851755698,1683.419417102411,1556.7185092562427,1593.3248903914907,50.68036313846732,1633.9673701984998,42.71419930382266,1527.1818719389432,1560.630185297928
0,3793269879,1521663569,5065748,25,5055770.0,40,False,11.0,107.0,16.0,66.0,80.0,103.0,65.0,30.0,72.0,106.0,28070572.0,155332459.0,119631156.0,229210222.0,196417470.0,349310876.0,298882097.0,94923783.0,164685175.0,153836240.0,SL i-League Invitational Season 4,Infamous,Gorillaz-Pride,1047.1247114700834,985.1304633762497,1033.781686568747,1026.4802742812637,1004.4822763761154,1106.1980364257745,1006.4416379410327,1098.5486343039636,1056.147406598683,1034.524851755698,1683.419417102411,1556.7185092562427,1593.3248903914907,50.68036313846732,1633.9673701984998,42.71419930382266,1527.1818719389432,1560.630185297928,901.642821636685,966.2137017082907,941.3043909806044,976.028534367871,968.3467419533705,864.2879659650081,972.5907696482781,929.2991507704621,986.2631524843144,972.2958544961225,1431.8398516508953,1062.606579658478,1061.7665857238335,147.69330879696687,1689.087092993499,59.566140318760404,1540.171742196598,1558.260420663828
