,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name,radiant_name,dire_name,radiant_current_elo32,radiant_sevenDayAvg_elo32,radiant_thirtyDayAvg_elo32,radiant_sevenDayAgo_elo32,radiant_thirtyDayAgo_elo32,radiant_current_elo64,radiant_sevenDayAvg_elo64,radiant_thirtyDayAvg_elo64,radiant_sevenDayAgo_elo64,radiant_thirtyDayAgo_elo64,radiant_mu_glicko,radiant_sigma_glicko,radiant_rating_glicko,radiant_ratingSevenDaysAgo_glicko,radiant_mu_glicko2,radiant_phi_glicko2,radiant_rating_glicko2,radiant_ratingSevenDaysAgo_glicko2,dire_current_elo32,dire_sevenDayAvg_elo32,dire_thirtyDayAvg_elo32,dire_sevenDayAgo_elo32,dire_thirtyDayAgo_elo32,dire_current_elo64,dire_sevenDayAvg_elo64,dire_thirtyDayAvg_elo64,dire_sevenDayAgo_elo64,dire_thirtyDayAgo_elo64,dire_mu_glicko,dire_sigma_glicko,dire_rating_glicko,dire_ratingSevenDaysAgo_glicko,dire_mu_glicko2,dire_phi_glicko2,dire_rating_glicko2,dire_ratingSevenDaysAgo_glicko2
0,35,15,4074591870,16,2163,False,1534986664,31.0,58.0,12.0,7.0,36.0,72.0,52.0,3.0,91.0,19.0,82262664.0,34505203.0,105248644.0,101356886.0,72312627.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,The International 2018,Team Liquid,PSG.LGD,1303.670746858972,1268.7525565824847,1225.6512484657794,1201.3654219028656,1226.9863847912436,1487.1720978471667,1424.5990690974181,1357.2158918881926,1312.7359374420364,1359.647324779336,,,,2095.8248003979224,2087.246246338671,43.69397183206216,1978.0113167585155,1984.2972746085486,1253.237637372041,1225.2779668055894,1213.9508754533306,1164.7685497256152,1226.2876543013,1373.6414947022513,1328.2537013514107,1300.2465808296454,1205.2286889571383,1313.0201920518084,,,,1984.2443826934837,2077.715623038027,40.68273414274761,1976.0087876811579,1961.418514197029
0,33,15,4074639753,7,2163,False,1534990401,85.0,70.0,73.0,91.0,72.0,12.0,4.0,75.0,7.0,19.0,82262664.0,34505203.0,105248644.0,101356886.0,72312627.0,125581247.0,106863163.0,94296097.0,101695162.0,94738847.0,The International 2018,Team Liquid,PSG.LGD,1303.670746858972,1268.7525565824847,1225.6512484657794,1201.3654219028656,1226.9863847912436,1487.1720978471667,1424.5990690974181,1357.2158918881926,1312.7359374420364,1359.647324779336,,,,2095.8248003979224,2087.246246338671,43.69397183206216,1978.0113167585155,1984.2972746085486,1253.237637372041,1225.2779668055894,1213.9508754533306,1164.7685497256152,1226.2876543013,1373.6414947022513,1328.2537013514107,1300.2465808296454,1205.2286889571383,1313.0201920518084,,,,1984.2443826934837,2077.715623038027,40.68273414274761,1976.0087876811579,1961.418514197029
0,39,2586976,4074694505,26,39,False,1534994296,46.0,12.0,20.0,36.0,107.0,53.0,6.0,7.0,33.0,74.0,111620041.0,86745912.0,94155156.0,41231571.0,25907144.0,19672354.0,311360822.0,26771994.0,88271237.0,94054712.0,The International 2018,Evil Geniuses,OG,1279.8876801196977,1260.135804167481,1195.9249603280512,1192.6801669427596,1094.032364382022,1414.7136809923577,1395.5479555556094,1324.3314516632342,1306.8658626693966,1179.8744728726697,,,,2091.2012147711553,2045.0245224490964,40.20072702481065,1944.5227048870697,1925.6418888298379,1196.299294594782,1157.9985774362206,1149.066965662076,1126.4501253452115,1157.2727868283923,1332.2315624859493,1265.7735317043016,1230.4476265227293,1190.4846415411546,1235.068595903853,,,,1888.0354724486012,2004.1091496307986,41.51348352481338,1900.3254408187652,1852.088035906145
0,34,39,4074748928,30,2586976,False,1534997864,75.0,77.0,100.0,70.0,113.0,72.0,6.0,110.0,58.0,71.0,19672354.0,311360822.0,26771994.0,88271237.0,94054712.0,111620041.0,86745912.0,94155156.0,41231571.0,25907144.0,The International 2018,OG,Evil Geniuses,1196.299294594782,1157.9985774362206,1149.066965662076,1126.4501253452115,1157.2727868283923,1332.2315624859493,1265.7735317043016,1230.4476265227293,1190.4846415411546,1235.068595903853,,,,1888.0354724486012,2004.1091496307986,41.51348352481338,1900.3254408187652,1852.088035906145,1279.8876801196977,1260.135804167481,1195.9249603280512,1192.6801669427596,1094.032364382022,1414.7136809923577,1395.5479555556094,1324.3314516632342,1306.8658626693966,1179.8744728726697,,,,2091.2012147711553,2045.0245224490964,40.20072702481065,1944.5227048870697,1925.6418888298379
0,37,2586976,4074821374,47,39,False,1535002214,19.0,72.0,110.0,58.0,20.0,3.0,67.0,91.0,96.0,22.0,111620041.0,86745912.0,94155156.0,41231571.0,25907144.0,19672354.0,311360822.0,26771994.0,88271237.0,94054712.0,The International 2018,Evil Geniuses,OG,1279.8876801196977,1260.135804167481,1195.9249603280512,1192.6801669427596,1094.032364382022,1414.7136809923577,1395.5479555556094,1324.3314516632342,1306.8658626693966,1179.8744728726697,,,,2091.2012147711553,2045.0245224490964,40.20072702481065,1944.5227048870697,1925.6418888298379,1196.299294594782,1157.9985774362206,1149.066965662076,1126.4501253452115,1157.2727868283923,1332.2315624859493,1265.7735317043016,1230.4476265227293,1190.4846415411546,1235.068595903853,,,,1888.0354724486012,2004.1091496307986,41.51348352481338,1900.3254408187652,1852.088035906145
0,12,1883502,4076043995,24,5026801,True,1535046106,59.0,103.0,56.0,36.0,3.0,111.0,72.0,49.0,58.0,91.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,The International 2018,,Virtus.pro,923.2915115453236,921.4119765799928,914.7901645991308,919.5063981814011,905.7043361695142,878.0039225479878,875.0147371550345,864.4835025607397,871.9841326601635,850.0335316234276,,,,815.3802956275358,1604.1557225979427,58.738550725778296,1457.309345783497,1459.6634285938865,1171.9217718856805,1166.1807822489166,1193.732752039117,1174.5588072719981,1218.1101261075237,1236.88475371993,1204.5443162715314,1287.503543042317,1221.0420080852991,1339.7486174660905,,,,1896.7845377751285,2052.041424628714,43.47092186469755,1943.3641199669703,1954.5403466130813
0,62,1883502,4076114893,24,5026801,False,1535049678,73.0,20.0,6.0,65.0,64.0,3.0,61.0,4.0,19.0,119.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,The International 2018,,Virtus.pro,923.2915115453236,921.4119765799928,914.7901645991308,919.5063981814011,905.7043361695142,878.0039225479878,875.0147371550345,864.4835025607397,871.9841326601635,850.0335316234276,,,,815.3802956275358,1604.1557225979427,58.738550725778296,1457.309345783497,1459.6634285938865,1171.9217718856805,1166.1807822489166,1193.732752039117,1174.5588072719981,1218.1101261075237,1236.88475371993,1204.5443162715314,1287.503543042317,1221.0420080852991,1339.7486174660905,,,,1896.7845377751285,2052.041424628714,43.47092186469755,1943.3641199669703,1954.5403466130813
0,17,5026801,4076188379,33,1883502,True,1535053843,53.0,36.0,19.0,42.0,119.0,25.0,85.0,56.0,70.0,3.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,221666230.0,73562326.0,87285329.0,86698277.0,86727555.0,The International 2018,Virtus.pro,,1171.9217718856805,1166.1807822489166,1193.732752039117,1174.5588072719981,1218.1101261075237,1236.88475371993,1204.5443162715314,1287.503543042317,1221.0420080852991,1339.7486174660905,,,,1896.7845377751285,2052.041424628714,43.47092186469755,1943.3641199669703,1954.5403466130813,923.2915115453236,921.4119765799928,914.7901645991308,919.5063981814011,905.7043361695142,878.0039225479878,875.0147371550345,864.4835025607397,871.9841326601635,850.0335316234276,,,,815.3802956275358,1604.1557225979427,58.738550725778296,1457.309345783497,1459.6634285938865
0,9,5228654,4076257095,25,1838315,True,1535058023,75.0,82.0,7.0,36.0,56.0,90.0,9.0,42.0,46.0,85.0,87278757.0,97590558.0,89117038.0,86799300.0,116585378.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,The International 2018,Team Secret,VGJ Storm,1137.7367230868051,1115.1228839627745,1129.7256440383824,1091.4903098868458,1145.54511949767,1223.7516598913378,1172.7679064613133,1203.464482491437,1123.7452571386043,1231.3786112913326,,,,1841.9880740421495,1999.0912383447132,42.94908476282941,1891.7185264376396,1889.000853949213,1150.2508474431447,1173.4884653352506,1148.6208393942584,1164.31018735396,1170.8836157215549,1184.6500186536953,1221.3803968651462,1175.551691998134,1217.8025464382401,1232.1374623022145,,,,1987.7720367170864,2021.4463121021972,42.9051846093063,1914.1833505789314,1929.947094952101
0,35,5228654,4076314248,40,1838315,True,1535061995,75.0,109.0,103.0,20.0,56.0,119.0,94.0,19.0,9.0,84.0,87278757.0,97590558.0,89117038.0,86799300.0,116585378.0,86726887.0,86725175.0,10366616.0,108452107.0,47434686.0,The International 2018,Team Secret,VGJ Storm,1137.7367230868051,1115.1228839627745,1129.7256440383824,1091.4903098868458,1145.54511949767,1223.7516598913378,1172.7679064613133,1203.464482491437,1123.7452571386043,1231.3786112913326,,,,1841.9880740421495,1999.0912383447132,42.94908476282941,1891.7185264376396,1889.000853949213,1150.2508474431447,1173.4884653352506,1148.6208393942584,1164.31018735396,1170.8836157215549,1184.6500186536953,1221.3803968651462,1175.551691998134,1217.8025464382401,1232.1374623022145,,,,1987.7720367170864,2021.4463121021972,42.9051846093063,1914.1833505789314,1929.947094952101
