,dire_score,dire_team_id,match_id,radiant_score,radiant_team_id,radiant_win,start_time,radiant_H1,radiant_H2,radiant_H3,radiant_H4,radiant_H5,dire_H1,dire_H2,dire_H3,dire_H4,dire_H5,radiant_P1,radiant_P2,radiant_P3,radiant_P4,radiant_P5,dire_P1,dire_P2,dire_P3,dire_P4,dire_P5,league_name,radiant_name,dire_name,radiant_current_elo32,radiant_sevenDayAvg_elo32,radiant_thirtyDayAvg_elo32,radiant_sevenDayAgo_elo32,radiant_thirtyDayAgo_elo32,radiant_current_elo64,radiant_sevenDayAvg_elo64,radiant_thirtyDayAvg_elo64,radiant_sevenDayAgo_elo64,radiant_thirtyDayAgo_elo64,radiant_mu_glicko,radiant_sigma_glicko,radiant_rating_glicko,radiant_ratingSevenDaysAgo_glicko,radiant_mu_glicko2,radiant_phi_glicko2,radiant_rating_glicko2,radiant_ratingSevenDaysAgo_glicko2,dire_current_elo32,dire_sevenDayAvg_elo32,dire_thirtyDayAvg_elo32,dire_sevenDayAgo_elo32,dire_thirtyDayAgo_elo32,dire_current_elo64,dire_sevenDayAvg_elo64,dire_thirtyDayAvg_elo64,dire_sevenDayAgo_elo64,dire_thirtyDayAgo_elo64,dire_mu_glicko,dire_sigma_glicko,dire_rating_glicko,dire_ratingSevenDaysAgo_glicko,dire_mu_glicko2,dire_phi_glicko2,dire_rating_glicko2,dire_ratingSevenDaysAgo_glicko2
0,10,2108395,3927969458,35,1883502,True,1527904857,3.0,93.0,23.0,69.0,16.0,85.0,52.0,39.0,95.0,38.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,CHINA DOTA2 SUPER MAJOR,Virtus.pro,TNC Predator,1294.7279140145172,1289.4151570790898,1227.227157570687,1247.9350033557514,1257.7850552903026,1460.3050586520267,1448.518352364968,1314.6789112318777,1366.7594693188144,1375.2091176208264,2318.7657767016026,83.46731206659035,2110.0974965351265,2075.2995348441123,2084.0204245947643,42.67867478931146,1977.3237376214856,1969.7574212423397,1172.3592171866353,1176.5824157116685,1205.9030136742833,1180.8641322163955,1242.7399965809961,1232.1110090889479,1237.7982643876708,1295.5022167812992,1243.5643241016046,1365.611815857994,2185.4289296230795,90.2542643606437,1959.7932687214702,1815.620531059291,1957.1187997863196,38.867808589895574,1859.9492783115807,1839.2786592663397
0,48,726228,3927969700,11,39,False,1527904873,52.0,48.0,30.0,104.0,16.0,72.0,26.0,62.0,106.0,65.0,111620041.0,86745912.0,94155156.0,41231571.0,25907144.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,CHINA DOTA2 SUPER MAJOR,Evil Geniuses,Vici Gaming,1080.2543671700807,1082.2207843457468,1133.058151157361,1084.2144488221668,1167.9200276188296,1055.2886090790596,1056.6433075751718,1151.0416782914172,1058.0167772037842,1213.3356857603935,1870.8592441693243,101.51871871941277,1617.0624473707924,1639.8855243424907,1949.755962758477,44.549949952419674,1838.3810878774277,1860.9448516893224,1153.30086143355,1157.0570862671277,1212.0665935285194,1160.8653585446593,1231.0247385294726,1189.1204203839845,1193.754307062377,1325.475724661977,1198.4524023459162,1393.3278461440984,2099.490029062611,68.24754381968322,1928.871169513403,1939.7219486354268,1979.5375441132267,39.34600832034321,1881.1725233123686,1889.093512680577
0,20,2163,3927970381,37,2621843,True,1527904915,37.0,93.0,28.0,21.0,64.0,85.0,38.0,46.0,26.0,43.0,94049589.0,26316691.0,94338967.0,109512357.0,87586992.0,82262664.0,34505203.0,105248644.0,101356886.0,72312627.0,CHINA DOTA2 SUPER MAJOR,Team. Spirit,Team Liquid,1059.0411790616536,1060.4878241810693,1042.244269920761,1061.954514474592,1035.6886222589083,1103.148293227816,1105.6756644176476,1065.3131976282325,1108.2380556651647,1048.8568664038996,2039.876585196248,96.08738584956845,1799.6581205723269,1668.6342138838534,1827.6916585348727,45.68860115708569,1713.4701556421585,1691.0535908801455,1165.3486405507902,1169.400063771947,1205.3907448846126,1173.5076247996458,1256.2852333601284,1222.5455070139578,1227.9983854402763,1299.78067669393,1233.526820681443,1395.8713215861571,2160.835510677128,88.2427670749279,1940.228592989808,1857.0979480137053,2035.2578543828104,41.54999082910875,1931.3828773100386,1926.8050208366355
0,13,36,3927970658,22,1375614,True,1527904932,51.0,25.0,48.0,3.0,57.0,30.0,77.0,39.0,86.0,69.0,139876032.0,149486894.0,117281554.0,82327674.0,87012746.0,106809101.0,114619230.0,70388657.0,82305765.0,89550641.0,CHINA DOTA2 SUPER MAJOR,Newbee,Natus Vincere,1129.1639054943648,1132.328719213498,1139.359311755435,1135.5373855964012,1122.92607732022,1183.7861146811174,1188.2892985613412,1237.7279533616484,1192.8548799872403,1223.8620840630776,2083.2871144031897,60.13592402474128,1932.9473043413363,1919.5001062906267,1963.8468395304963,38.054275920134394,1868.7111497301603,1871.2469091088062,1058.2437316100218,1059.6708374268317,1064.6986908959198,1061.1177176749677,1071.5974391722852,1090.5712157550156,1092.790419526247,1100.6089227152675,1095.0403732895643,1111.3367384184555,1835.7967885551354,119.33372064656693,1537.462486938718,1567.2120017994362,1814.959452715179,44.8668972146544,1702.792209678543,1721.9128910168902
0,40,2108395,3928022579,31,1883502,False,1527908147,3.0,52.0,47.0,38.0,103.0,85.0,64.0,43.0,72.0,78.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,CHINA DOTA2 SUPER MAJOR,Virtus.pro,TNC Predator,1294.7279140145172,1289.4151570790898,1227.227157570687,1247.9350033557514,1257.7850552903026,1460.3050586520267,1448.518352364968,1314.6789112318777,1366.7594693188144,1375.2091176208264,2318.7657767016026,83.46731206659035,2110.0974965351265,2075.2995348441123,2084.0204245947643,42.67867478931146,1977.3237376214856,1969.7574212423397,1172.3592171866353,1176.5824157116685,1205.9030136742833,1180.8641322163955,1242.7399965809961,1232.1110090889479,1237.7982643876708,1295.5022167812992,1243.5643241016046,1365.611815857994,2185.4289296230795,90.2542643606437,1959.7932687214702,1815.620531059291,1957.1187997863196,38.867808589895574,1859.9492783115807,1839.2786592663397
0,14,2621843,3928032584,23,2163,True,1527908700,64.0,55.0,106.0,88.0,43.0,37.0,12.0,78.0,16.0,49.0,82262664.0,34505203.0,105248644.0,101356886.0,72312627.0,94049589.0,26316691.0,94338967.0,109512357.0,87586992.0,CHINA DOTA2 SUPER MAJOR,Team Liquid,Team. Spirit,1165.3486405507902,1169.400063771947,1205.3907448846126,1173.5076247996458,1256.2852333601284,1222.5455070139578,1227.9983854402763,1299.78067669393,1233.526820681443,1395.8713215861571,2160.835510677128,88.2427670749279,1940.228592989808,1857.0979480137053,2035.2578543828104,41.54999082910875,1931.3828773100386,1926.8050208366355,1059.0411790616536,1060.4878241810693,1042.244269920761,1061.954514474592,1035.6886222589083,1103.148293227816,1105.6756644176476,1065.3131976282325,1108.2380556651647,1048.8568664038996,2039.876585196248,96.08738584956845,1799.6581205723269,1668.6342138838534,1827.6916585348727,45.68860115708569,1713.4701556421585,1691.0535908801455
0,31,1375614,3928033510,32,36,False,1527908754,87.0,54.0,72.0,100.0,78.0,15.0,49.0,64.0,89.0,57.0,106809101.0,114619230.0,70388657.0,82305765.0,89550641.0,117281554.0,149486894.0,82327674.0,139876032.0,87012746.0,CHINA DOTA2 SUPER MAJOR,Natus Vincere,Newbee,1058.2437316100218,1059.6708374268317,1064.6986908959198,1061.1177176749677,1071.5974391722852,1090.5712157550156,1092.790419526247,1100.6089227152675,1095.0403732895643,1111.3367384184555,1835.7967885551354,119.33372064656693,1537.462486938718,1567.2120017994362,1814.959452715179,44.8668972146544,1702.792209678543,1721.9128910168902,1129.1639054943648,1132.328719213498,1139.359311755435,1135.5373855964012,1122.92607732022,1183.7861146811174,1188.2892985613412,1237.7279533616484,1192.8548799872403,1223.8620840630776,2083.2871144031897,60.13592402474128,1932.9473043413363,1919.5001062906267,1963.8468395304963,38.054275920134394,1868.7111497301603,1871.2469091088062
0,49,726228,3928034802,22,39,False,1527908827,49.0,40.0,53.0,52.0,51.0,15.0,100.0,62.0,39.0,57.0,111620041.0,86745912.0,94155156.0,41231571.0,25907144.0,137193239.0,89423756.0,113800818.0,107803494.0,134276083.0,CHINA DOTA2 SUPER MAJOR,Evil Geniuses,Vici Gaming,1080.2543671700807,1082.2207843457468,1133.058151157361,1084.2144488221668,1167.9200276188296,1055.2886090790596,1056.6433075751718,1151.0416782914172,1058.0167772037842,1213.3356857603935,1870.8592441693243,101.51871871941277,1617.0624473707924,1639.8855243424907,1949.755962758477,44.549949952419674,1838.3810878774277,1860.9448516893224,1153.30086143355,1157.0570862671277,1212.0665935285194,1160.8653585446593,1231.0247385294726,1189.1204203839845,1193.754307062377,1325.475724661977,1198.4524023459162,1393.3278461440984,2099.490029062611,68.24754381968322,1928.871169513403,1939.7219486354268,1979.5375441132267,39.34600832034321,1881.1725233123686,1889.093512680577
0,37,2621843,3928080962,38,2163,True,1527911537,3.0,96.0,44.0,103.0,43.0,75.0,72.0,78.0,91.0,25.0,82262664.0,34505203.0,105248644.0,101356886.0,72312627.0,94049589.0,26316691.0,94338967.0,109512357.0,87586992.0,CHINA DOTA2 SUPER MAJOR,Team Liquid,Team. Spirit,1165.3486405507902,1169.400063771947,1205.3907448846126,1173.5076247996458,1256.2852333601284,1222.5455070139578,1227.9983854402763,1299.78067669393,1233.526820681443,1395.8713215861571,2160.835510677128,88.2427670749279,1940.228592989808,1857.0979480137053,2035.2578543828104,41.54999082910875,1931.3828773100386,1926.8050208366355,1059.0411790616536,1060.4878241810693,1042.244269920761,1061.954514474592,1035.6886222589083,1103.148293227816,1105.6756644176476,1065.3131976282325,1108.2380556651647,1048.8568664038996,2039.876585196248,96.08738584956845,1799.6581205723269,1668.6342138838534,1827.6916585348727,45.68860115708569,1713.4701556421585,1691.0535908801455
0,14,2108395,3928102591,43,1883502,True,1527917123,87.0,54.0,4.0,38.0,16.0,85.0,64.0,72.0,93.0,88.0,134556694.0,132851371.0,106573901.0,92423451.0,159020918.0,184950344.0,155494381.0,164532005.0,132309493.0,187619311.0,CHINA DOTA2 SUPER MAJOR,Virtus.pro,TNC Predator,1294.7279140145172,1289.4151570790898,1227.227157570687,1247.9350033557514,1257.7850552903026,1460.3050586520267,1448.518352364968,1314.6789112318777,1366.7594693188144,1375.2091176208264,2318.7657767016026,83.46731206659035,2110.0974965351265,2075.2995348441123,2084.0204245947643,42.67867478931146,1977.3237376214856,1969.7574212423397,1172.3592171866353,1176.5824157116685,1205.9030136742833,1180.8641322163955,1242.7399965809961,1232.1110090889479,1237.7982643876708,1295.5022167812992,1243.5643241016046,1365.611815857994,2185.4289296230795,90.2542643606437,1959.7932687214702,1815.620531059291,1957.1187997863196,38.867808589895574,1859.9492783115807,1839.2786592663397
